sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_winter_2021-06-14,2021-06-14,Center,winter,soft,Tab-LSTM,test,19.447222,20.255426,0.808203,0.808203,0.883790,18.391666,19.449837,18.983334,20.213393,20.966667,21.103047
Center_winter_2021-06-21,2021-06-21,Center,winter,soft,Tab-LSTM,test,20.680555,19.405280,-1.275276,1.275276,1.632935,19.783333,18.565438,20.583334,19.365632,21.674999,20.284769
Center_winter_2021-06-28,2021-06-28,Center,winter,soft,Tab-LSTM,test,21.861111,21.124349,-0.736762,0.736762,0.585978,21.108334,20.388786,21.650000,21.158635,22.825001,21.825628
Center_winter_2021-07-01,2021-07-01,Center,winter,soft,Tab-LSTM,test,22.119445,21.758709,-0.360736,0.360736,0.160454,21.258333,21.065483,22.075001,21.786356,23.025000,22.424287
Center_winter_2021-07-07,2021-07-07,Center,winter,soft,Tab-LSTM,test,21.913889,21.609979,-0.303910,0.303910,0.125437,21.258333,20.930238,21.633333,21.563271,22.850000,22.336428
Center_winter_2021-07-14,2021-07-14,Center,winter,soft,Tab-LSTM,test,22.536111,22.121666,-0.414445,0.414445,0.220514,21.600000,21.471138,22.791666,22.125088,23.216667,22.768771
Center_winter_2021-07-21,2021-07-21,Center,winter,soft,Tab-LSTM,test,22.647223,22.269294,-0.377929,0.377929,0.223214,21.633333,21.629389,22.941668,22.251535,23.366667,22.926957
Center_winter_2021-07-28,2021-07-28,Center,winter,soft,Tab-LSTM,test,22.380555,22.122454,-0.258102,0.258102,0.083895,21.600000,21.460759,22.299999,22.106248,23.241667,22.800355
Center_winter_2021-08-01,2021-08-01,Center,winter,soft,Tab-LSTM,test,22.391666,22.402056,0.010390,0.180591,0.035648,21.600000,21.762370,22.299999,22.424100,23.275000,23.019698
Center_winter_2021-08-07,2021-08-07,Center,winter,soft,Tab-LSTM,test,22.641667,21.591273,-1.050394,1.050394,1.116227,21.816668,20.857907,22.741667,21.531215,23.366667,22.384696
Center_winter_2021-08-14,2021-08-14,Center,winter,soft,Tab-LSTM,test,22.127778,22.429371,0.301593,0.301593,0.097588,21.383333,21.796653,22.141666,22.411506,22.858334,23.079954
Center_winter_2021-08-21,2021-08-21,Center,winter,soft,Tab-LSTM,test,21.402778,21.815663,0.412885,0.474014,0.343880,20.233334,21.161491,21.383333,21.785524,22.591667,22.499974
Center_winter_2021-08-28,2021-08-28,Center,winter,soft,Tab-LSTM,test,20.908333,21.392757,0.484423,0.484423,0.269715,20.066668,20.687642,20.758333,21.370921,21.900000,22.119708
Center_winter_2021-09-01,2021-09-01,Center,winter,soft,Tab-LSTM,test,20.347223,21.319937,0.972714,0.972714,1.033114,19.333334,20.591785,20.233334,21.326195,21.475000,22.041831
Center_winter_2021-09-07,2021-09-07,Center,winter,soft,Tab-LSTM,test,19.761112,20.331566,0.570454,0.570454,0.341919,18.825001,19.496496,19.700001,20.350677,20.758333,21.147525
Center_winter_2021-09-14,2021-09-14,Center,winter,soft,Tab-LSTM,test,18.972222,19.775379,0.803157,0.803157,0.710384,17.933332,18.899108,18.825001,19.826403,20.158333,20.600627
Center_winter_2021-09-21,2021-09-21,Center,winter,soft,Tab-LSTM,test,18.375000,18.814255,0.439255,0.439255,0.275542,17.775000,17.852666,18.016666,18.797454,19.333334,19.792643
Center_winter_2021-09-28,2021-09-28,Center,winter,soft,Tab-LSTM,test,17.502777,16.906482,-0.596295,0.596295,0.369825,16.533333,15.796289,17.424999,16.818277,18.549999,18.104881
Center_winter_2021-10-01,2021-10-01,Center,winter,soft,Tab-LSTM,test,17.319444,16.748744,-0.570700,0.570700,0.411579,16.400000,15.590958,17.424999,16.679845,18.133333,17.975428
Center_winter_2021-10-07,2021-10-07,Center,winter,soft,Tab-LSTM,test,16.997475,15.348348,-1.649126,1.649126,2.874707,16.308332,14.123019,16.709091,15.197629,17.975000,16.724396
Center_winter_2021-10-14,2021-10-14,Center,winter,soft,Tab-LSTM,test,15.865909,15.561879,-0.304031,0.313149,0.157292,14.850000,14.240205,15.772727,15.456753,16.975000,16.988678
Center_winter_2021-10-21,2021-10-21,Center,winter,soft,Tab-LSTM,test,15.644444,15.279342,-0.365103,0.455024,0.273962,14.850000,14.081594,15.558333,15.096550,16.525000,16.659882
Center_winter_2021-10-28,2021-10-28,Center,winter,soft,Tab-LSTM,test,13.913889,13.414032,-0.499857,0.523935,0.400585,12.858334,12.193645,13.241667,13.277785,15.641666,14.770667
Center_winter_2021-11-01,2021-11-01,Center,winter,soft,Tab-LSTM,test,13.671464,12.748580,-0.922885,0.922885,1.012146,12.525000,11.116215,13.216666,12.788864,15.272727,14.340660
Center_winter_2021-11-07,2021-11-07,Center,winter,soft,Tab-LSTM,test,12.830556,12.491578,-0.338978,0.462815,0.315892,11.800000,10.890482,12.858334,12.565163,13.833333,14.019089
Center_winter_2021-11-14,2021-11-14,Center,winter,soft,Tab-LSTM,test,12.280555,12.027368,-0.253188,0.329493,0.216939,11.641666,10.847053,11.983334,11.903926,13.216666,13.331124
Center_winter_2021-11-21,2021-11-21,Center,winter,soft,Tab-LSTM,test,11.422222,11.647229,0.225007,0.225007,0.061091,10.391666,10.473940,11.350000,11.626008,12.525000,12.841740
Center_winter_2021-11-28,2021-11-28,Center,winter,soft,Tab-LSTM,test,10.069444,10.495987,0.426543,0.443594,0.456197,8.175000,9.335617,10.391666,10.366090,11.641666,11.786255
Center_winter_2021-12-01,2021-12-01,Center,winter,soft,Tab-LSTM,test,9.641667,9.956744,0.315078,0.315078,0.118660,8.175000,8.559794,9.516666,9.956365,11.233334,11.354074
Center_winter_2021-12-07,2021-12-07,Center,winter,soft,Tab-LSTM,test,9.519444,9.576950,0.057505,0.180266,0.036768,8.175000,8.433314,9.316667,9.415009,11.066667,10.882526
