sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_winter_2021-06-14,2021-06-14,Center,winter,anchor,Tab-TFT,test,18.25,18.372931,0.122931,0.122931,0.015112
Center_winter_2021-06-21,2021-06-21,Center,winter,anchor,Tab-TFT,test,18.25,18.527663,0.277663,0.277663,0.077097
Center_winter_2021-06-28,2021-06-28,Center,winter,anchor,Tab-TFT,test,20.583334,20.257288,-0.326046,0.326046,0.106306
Center_winter_2021-07-01,2021-07-01,Center,winter,anchor,Tab-TFT,test,20.583334,20.670082,0.086748,0.086748,0.007525
Center_winter_2021-07-07,2021-07-07,Center,winter,anchor,Tab-TFT,test,20.583334,20.612803,0.029469,0.029469,0.000868
Center_winter_2021-07-14,2021-07-14,Center,winter,anchor,Tab-TFT,test,21.258333,21.186826,-0.071507,0.071507,0.005113
Center_winter_2021-07-21,2021-07-21,Center,winter,anchor,Tab-TFT,test,21.483334,21.328586,-0.154748,0.154748,0.023947
Center_winter_2021-07-28,2021-07-28,Center,winter,anchor,Tab-TFT,test,21.383333,21.096299,-0.287034,0.287034,0.082389
Center_winter_2021-08-01,2021-08-01,Center,winter,anchor,Tab-TFT,test,21.383333,21.077177,-0.306156,0.306156,0.093731
Center_winter_2021-08-07,2021-08-07,Center,winter,anchor,Tab-TFT,test,21.383333,20.917097,-0.466236,0.466236,0.217376
Center_winter_2021-08-14,2021-08-14,Center,winter,anchor,Tab-TFT,test,20.858334,20.433765,-0.424569,0.424569,0.180259
Center_winter_2021-08-21,2021-08-21,Center,winter,anchor,Tab-TFT,test,20.066668,19.869709,-0.196959,0.196959,0.038793
Center_winter_2021-08-28,2021-08-28,Center,winter,anchor,Tab-TFT,test,17.933332,18.650927,0.717595,0.717595,0.514943
Center_winter_2021-09-01,2021-09-01,Center,winter,anchor,Tab-TFT,test,17.933332,18.365238,0.431906,0.431906,0.186543
Center_winter_2021-09-07,2021-09-07,Center,winter,anchor,Tab-TFT,test,17.933332,17.943094,0.009762,0.009762,9.5e-05
Center_winter_2021-09-14,2021-09-14,Center,winter,anchor,Tab-TFT,test,17.308332,17.231273,-0.077059,0.077059,0.005938
Center_winter_2021-09-21,2021-09-21,Center,winter,anchor,Tab-TFT,test,17.308332,16.549272,-0.75906,0.75906,0.576172
Center_winter_2021-09-28,2021-09-28,Center,winter,anchor,Tab-TFT,test,16.308332,14.704138,-1.604194,1.604194,2.573438
Center_winter_2021-10-01,2021-10-01,Center,winter,anchor,Tab-TFT,test,15.908334,14.612946,-1.295388,1.295388,1.67803
Center_winter_2021-10-07,2021-10-07,Center,winter,anchor,Tab-TFT,test,15.272727,13.822522,-1.450205,1.450205,2.103095
Center_winter_2021-10-14,2021-10-14,Center,winter,anchor,Tab-TFT,test,12.1,12.564361,0.464361,0.464361,0.215631
Center_winter_2021-10-21,2021-10-21,Center,winter,anchor,Tab-TFT,test,12.1,11.329293,-0.770707,0.770707,0.593989
Center_winter_2021-10-28,2021-10-28,Center,winter,anchor,Tab-TFT,test,12.1,10.593126,-1.506874,1.506874,2.270669
Center_winter_2021-11-01,2021-11-01,Center,winter,anchor,Tab-TFT,test,12.1,8.232957,-3.867043,3.867043,14.954022
Center_winter_2021-11-07,2021-11-07,Center,winter,anchor,Tab-TFT,test,10.908334,7.699385,-3.208949,3.208949,10.297354
Center_winter_2021-11-14,2021-11-14,Center,winter,anchor,Tab-TFT,test,10.808333,7.175444,-3.632889,3.632889,13.197882
Center_winter_2021-11-21,2021-11-21,Center,winter,anchor,Tab-TFT,test,9.516666,6.807321,-2.709345,2.709345,7.34055
Center_winter_2021-11-28,2021-11-28,Center,winter,anchor,Tab-TFT,test,6.575,5.765439,-0.809561,0.809561,0.655389
Center_winter_2021-12-01,2021-12-01,Center,winter,anchor,Tab-TFT,test,6.575,5.279045,-1.295955,1.295955,1.679499
Center_winter_2021-12-07,2021-12-07,Center,winter,anchor,Tab-TFT,test,6.575,6.283873,-0.291127,0.291127,0.084755
Center_winter_2021-12-14,2021-12-14,Center,winter,anchor,Tab-TFT,test,6.575,5.774161,-0.800839,0.800839,0.641343
Center_winter_2021-12-21,2021-12-21,Center,winter,anchor,Tab-TFT,test,2.925,4.775258,1.850258,1.850258,3.423455
Center_winter_2021-12-28,2021-12-28,Center,winter,anchor,Tab-TFT,test,2.925,4.525565,1.600565,1.600565,2.561808
Center_winter_2022-01-01,2022-01-01,Center,winter,anchor,Tab-TFT,test,2.925,4.973751,2.048751,2.048751,4.197381
Center_winter_2022-01-07,2022-01-07,Center,winter,anchor,Tab-TFT,test,2.925,4.721662,1.796662,1.796662,3.227994
Center_winter_2022-01-14,2022-01-14,Center,winter,anchor,Tab-TFT,test,2.925,4.37527,1.45027,1.45027,2.103283
Center_winter_2022-01-21,2022-01-21,Center,winter,anchor,Tab-TFT,test,4.191667,4.038131,-0.153536,0.153536,0.023573
Center_winter_2022-01-28,2022-01-28,Center,winter,anchor,Tab-TFT,test,5.533333,4.426983,-1.10635,1.10635,1.22401
Center_winter_2022-02-01,2022-02-01,Center,winter,anchor,Tab-TFT,test,5.866667,4.687544,-1.179123,1.179123,1.390331
Center_winter_2022-02-07,2022-02-07,Center,winter,anchor,Tab-TFT,test,5.866667,5.234996,-0.631671,0.631671,0.399008
Center_winter_2022-02-14,2022-02-14,Center,winter,anchor,Tab-TFT,test,4.725,6.068359,1.343359,1.343359,1.804613
Center_winter_2022-02-21,2022-02-21,Center,winter,anchor,Tab-TFT,test,3.625,6.386291,2.761291,2.761291,7.624728
Center_winter_2022-02-28,2022-02-28,Center,winter,anchor,Tab-TFT,test,3.625,6.976717,3.351717,3.351717,11.234007
Center_winter_2022-03-01,2022-03-01,Center,winter,anchor,Tab-TFT,test,3.625,6.756161,3.131161,3.131161,9.804169
Center_winter_2022-03-07,2022-03-07,Center,winter,anchor,Tab-TFT,test,3.625,6.923337,3.298337,3.298337,10.879027
Center_winter_2022-03-14,2022-03-14,Center,winter,anchor,Tab-TFT,test,3.625,7.358487,3.733487,3.733487,13.938925
Center_winter_2022-03-21,2022-03-21,Center,winter,anchor,Tab-TFT,test,4.666667,7.662657,2.99599,2.99599,8.975956
Center_winter_2022-03-28,2022-03-28,Center,winter,anchor,Tab-TFT,test,7.816667,8.707542,0.890875,0.890875,0.793658
Center_winter_2022-04-01,2022-04-01,Center,winter,anchor,Tab-TFT,test,8.166667,9.053266,0.886599,0.886599,0.786058
Center_winter_2022-04-07,2022-04-07,Center,winter,anchor,Tab-TFT,test,8.166667,11.2158,3.049133,3.049133,9.297212
Center_winter_2022-04-14,2022-04-14,Center,winter,anchor,Tab-TFT,test,8.166667,9.542025,1.375358,1.375358,1.89161
Center_winter_2022-04-21,2022-04-21,Center,winter,anchor,Tab-TFT,test,10.525,10.113086,-0.411914,0.411914,0.169673
Center_winter_2022-04-28,2022-04-28,Center,winter,anchor,Tab-TFT,test,11.375,11.49122,0.11622,0.11622,0.013507
Center_winter_2022-05-01,2022-05-01,Center,winter,anchor,Tab-TFT,test,11.575,13.594167,2.019167,2.019167,4.077035
Center_winter_2022-05-07,2022-05-07,Center,winter,anchor,Tab-TFT,test,11.575,11.79269,0.21769,0.21769,0.047389
Center_winter_2022-05-14,2022-05-14,Center,winter,anchor,Tab-TFT,test,14.041667,14.230377,0.18871,0.18871,0.035611
Center_winter_2022-05-21,2022-05-21,Center,winter,anchor,Tab-TFT,test,15.025,15.601418,0.576418,0.576418,0.332258
Center_winter_2022-05-28,2022-05-28,Center,winter,anchor,Tab-TFT,test,16.441668,16.981264,0.539596,0.539596,0.291164
Center_winter_2022-06-01,2022-06-01,Center,winter,anchor,Tab-TFT,test,16.441668,17.062517,0.620849,0.620849,0.385453
Center_winter_2022-06-07,2022-06-07,Center,winter,anchor,Tab-TFT,test,18.125,17.102113,-1.022887,1.022887,1.046298
Center_winter_2022-06-14,2022-06-14,Center,winter,anchor,Tab-TFT,test,18.75,18.049409,-0.700591,0.700591,0.490828
Center_winter_2022-06-21,2022-06-21,Center,winter,anchor,Tab-TFT,test,18.75,18.531527,-0.218473,0.218473,0.04773
Center_winter_2022-06-28,2022-06-28,Center,winter,anchor,Tab-TFT,test,18.75,19.497483,0.747483,0.747483,0.558731
Center_winter_2022-07-01,2022-07-01,Center,winter,anchor,Tab-TFT,test,18.799999,19.831953,1.031954,1.031954,1.064929
Center_winter_2022-07-07,2022-07-07,Center,winter,anchor,Tab-TFT,test,18.799999,19.805204,1.005205,1.005205,1.010437
Center_winter_2022-07-14,2022-07-14,Center,winter,anchor,Tab-TFT,test,20.054546,20.782751,0.728205,0.728205,0.530283
Center_winter_2022-07-21,2022-07-21,Center,winter,anchor,Tab-TFT,test,20.054546,21.023458,0.968912,0.968912,0.93879
Center_winter_2022-07-28,2022-07-28,Center,winter,anchor,Tab-TFT,test,21.083334,20.943654,-0.13968,0.13968,0.019511
Center_winter_2022-08-01,2022-08-01,Center,winter,anchor,Tab-TFT,test,21.083334,21.216834,0.1335,0.1335,0.017822
Center_winter_2022-08-07,2022-08-07,Center,winter,anchor,Tab-TFT,test,21.083334,21.260688,0.177354,0.177354,0.031454
Center_winter_2022-08-14,2022-08-14,Center,winter,anchor,Tab-TFT,test,20.133333,20.819014,0.685681,0.685681,0.470158
Center_winter_2022-08-21,2022-08-21,Center,winter,anchor,Tab-TFT,test,20.133333,20.458838,0.325505,0.325505,0.105954
Center_winter_2022-08-28,2022-08-28,Center,winter,anchor,Tab-TFT,test,19.5,20.032731,0.532731,0.532731,0.283802
Center_winter_2022-09-01,2022-09-01,Center,winter,anchor,Tab-TFT,test,19.4,19.75769,0.35769,0.35769,0.127942
Center_winter_2022-09-07,2022-09-07,Center,winter,anchor,Tab-TFT,test,19.4,19.246881,-0.153119,0.153119,0.023445
Center_winter_2022-09-14,2022-09-14,Center,winter,anchor,Tab-TFT,test,17.424999,18.454454,1.029455,1.029455,1.059778
Center_winter_2022-09-21,2022-09-21,Center,winter,anchor,Tab-TFT,test,17.424999,17.717676,0.292677,0.292677,0.08566
Center_winter_2022-09-28,2022-09-28,Center,winter,anchor,Tab-TFT,test,16.799999,16.79147,-0.008529,0.008529,7.3e-05
Center_winter_2022-10-01,2022-10-01,Center,winter,anchor,Tab-TFT,test,16.799999,16.088886,-0.711113,0.711113,0.505682
Center_winter_2022-10-07,2022-10-07,Center,winter,anchor,Tab-TFT,test,14.741667,15.182676,0.441009,0.441009,0.194489
Center_winter_2022-10-14,2022-10-14,Center,winter,anchor,Tab-TFT,test,13.5,14.061725,0.561725,0.561725,0.315535
Center_winter_2022-10-21,2022-10-21,Center,winter,anchor,Tab-TFT,test,12.625,13.366557,0.741557,0.741557,0.549907
Center_winter_2022-10-28,2022-10-28,Center,winter,anchor,Tab-TFT,test,12.625,11.492341,-1.132659,1.132659,1.282916
Center_winter_2022-11-01,2022-11-01,Center,winter,anchor,Tab-TFT,test,12.591666,11.985874,-0.605792,0.605792,0.366984
Center_winter_2022-11-07,2022-11-07,Center,winter,anchor,Tab-TFT,test,11.016666,10.064419,-0.952247,0.952247,0.906774
Center_winter_2022-11-14,2022-11-14,Center,winter,anchor,Tab-TFT,test,10.625,8.03441,-2.59059,2.59059,6.711157
Center_winter_2022-11-21,2022-11-21,Center,winter,anchor,Tab-TFT,test,10.625,6.685384,-3.939616,3.939616,15.520574
Center_winter_2022-11-28,2022-11-28,Center,winter,anchor,Tab-TFT,test,10.525,6.355298,-4.169702,4.169702,17.386415
Center_winter_2022-12-01,2022-12-01,Center,winter,anchor,Tab-TFT,test,9.016666,6.327556,-2.68911,2.68911,7.231313
Center_winter_2022-12-07,2022-12-07,Center,winter,anchor,Tab-TFT,test,9.016666,5.845983,-3.170683,3.170683,10.053231
Center_winter_2022-12-14,2022-12-14,Center,winter,anchor,Tab-TFT,test,8.508333,5.369386,-3.138947,3.138947,9.852988
Center_winter_2022-12-21,2022-12-21,Center,winter,anchor,Tab-TFT,test,7.891667,5.034474,-2.857193,2.857193,8.163552
Center_winter_2022-12-28,2022-12-28,Center,winter,anchor,Tab-TFT,test,7.658333,4.712133,-2.9462,2.9462,8.680094
Center_winter_2023-01-01,2023-01-01,Center,winter,anchor,Tab-TFT,test,7.533333,4.787345,-2.745988,2.745988,7.54045
Center_winter_2023-01-07,2023-01-07,Center,winter,anchor,Tab-TFT,test,7.533333,4.789984,-2.743349,2.743349,7.525964
Center_winter_2023-01-14,2023-01-14,Center,winter,anchor,Tab-TFT,test,5.491667,4.832708,-0.658959,0.658959,0.434227
Center_winter_2023-01-21,2023-01-21,Center,winter,anchor,Tab-TFT,test,4.125,5.439297,1.314297,1.314297,1.727377
Center_winter_2023-01-28,2023-01-28,Center,winter,anchor,Tab-TFT,test,4.125,5.278689,1.153689,1.153689,1.330998
Center_winter_2023-02-01,2023-02-01,Center,winter,anchor,Tab-TFT,test,4.125,5.593135,1.468135,1.468135,2.15542
Center_winter_2023-02-07,2023-02-07,Center,winter,anchor,Tab-TFT,test,4.125,5.932069,1.807069,1.807069,3.265498
Center_winter_2023-02-14,2023-02-14,Center,winter,anchor,Tab-TFT,test,4.125,5.95129,1.82629,1.82629,3.335335
Center_winter_2023-02-21,2023-02-21,Center,winter,anchor,Tab-TFT,test,7.675,6.544388,-1.130612,1.130612,1.278283
Center_winter_2023-02-28,2023-02-28,Center,winter,anchor,Tab-TFT,test,7.675,7.594538,-0.080462,0.080462,0.006474
Center_winter_2023-03-01,2023-03-01,Center,winter,anchor,Tab-TFT,test,7.675,8.031207,0.356207,0.356207,0.126883
Center_winter_2023-03-07,2023-03-07,Center,winter,anchor,Tab-TFT,test,7.675,7.813746,0.138746,0.138746,0.01925
Center_winter_2023-03-14,2023-03-14,Center,winter,anchor,Tab-TFT,test,8.225,7.830951,-0.394049,0.394049,0.155275
Center_winter_2023-03-21,2023-03-21,Center,winter,anchor,Tab-TFT,test,8.225,8.279917,0.054917,0.054917,0.003016
Center_winter_2023-03-28,2023-03-28,Center,winter,anchor,Tab-TFT,test,8.225,8.908691,0.683691,0.683691,0.467433
Center_winter_2023-04-01,2023-04-01,Center,winter,anchor,Tab-TFT,test,8.225,8.927799,0.702799,0.702799,0.493926
Center_winter_2023-04-07,2023-04-07,Center,winter,anchor,Tab-TFT,test,9.85,9.534252,-0.315748,0.315748,0.099697
Center_winter_2023-04-14,2023-04-14,Center,winter,anchor,Tab-TFT,test,9.85,9.734932,-0.115068,0.115068,0.013241
Center_winter_2023-04-21,2023-04-21,Center,winter,anchor,Tab-TFT,test,10.641666,10.421815,-0.219851,0.219851,0.048334
Center_winter_2023-04-28,2023-04-28,Center,winter,anchor,Tab-TFT,test,11.208333,11.354736,0.146403,0.146403,0.021434
Center_winter_2023-05-01,2023-05-01,Center,winter,anchor,Tab-TFT,test,11.208333,10.844646,-0.363687,0.363687,0.132268
