sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_winter_2021-06-14,2021-06-14,Center,winter,soft,Tab-TFT,test,18.391666,19.538674,1.147008,1.147008,1.315627,18.391666,19.538674,18.983334,20.215742,20.966667,21.242327
Center_winter_2021-06-21,2021-06-21,Center,winter,soft,Tab-TFT,test,19.783333,19.679988,-0.103345,0.103345,0.01068,19.783333,19.679988,20.583334,20.404056,21.674999,21.389433
Center_winter_2021-06-28,2021-06-28,Center,winter,soft,Tab-TFT,test,21.108334,21.388784,0.28045,0.28045,0.078652,21.108334,21.388784,21.65,21.961829,22.825001,22.754056
Center_winter_2021-07-01,2021-07-01,Center,winter,soft,Tab-TFT,test,21.258333,21.775253,0.51692,0.51692,0.267206,21.258333,21.775253,22.075001,22.307823,23.025,23.02931
Center_winter_2021-07-07,2021-07-07,Center,winter,soft,Tab-TFT,test,21.258333,21.699327,0.440994,0.440994,0.194476,21.258333,21.699327,21.633333,22.268682,22.85,22.981673
Center_winter_2021-07-14,2021-07-14,Center,winter,soft,Tab-TFT,test,21.6,22.310196,0.710196,0.710196,0.504378,21.6,22.310196,22.791666,22.838853,23.216667,23.475467
Center_winter_2021-07-21,2021-07-21,Center,winter,soft,Tab-TFT,test,21.633333,22.464788,0.831455,0.831455,0.691317,21.633333,22.464788,22.941668,22.974644,23.366667,23.600863
Center_winter_2021-07-28,2021-07-28,Center,winter,soft,Tab-TFT,test,21.6,22.242291,0.642291,0.642291,0.412538,21.6,22.242291,22.299999,22.759939,23.241667,23.446469
Center_winter_2021-08-01,2021-08-01,Center,winter,soft,Tab-TFT,test,21.6,22.262295,0.662295,0.662295,0.438635,21.6,22.262295,22.299999,22.754675,23.275,23.429968
Center_winter_2021-08-07,2021-08-07,Center,winter,soft,Tab-TFT,test,21.816668,22.20999,0.393322,0.393322,0.154702,21.816668,22.20999,22.741667,22.672694,23.366667,23.413515
Center_winter_2021-08-14,2021-08-14,Center,winter,soft,Tab-TFT,test,21.383333,21.592522,0.209189,0.209189,0.04376,21.383333,21.592522,22.141666,22.120779,22.858334,22.918572
Center_winter_2021-08-21,2021-08-21,Center,winter,soft,Tab-TFT,test,20.233334,20.887405,0.654071,0.654071,0.427809,20.233334,20.887405,21.383333,21.460873,22.591667,22.346526
Center_winter_2021-08-28,2021-08-28,Center,winter,soft,Tab-TFT,test,20.066668,19.840202,-0.226466,0.226466,0.051287,20.066668,19.840202,20.758333,20.52358,21.9,21.51264
Center_winter_2021-09-01,2021-09-01,Center,winter,soft,Tab-TFT,test,19.333334,19.545829,0.212495,0.212495,0.045154,19.333334,19.545829,20.233334,20.229449,21.475,21.286687
Center_winter_2021-09-07,2021-09-07,Center,winter,soft,Tab-TFT,test,18.825001,19.039415,0.214414,0.214414,0.045973,18.825001,19.039415,19.700001,19.725307,20.758333,20.843175
Center_winter_2021-09-14,2021-09-14,Center,winter,soft,Tab-TFT,test,17.933332,18.289433,0.356101,0.356101,0.126808,17.933332,18.289433,18.825001,19.007459,20.158333,20.194916
Center_winter_2021-09-21,2021-09-21,Center,winter,soft,Tab-TFT,test,17.775,17.652741,-0.122259,0.122259,0.014947,17.775,17.652741,18.016666,18.439071,19.333334,19.683983
Center_winter_2021-09-28,2021-09-28,Center,winter,soft,Tab-TFT,test,16.533333,16.094426,-0.438907,0.438907,0.192639,16.533333,16.094426,17.424999,17.039713,18.549999,18.373978
Center_winter_2021-10-01,2021-10-01,Center,winter,soft,Tab-TFT,test,16.4,15.816616,-0.583384,0.583384,0.340337,16.4,15.816616,17.424999,16.729516,18.133333,18.132109
Center_winter_2021-10-07,2021-10-07,Center,winter,soft,Tab-TFT,test,16.308332,14.992643,-1.315689,1.315689,1.731038,16.308332,14.992643,16.709091,15.864736,17.975,17.325335
Center_winter_2021-10-14,2021-10-14,Center,winter,soft,Tab-TFT,test,14.85,14.095268,-0.754732,0.754732,0.56962,14.85,14.095268,15.772727,15.222028,16.975,16.779397
Center_winter_2021-10-21,2021-10-21,Center,winter,soft,Tab-TFT,test,14.85,12.597339,-2.252661,2.252661,5.074482,14.85,12.597339,15.558333,13.807652,16.525,15.500574
Center_winter_2021-10-28,2021-10-28,Center,winter,soft,Tab-TFT,test,12.858334,11.957922,-0.900412,0.900412,0.810742,12.858334,11.957922,13.241667,13.264537,15.641666,14.990486
Center_winter_2021-11-01,2021-11-01,Center,winter,soft,Tab-TFT,test,12.525,10.891152,-1.633848,1.633848,2.669459,12.525,10.891152,13.216666,12.884104,15.272727,14.51813
Center_winter_2021-11-07,2021-11-07,Center,winter,soft,Tab-TFT,test,11.8,9.968406,-1.831594,1.831594,3.354737,11.8,9.968406,12.858334,12.121659,13.833333,13.861067
Center_winter_2021-11-14,2021-11-14,Center,winter,soft,Tab-TFT,test,11.641666,8.541319,-3.100347,3.100347,9.612152,11.641666,8.541319,11.983334,10.24956,13.216666,11.482463
Center_winter_2021-11-21,2021-11-21,Center,winter,soft,Tab-TFT,test,10.391666,8.045958,-2.345708,2.345708,5.502346,10.391666,8.045958,11.35,9.288628,12.525,10.66403
Center_winter_2021-11-28,2021-11-28,Center,winter,soft,Tab-TFT,test,8.175,7.354157,-0.820843,0.820843,0.673783,8.175,7.354157,10.391666,8.864099,11.641666,10.336219
Center_winter_2021-12-01,2021-12-01,Center,winter,soft,Tab-TFT,test,8.175,6.884994,-1.290006,1.290006,1.664115,8.175,6.884994,9.516666,8.6442,11.233334,10.098188
Center_winter_2021-12-07,2021-12-07,Center,winter,soft,Tab-TFT,test,8.175,7.171014,-1.003986,1.003986,1.007988,8.175,7.171014,9.316667,8.156247,11.066667,9.231224
Center_winter_2021-12-14,2021-12-14,Center,winter,soft,Tab-TFT,test,7.75,6.571036,-1.178964,1.178964,1.389956,7.75,6.571036,8.55,7.992064,9.85,8.955781
Center_winter_2021-12-21,2021-12-21,Center,winter,soft,Tab-TFT,test,6.341667,5.898779,-0.442888,0.442888,0.19615,6.341667,5.898779,8.158334,7.054432,9.125,8.387104
Center_winter_2021-12-28,2021-12-28,Center,winter,soft,Tab-TFT,test,4.191667,5.768982,1.577315,1.577315,2.487923,4.191667,5.768982,6.208333,7.077078,8.55,8.512988
Center_winter_2022-01-01,2022-01-01,Center,winter,soft,Tab-TFT,test,4.191667,6.102023,1.910356,1.910356,3.64946,4.191667,6.102023,5.616667,7.297185,7.883333,8.539368
Center_winter_2022-01-07,2022-01-07,Center,winter,soft,Tab-TFT,test,4.191667,5.777229,1.585562,1.585562,2.514007,4.191667,5.777229,5.616667,6.907124,7.558333,8.229933
Center_winter_2022-01-14,2022-01-14,Center,winter,soft,Tab-TFT,test,4.191667,5.366237,1.17457,1.17457,1.379615,4.191667,5.366237,5.616667,6.48145,7.433333,8.003639
Center_winter_2022-01-21,2022-01-21,Center,winter,soft,Tab-TFT,test,5.275,5.293879,0.018879,0.018879,0.000356,5.275,5.293879,6.208333,6.472365,7.65,8.018341
Center_winter_2022-01-28,2022-01-28,Center,winter,soft,Tab-TFT,test,6.741667,5.470952,-1.270715,1.270715,1.614717,6.741667,5.470952,7.241667,6.523325,9.016666,7.996176
Center_winter_2022-02-01,2022-02-01,Center,winter,soft,Tab-TFT,test,6.791667,5.709212,-1.082455,1.082455,1.171709,6.791667,5.709212,7.65,6.68408,9.091666,8.126302
Center_winter_2022-02-07,2022-02-07,Center,winter,soft,Tab-TFT,test,7.158333,6.083367,-1.074966,1.074966,1.155552,7.158333,6.083367,7.841667,7.006555,9.516666,8.425621
Center_winter_2022-02-14,2022-02-14,Center,winter,soft,Tab-TFT,test,7.158333,6.920458,-0.237875,0.237875,0.056585,7.158333,6.920458,7.841667,7.913192,9.725,9.326065
Center_winter_2022-02-21,2022-02-21,Center,winter,soft,Tab-TFT,test,4.725,7.236745,2.511745,2.511745,6.308863,4.725,7.236745,7.383333,8.160835,8.583333,9.597117
