sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_winter_2021-06-14,2021-06-14,Negev,winter,anchor,Climatology,test,15.391666,17.699718,2.308052,2.308052,5.327104
Negev_winter_2021-06-21,2021-06-21,Negev,winter,anchor,Climatology,test,16.666666,19.177223,2.510557,2.510557,6.302896
Negev_winter_2021-06-28,2021-06-28,Negev,winter,anchor,Climatology,test,18.766666,19.52411,0.757444,0.757444,0.573721
Negev_winter_2021-07-01,2021-07-01,Negev,winter,anchor,Climatology,test,18.766666,19.52411,0.757444,0.757444,0.573721
Negev_winter_2021-07-07,2021-07-07,Negev,winter,anchor,Climatology,test,18.766666,19.708372,0.941706,0.941706,0.88681
Negev_winter_2021-07-14,2021-07-14,Negev,winter,anchor,Climatology,test,20.075001,20.253129,0.178128,0.178128,0.03173
Negev_winter_2021-07-21,2021-07-21,Negev,winter,anchor,Climatology,test,18.458334,20.444452,1.986118,1.986118,3.944665
Negev_winter_2021-07-28,2021-07-28,Negev,winter,anchor,Climatology,test,18.266666,20.444452,2.177786,2.177786,4.742752
Negev_winter_2021-08-01,2021-08-01,Negev,winter,anchor,Climatology,test,18.266666,20.225744,1.959078,1.959078,3.837987
Negev_winter_2021-08-07,2021-08-07,Negev,winter,anchor,Climatology,test,18.266666,19.90785,1.641184,1.641184,2.693485
Negev_winter_2021-08-14,2021-08-14,Negev,winter,anchor,Climatology,test,17.666666,19.757908,2.091242,2.091242,4.373293
Negev_winter_2021-08-21,2021-08-21,Negev,winter,anchor,Climatology,test,17.200001,19.09553,1.895529,1.895529,3.59303
Negev_winter_2021-08-28,2021-08-28,Negev,winter,anchor,Climatology,test,14.883333,18.302102,3.418769,3.418769,11.687981
Negev_winter_2021-09-01,2021-09-01,Negev,winter,anchor,Climatology,test,14.883333,18.293949,3.410616,3.410616,11.632301
Negev_winter_2021-09-07,2021-09-07,Negev,winter,anchor,Climatology,test,14.883333,17.223135,2.339802,2.339802,5.474673
Negev_winter_2021-09-14,2021-09-14,Negev,winter,anchor,Climatology,test,14.883333,16.598462,1.715129,1.715129,2.941667
Negev_winter_2021-09-21,2021-09-21,Negev,winter,anchor,Climatology,test,14.2,16.595152,2.395152,2.395152,5.736753
Negev_winter_2021-09-28,2021-09-28,Negev,winter,anchor,Climatology,test,13.641666,14.940132,1.298466,1.298466,1.686014
Negev_winter_2021-10-01,2021-10-01,Negev,winter,anchor,Climatology,test,13.641666,14.293319,0.651653,0.651653,0.424652
Negev_winter_2021-10-07,2021-10-07,Negev,winter,anchor,Climatology,test,13.641666,13.916656,0.27499,0.27499,0.07562
Negev_winter_2021-10-14,2021-10-14,Negev,winter,anchor,Climatology,test,11.641666,12.588691,0.947025,0.947025,0.896856
Negev_winter_2021-10-21,2021-10-21,Negev,winter,anchor,Climatology,test,11.641666,11.980557,0.338891,0.338891,0.114847
Negev_winter_2021-10-28,2021-10-28,Negev,winter,anchor,Climatology,test,9.9,10.950681,1.050681,1.050681,1.103931
Negev_winter_2021-11-01,2021-11-01,Negev,winter,anchor,Climatology,test,9.9,10.456555,0.556555,0.556555,0.309753
Negev_winter_2021-11-07,2021-11-07,Negev,winter,anchor,Climatology,test,7.558333,9.566967,2.008634,2.008634,4.034611
Negev_winter_2021-11-14,2021-11-14,Negev,winter,anchor,Climatology,test,7.558333,8.055624,0.497291,0.497291,0.247298
Negev_winter_2021-11-21,2021-11-21,Negev,winter,anchor,Climatology,test,6.183333,7.771075,1.587742,1.587742,2.520925
Negev_winter_2021-11-28,2021-11-28,Negev,winter,anchor,Climatology,test,5.025,7.020337,1.995337,1.995337,3.98137
Negev_winter_2021-12-01,2021-12-01,Negev,winter,anchor,Climatology,test,5.025,7.020337,1.995337,1.995337,3.98137
Negev_winter_2021-12-07,2021-12-07,Negev,winter,anchor,Climatology,test,5.025,6.541296,1.516296,1.516296,2.299154
Negev_winter_2021-12-14,2021-12-14,Negev,winter,anchor,Climatology,test,4.7,5.474311,0.774311,0.774311,0.599558
Negev_winter_2021-12-21,2021-12-21,Negev,winter,anchor,Climatology,test,0.008333,5.474311,5.465978,5.465978,29.876915
Negev_winter_2021-12-28,2021-12-28,Negev,winter,anchor,Climatology,test,0.008333,5.474311,5.465978,5.465978,29.876915
Negev_winter_2022-01-01,2022-01-01,Negev,winter,anchor,Climatology,test,0.008333,5.474311,5.465978,5.465978,29.876915
Negev_winter_2022-01-07,2022-01-07,Negev,winter,anchor,Climatology,test,0.008333,5.474311,5.465978,5.465978,29.876915
Negev_winter_2022-01-14,2022-01-14,Negev,winter,anchor,Climatology,test,0.008333,5.664829,5.656496,5.656496,31.995947
Negev_winter_2022-01-21,2022-01-21,Negev,winter,anchor,Climatology,test,1.925,6.28303,4.35803,4.35803,18.992425
