sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_winter_2021-06-14,2021-06-14,Negev,winter,soft,Climatology,test,15.85,18.111338,2.261338,2.261338,5.11365,15.85,18.111338,16.666666,19.177223,19.516666,19.622824
Negev_winter_2021-06-21,2021-06-21,Negev,winter,soft,Climatology,test,18.475,19.353979,0.878979,0.878979,0.772604,18.475,19.353979,19.108334,19.530909,20.6,19.911017
Negev_winter_2021-06-28,2021-06-28,Negev,winter,soft,Climatology,test,19.549999,19.622824,0.072825,0.072825,0.005303,19.549999,19.622824,20.450001,19.89221,21.041666,20.404196
Negev_winter_2021-07-01,2021-07-01,Negev,winter,soft,Climatology,test,19.549999,19.622824,0.072825,0.072825,0.005303,19.549999,19.622824,20.450001,19.945291,21.1,20.581781
Negev_winter_2021-07-07,2021-07-07,Negev,winter,soft,Climatology,test,19.983334,20.021072,0.037738,0.037738,0.001424,19.983334,20.021072,20.35,20.497917,21.358334,20.747592
Negev_winter_2021-07-14,2021-07-14,Negev,winter,soft,Climatology,test,20.35,20.444452,0.094452,0.094452,0.008921,20.35,20.444452,20.708334,20.627134,21.358334,20.92725
Negev_winter_2021-07-21,2021-07-21,Negev,winter,soft,Climatology,test,20.325001,20.617383,0.292382,0.292382,0.085487,20.325001,20.617383,20.558332,20.791568,21.358334,21.076462
Negev_winter_2021-07-28,2021-07-28,Negev,winter,soft,Climatology,test,19.908333,20.627134,0.718801,0.718801,0.516675,19.908333,20.627134,20.341667,20.791568,21.200001,21.068895
Negev_winter_2021-08-01,2021-08-01,Negev,winter,soft,Climatology,test,19.908333,20.371883,0.46355,0.46355,0.214879,19.908333,20.371883,20.341667,20.666266,21.283333,21.015456
Negev_winter_2021-08-07,2021-08-07,Negev,winter,soft,Climatology,test,19.191668,20.225744,1.034076,1.034076,1.069313,19.191668,20.225744,20.283333,20.444452,21.116667,20.791568
Negev_winter_2021-08-14,2021-08-14,Negev,winter,soft,Climatology,test,18.35,19.842982,1.492982,1.492982,2.228995,18.35,19.842982,19.466667,19.976716,20.333334,20.598625
Negev_winter_2021-08-21,2021-08-21,Negev,winter,soft,Climatology,test,17.666666,19.451824,1.785158,1.785158,3.186789,17.666666,19.451824,18.683332,19.794106,20.200001,20.223105
Negev_winter_2021-08-28,2021-08-28,Negev,winter,soft,Climatology,test,17.200001,18.724409,1.524408,1.524408,2.32382,17.200001,18.724409,17.983334,19.188072,19.566668,19.798466
Negev_winter_2021-09-01,2021-09-01,Negev,winter,soft,Climatology,test,17.116667,18.323933,1.207266,1.207266,1.457491,17.116667,18.323933,17.666666,18.724409,18.933332,19.548693
Negev_winter_2021-09-07,2021-09-07,Negev,winter,soft,Climatology,test,16.525,18.293949,1.768949,1.768949,3.129181,16.525,18.293949,17.116667,18.472029,18.016666,19.133357
Negev_winter_2021-09-14,2021-09-14,Negev,winter,soft,Climatology,test,16.158333,16.864734,0.706401,0.706401,0.499002,16.158333,16.864734,16.674999,17.409569,17.975,18.584547
Negev_winter_2021-09-21,2021-09-21,Negev,winter,soft,Climatology,test,14.883333,16.822728,1.939395,1.939395,3.761253,14.883333,16.822728,16.491667,16.999757,17.116667,17.648789
Negev_winter_2021-09-28,2021-09-28,Negev,winter,soft,Climatology,test,13.741667,15.667856,1.926189,1.926189,3.710204,13.741667,15.667856,14.641666,16.540324,16.525,17.104428
Negev_winter_2021-10-01,2021-10-01,Negev,winter,soft,Climatology,test,13.741667,14.940132,1.198465,1.198465,1.436318,13.741667,14.940132,14.641666,16.135985,16.525,16.901665
Negev_winter_2021-10-07,2021-10-07,Negev,winter,soft,Climatology,test,13.741667,14.09935,0.357683,0.357683,0.127937,13.741667,14.09935,14.2,14.388391,15.916667,16.493762
Negev_winter_2021-10-14,2021-10-14,Negev,winter,soft,Climatology,test,12.908334,12.868535,-0.039799,0.039799,0.001584,12.908334,12.868535,13.8,13.757187,14.941667,14.69961
Negev_winter_2021-10-21,2021-10-21,Negev,winter,soft,Climatology,test,12.908334,12.334957,-0.573377,0.573377,0.328761,12.908334,12.334957,13.658334,12.588691,14.775,13.916656
Negev_winter_2021-10-28,2021-10-28,Negev,winter,soft,Climatology,test,10.566667,11.079695,0.513028,0.513028,0.263198,10.566667,11.079695,11.641666,12.218291,14.35,12.704314
Negev_winter_2021-11-01,2021-11-01,Negev,winter,soft,Climatology,test,10.566667,10.85675,0.290083,0.290083,0.084148,10.566667,10.85675,11.5,11.079695,13.8,12.448396
Negev_winter_2021-11-07,2021-11-07,Negev,winter,soft,Climatology,test,9.066667,10.456555,1.389888,1.389888,1.931789,9.066667,10.456555,10.625,10.861936,12.216666,11.824028
Negev_winter_2021-11-14,2021-11-14,Negev,winter,soft,Climatology,test,9.066667,8.290976,-0.775691,0.775691,0.601697,9.066667,8.290976,9.975,9.111935,12.108334,10.891827
Negev_winter_2021-11-21,2021-11-21,Negev,winter,soft,Climatology,test,6.483333,7.847912,1.364579,1.364579,1.862076,6.483333,7.847912,8.908334,8.254614,10.566667,9.566967
Negev_winter_2021-11-28,2021-11-28,Negev,winter,soft,Climatology,test,6.183333,7.060071,0.876738,0.876738,0.76867,6.183333,7.060071,6.916667,7.847912,9.083333,8.543702
Negev_winter_2021-12-01,2021-12-01,Negev,winter,soft,Climatology,test,6.183333,7.060071,0.876738,0.876738,0.76867,6.183333,7.060071,6.916667,7.830836,8.575,8.254614
Negev_winter_2021-12-07,2021-12-07,Negev,winter,soft,Climatology,test,6.175,7.020337,0.845337,0.845337,0.714595,6.175,7.020337,6.483333,7.068312,8.108334,7.893732
Negev_winter_2021-12-14,2021-12-14,Negev,winter,soft,Climatology,test,5.258333,6.084046,0.825713,0.825713,0.681802,5.258333,6.084046,6.208333,6.629795,7.05,7.246815
Negev_winter_2021-12-21,2021-12-21,Negev,winter,soft,Climatology,test,2.825,5.743841,2.918841,2.918841,8.519633,2.825,5.743841,5.308333,6.242845,6.975,7.036713
Negev_winter_2021-12-28,2021-12-28,Negev,winter,soft,Climatology,test,1.991667,5.664829,3.673162,3.673162,13.492119,1.991667,5.664829,2.85,6.233166,6.375,6.89729
Negev_winter_2022-01-01,2022-01-01,Negev,winter,soft,Climatology,test,1.991667,5.664829,3.673162,3.673162,13.492119,1.991667,5.664829,2.85,6.233166,5.291667,6.807081
Negev_winter_2022-01-07,2022-01-07,Negev,winter,soft,Climatology,test,1.991667,5.664829,3.673162,3.673162,13.492119,1.991667,5.664829,2.85,6.233166,4.7,6.674401
Negev_winter_2022-01-14,2022-01-14,Negev,winter,soft,Climatology,test,1.991667,6.233166,4.241499,4.241499,17.990314,1.991667,6.233166,2.85,6.388496,4.508333,7.301463
Negev_winter_2022-01-21,2022-01-21,Negev,winter,soft,Climatology,test,2.758333,6.547359,3.789026,3.789026,14.356718,2.758333,6.547359,4.108333,7.011313,6.183333,7.651631
Negev_winter_2022-01-28,2022-01-28,Negev,winter,soft,Climatology,test,4.216667,6.547359,2.330692,2.330692,5.432125,4.216667,6.547359,5.775,7.301463,6.641667,7.858694
Negev_winter_2022-02-01,2022-02-01,Negev,winter,soft,Climatology,test,5.775,7.038528,1.263528,1.263528,1.596503,5.775,7.038528,6.233333,7.543711,6.758333,8.102171
Negev_winter_2022-02-07,2022-02-07,Negev,winter,soft,Climatology,test,5.775,7.543711,1.768711,1.768711,3.128339,5.775,7.543711,6.283333,7.959609,7.341667,8.541631
Negev_winter_2022-02-14,2022-02-14,Negev,winter,soft,Climatology,test,3.709091,8.102171,4.39308,4.39308,19.299152,3.709091,8.102171,6.283333,8.399398,7.466667,9.185267
Negev_winter_2022-02-21,2022-02-21,Negev,winter,soft,Climatology,test,2.127273,8.441493,6.31422,6.31422,39.869374,2.127273,8.441493,4.381818,8.930075,6.983333,9.490551
Negev_winter_2022-02-28,2022-02-28,Negev,winter,soft,Climatology,test,2.127273,8.831035,6.703762,6.703762,44.940425,2.127273,8.831035,3.709091,9.38201,5.781818,10.20247
Negev_winter_2022-03-01,2022-03-01,Negev,winter,soft,Climatology,test,2.127273,8.831035,6.703762,6.703762,44.940425,2.127273,8.831035,3.709091,9.490551,5.781818,10.232656
