sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_winter_2021-06-14,2021-06-14,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,15.391666,16.574889,1.183223,1.183223,1.400017
Negev_winter_2021-06-21,2021-06-21,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,16.666666,15.843716,-0.822950,0.822950,0.677247
Negev_winter_2021-06-28,2021-06-28,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,18.766666,18.525219,-0.241447,0.241447,0.058297
Negev_winter_2021-07-01,2021-07-01,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,18.766666,18.882339,0.115673,0.115673,0.013380
Negev_winter_2021-07-07,2021-07-07,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,18.766666,17.949355,-0.817311,0.817311,0.667998
Negev_winter_2021-07-14,2021-07-14,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,20.075001,18.508278,-1.566723,1.566723,2.454622
Negev_winter_2021-07-21,2021-07-21,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,18.458334,18.506237,0.047903,0.047903,0.002295
Negev_winter_2021-07-28,2021-07-28,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,18.266666,18.473511,0.206844,0.206844,0.042785
Negev_winter_2021-08-01,2021-08-01,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,18.266666,18.364723,0.098056,0.098056,0.009615
Negev_winter_2021-08-07,2021-08-07,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,18.266666,17.500243,-0.766424,0.766424,0.587405
Negev_winter_2021-08-14,2021-08-14,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,17.666666,18.129503,0.462837,0.462837,0.214218
Negev_winter_2021-08-21,2021-08-21,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,17.200001,17.514967,0.314967,0.314967,0.099204
Negev_winter_2021-08-28,2021-08-28,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,14.883333,16.517519,1.634185,1.634185,2.670562
Negev_winter_2021-09-01,2021-09-01,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,14.883333,16.831141,1.947807,1.947807,3.793953
Negev_winter_2021-09-07,2021-09-07,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,14.883333,15.845262,0.961929,0.961929,0.925307
Negev_winter_2021-09-14,2021-09-14,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,14.883333,14.832096,-0.051237,0.051237,0.002625
Negev_winter_2021-09-21,2021-09-21,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,14.200000,14.168502,-0.031498,0.031498,0.000992
Negev_winter_2021-09-28,2021-09-28,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,13.641666,11.147515,-2.494151,2.494151,6.220792
Negev_winter_2021-10-01,2021-10-01,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,13.641666,12.551535,-1.090131,1.090131,1.188386
Negev_winter_2021-10-07,2021-10-07,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,13.641666,10.753000,-2.888666,2.888666,8.344392
Negev_winter_2021-10-14,2021-10-14,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,11.641666,12.084962,0.443295,0.443295,0.196511
Negev_winter_2021-10-21,2021-10-21,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,11.641666,9.223426,-2.418240,2.418240,5.847886
Negev_winter_2021-10-28,2021-10-28,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,9.900000,9.798105,-0.101895,0.101895,0.010383
Negev_winter_2021-11-01,2021-11-01,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,9.900000,7.616642,-2.283358,2.283358,5.213723
Negev_winter_2021-11-07,2021-11-07,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,7.558333,7.060964,-0.497370,0.497370,0.247377
Negev_winter_2021-11-14,2021-11-14,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,7.558333,5.412174,-2.146159,2.146159,4.605999
Negev_winter_2021-11-21,2021-11-21,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,6.183333,5.780369,-0.402964,0.402964,0.162380
Negev_winter_2021-11-28,2021-11-28,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,5.025000,3.977322,-1.047678,1.047678,1.097628
Negev_winter_2021-12-01,2021-12-01,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,5.025000,4.460620,-0.564380,0.564380,0.318525
