sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_winter_2021-06-14,2021-06-14,Negev,winter,soft,ConvNeXtTiny-LSTM,test,17.344444,18.689852,1.345408,1.345408,2.567074,15.850000,17.770444,16.666666,18.666589,19.516666,19.632523
Negev_winter_2021-06-21,2021-06-21,Negev,winter,soft,ConvNeXtTiny-LSTM,test,19.394445,18.089095,-1.305350,1.305350,1.728362,18.475000,17.115385,19.108334,18.015664,20.600000,19.136236
Negev_winter_2021-06-28,2021-06-28,Negev,winter,soft,ConvNeXtTiny-LSTM,test,20.347222,20.534811,0.187589,0.187589,0.035619,19.549999,19.764535,20.450001,20.634127,21.041666,21.205772
Negev_winter_2021-07-01,2021-07-01,Negev,winter,soft,ConvNeXtTiny-LSTM,test,20.366667,20.915394,0.548727,0.548727,0.307014,19.549999,20.186082,20.450001,21.011139,21.100000,21.548960
Negev_winter_2021-07-07,2021-07-07,Negev,winter,soft,ConvNeXtTiny-LSTM,test,20.563889,19.870334,-0.693555,0.693555,0.520554,19.983334,19.048812,20.350000,19.902444,21.358334,20.659746
Negev_winter_2021-07-14,2021-07-14,Negev,winter,soft,ConvNeXtTiny-LSTM,test,20.805556,20.427059,-0.378497,0.378497,0.190888,20.350000,19.663343,20.708334,20.498735,21.358334,21.119098
Negev_winter_2021-07-21,2021-07-21,Negev,winter,soft,ConvNeXtTiny-LSTM,test,20.747222,20.370376,-0.376846,0.376846,0.206146,20.325001,19.611443,20.558332,20.455522,21.358334,21.044165
Negev_winter_2021-07-28,2021-07-28,Negev,winter,soft,ConvNeXtTiny-LSTM,test,20.483334,20.383199,-0.100135,0.170661,0.035855,19.908333,19.621935,20.341667,20.447457,21.200001,21.080204
Negev_winter_2021-08-01,2021-08-01,Negev,winter,soft,ConvNeXtTiny-LSTM,test,20.511111,20.214770,-0.296341,0.296341,0.117495,19.908333,19.453837,20.341667,20.284888,21.283333,20.905584
Negev_winter_2021-08-07,2021-08-07,Negev,winter,soft,ConvNeXtTiny-LSTM,test,20.197222,19.485455,-0.711768,0.711768,0.530759,19.191668,18.687072,20.283333,19.531451,21.116667,20.237841
Negev_winter_2021-08-14,2021-08-14,Negev,winter,soft,ConvNeXtTiny-LSTM,test,19.383334,20.006822,0.623488,0.623488,0.424812,18.350000,19.213004,19.466667,20.075688,20.333334,20.731774
Negev_winter_2021-08-21,2021-08-21,Negev,winter,soft,ConvNeXtTiny-LSTM,test,18.850000,19.468218,0.618218,0.618218,0.509487,17.666666,18.596211,18.683332,19.489758,20.200001,20.318685
Negev_winter_2021-08-28,2021-08-28,Negev,winter,soft,ConvNeXtTiny-LSTM,test,18.250001,18.634452,0.384451,0.384451,0.214383,17.200001,17.645811,17.983334,18.648627,19.566668,19.608918
Negev_winter_2021-09-01,2021-09-01,Negev,winter,soft,ConvNeXtTiny-LSTM,test,17.905555,18.798240,0.892685,0.892685,0.823936,17.116667,17.900128,17.666666,18.791803,18.933332,19.702789
Negev_winter_2021-09-07,2021-09-07,Negev,winter,soft,ConvNeXtTiny-LSTM,test,17.219444,17.797602,0.578157,0.578157,0.372548,16.525000,16.852716,17.116667,17.718148,18.016666,18.821941
Negev_winter_2021-09-14,2021-09-14,Negev,winter,soft,ConvNeXtTiny-LSTM,test,16.936111,16.982997,0.046887,0.166074,0.029536,16.158333,15.979552,16.674999,16.887746,17.975000,18.081694
Negev_winter_2021-09-21,2021-09-21,Negev,winter,soft,ConvNeXtTiny-LSTM,test,16.163889,16.539623,0.375734,0.442708,0.254779,14.883333,15.478898,16.491667,16.391206,17.116667,17.748766
Negev_winter_2021-09-28,2021-09-28,Negev,winter,soft,ConvNeXtTiny-LSTM,test,14.969444,13.680585,-1.288860,1.288860,1.682535,13.741667,12.472703,14.641666,13.521091,16.525000,15.047959
Negev_winter_2021-10-01,2021-10-01,Negev,winter,soft,ConvNeXtTiny-LSTM,test,14.969444,15.043317,0.073873,0.226122,0.054232,13.741667,13.898491,14.641666,14.934835,16.525000,16.296625
Negev_winter_2021-10-07,2021-10-07,Negev,winter,soft,ConvNeXtTiny-LSTM,test,14.619445,13.178843,-1.440601,1.440601,2.131863,13.741667,11.984035,14.200000,13.014938,15.916667,14.537557
Negev_winter_2021-10-14,2021-10-14,Negev,winter,soft,ConvNeXtTiny-LSTM,test,13.883334,14.381462,0.498128,0.498128,0.272012,12.908334,13.236577,13.800000,14.264015,14.941667,15.643793
Negev_winter_2021-10-21,2021-10-21,Negev,winter,soft,ConvNeXtTiny-LSTM,test,13.780556,11.565345,-2.215211,2.215211,4.993128,12.908334,10.379812,13.658334,11.364553,14.775000,12.951670
Negev_winter_2021-10-28,2021-10-28,Negev,winter,soft,ConvNeXtTiny-LSTM,test,12.186111,12.065589,-0.120522,0.463849,0.302177,10.566667,10.771377,11.641666,11.951946,14.350000,13.473444
Negev_winter_2021-11-01,2021-11-01,Negev,winter,soft,ConvNeXtTiny-LSTM,test,11.955556,9.849702,-2.105853,2.105853,4.556449,10.566667,8.672410,11.500000,9.674567,13.800000,11.202130
Negev_winter_2021-11-07,2021-11-07,Negev,winter,soft,ConvNeXtTiny-LSTM,test,10.636111,9.523512,-1.112599,1.112599,1.321142,9.066667,8.358530,10.625000,9.357125,12.216666,10.854880
Negev_winter_2021-11-14,2021-11-14,Negev,winter,soft,ConvNeXtTiny-LSTM,test,10.383334,7.472723,-2.910610,2.910610,8.550615,9.066667,6.248227,9.975000,7.353080,12.108334,8.816863
Negev_winter_2021-11-21,2021-11-21,Negev,winter,soft,ConvNeXtTiny-LSTM,test,8.652778,8.068850,-0.583927,0.840328,0.821059,6.483333,6.867934,8.908334,7.968967,10.566667,9.369650
Negev_winter_2021-11-28,2021-11-28,Negev,winter,soft,ConvNeXtTiny-LSTM,test,7.394444,6.777237,-0.617207,0.617207,0.425030,6.183333,5.329128,6.916667,6.572885,9.083333,8.429699
Negev_winter_2021-12-01,2021-12-01,Negev,winter,soft,ConvNeXtTiny-LSTM,test,7.225000,7.084863,-0.140137,0.210327,0.094046,6.183333,5.657638,6.916667,6.980287,8.575000,8.616664
Negev_winter_2021-12-07,2021-12-07,Negev,winter,soft,ConvNeXtTiny-LSTM,test,6.922222,6.017730,-0.904492,0.904492,0.921440,6.175000,4.850631,6.483333,5.939708,8.108334,7.262853
Negev_winter_2021-12-14,2021-12-14,Negev,winter,soft,ConvNeXtTiny-LSTM,test,6.172222,6.323689,0.151467,0.366221,0.235021,5.258333,4.938875,6.208333,6.205660,7.050000,7.826532
Negev_winter_2021-12-21,2021-12-21,Negev,winter,soft,ConvNeXtTiny-LSTM,test,5.036111,5.043340,0.007229,0.658395,0.493691,2.825000,3.823437,5.308333,4.879865,6.975000,6.426719
Negev_winter_2021-12-28,2021-12-28,Negev,winter,soft,ConvNeXtTiny-LSTM,test,3.738889,5.076799,1.337910,1.337910,2.592169,1.991667,3.928860,2.850000,4.854650,6.375000,6.446888
Negev_winter_2022-01-01,2022-01-01,Negev,winter,soft,ConvNeXtTiny-LSTM,test,3.377778,5.383241,2.005464,2.005464,4.272110,1.991667,4.258207,2.850000,5.294327,5.291667,6.597190
Negev_winter_2022-01-07,2022-01-07,Negev,winter,soft,ConvNeXtTiny-LSTM,test,3.180555,5.654887,2.474331,2.474331,6.152262,1.991667,4.561703,2.850000,5.471546,4.700000,6.931410
Negev_winter_2022-01-14,2022-01-14,Negev,winter,soft,ConvNeXtTiny-LSTM,test,3.116667,5.075541,1.958875,1.958875,3.841403,1.991667,3.920732,2.850000,4.898963,4.508333,6.406929
Negev_winter_2022-01-21,2022-01-21,Negev,winter,soft,ConvNeXtTiny-LSTM,test,4.350000,4.697473,0.347473,0.470127,0.262726,2.758333,3.405458,4.108333,4.687607,6.183333,5.999352
