sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_winter_2021-06-14,2021-06-14,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,15.391666,16.711875,1.320209,1.320209,1.742952
Negev_winter_2021-06-21,2021-06-21,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,16.666666,16.215321,-0.451345,0.451345,0.203712
Negev_winter_2021-06-28,2021-06-28,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,18.766666,18.307497,-0.459169,0.459169,0.210836
Negev_winter_2021-07-01,2021-07-01,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,18.766666,18.544824,-0.221842,0.221842,0.049214
Negev_winter_2021-07-07,2021-07-07,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,18.766666,17.932691,-0.833975,0.833975,0.695514
Negev_winter_2021-07-14,2021-07-14,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,20.075001,18.354176,-1.720825,1.720825,2.961239
Negev_winter_2021-07-21,2021-07-21,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,18.458334,18.373809,-0.084525,0.084525,0.007144
Negev_winter_2021-07-28,2021-07-28,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,18.266666,18.158286,-0.10838,0.10838,0.011746
Negev_winter_2021-08-01,2021-08-01,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,18.266666,17.531763,-0.734903,0.734903,0.540082
Negev_winter_2021-08-07,2021-08-07,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,18.266666,15.891435,-2.375231,2.375231,5.641722
Negev_winter_2021-08-14,2021-08-14,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,17.666666,17.438932,-0.227734,0.227734,0.051863
Negev_winter_2021-08-21,2021-08-21,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,17.200001,16.786473,-0.413528,0.413528,0.171005
Negev_winter_2021-08-28,2021-08-28,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,14.883333,16.639817,1.756484,1.756484,3.085236
Negev_winter_2021-09-01,2021-09-01,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,14.883333,16.359541,1.476208,1.476208,2.17919
Negev_winter_2021-09-07,2021-09-07,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,14.883333,15.615335,0.732002,0.732002,0.535827
Negev_winter_2021-09-14,2021-09-14,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,14.883333,14.054392,-0.828941,0.828941,0.687143
Negev_winter_2021-09-21,2021-09-21,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,14.2,14.705388,0.505388,0.505388,0.255417
Negev_winter_2021-09-28,2021-09-28,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,13.641666,12.343913,-1.297753,1.297753,1.684163
Negev_winter_2021-10-01,2021-10-01,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,13.641666,12.719229,-0.922437,0.922437,0.85089
Negev_winter_2021-10-07,2021-10-07,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,13.641666,10.955748,-2.685918,2.685918,7.214156
Negev_winter_2021-10-14,2021-10-14,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,11.641666,10.356128,-1.285538,1.285538,1.652608
Negev_winter_2021-10-21,2021-10-21,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,11.641666,8.551248,-3.090418,3.090418,9.550683
Negev_winter_2021-10-28,2021-10-28,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,9.9,9.639396,-0.260604,0.260604,0.067914
Negev_winter_2021-11-01,2021-11-01,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,9.9,6.934251,-2.965749,2.965749,8.795667
Negev_winter_2021-11-07,2021-11-07,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,7.558333,6.731385,-0.826948,0.826948,0.683843
Negev_winter_2021-11-14,2021-11-14,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,7.558333,3.618255,-3.940078,3.940078,15.524215
Negev_winter_2021-11-21,2021-11-21,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,6.183333,4.582731,-1.600602,1.600602,2.561927
Negev_winter_2021-11-28,2021-11-28,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,5.025,3.776227,-1.248773,1.248773,1.559434
Negev_winter_2021-12-01,2021-12-01,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,5.025,2.762179,-2.262821,2.262821,5.120359
Negev_winter_2021-12-07,2021-12-07,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,5.025,4.379172,-0.645828,0.645828,0.417094
Negev_winter_2021-12-14,2021-12-14,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,4.7,4.27113,-0.42887,0.42887,0.183929
Negev_winter_2021-12-21,2021-12-21,Negev,winter,anchor,ConvNeXtTiny-TFT-NN,test,0.008333,2.538039,2.529706,2.529706,6.399412
