sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_winter_2021-06-14,2021-06-14,Negev,winter,soft,ConvNeXtTiny-TFT-NN,test,15.85,17.93144,2.08144,2.08144,4.332392,15.85,17.93144,16.666666,18.725114,19.516666,19.805753
Negev_winter_2021-06-21,2021-06-21,Negev,winter,soft,ConvNeXtTiny-TFT-NN,test,18.475,17.420443,-1.054557,1.054557,1.11209,18.475,17.420443,19.108334,18.282517,20.6,19.410946
Negev_winter_2021-06-28,2021-06-28,Negev,winter,soft,ConvNeXtTiny-TFT-NN,test,19.549999,19.544505,-0.005494,0.005494,3e-05,19.549999,19.544505,20.450001,20.181449,21.041666,21.037906
Negev_winter_2021-07-01,2021-07-01,Negev,winter,soft,ConvNeXtTiny-TFT-NN,test,19.549999,19.770775,0.220776,0.220776,0.048742,19.549999,19.770775,20.450001,20.371202,21.1,21.193211
Negev_winter_2021-07-07,2021-07-07,Negev,winter,soft,ConvNeXtTiny-TFT-NN,test,19.983334,19.170287,-0.813047,0.813047,0.661045,19.983334,19.170287,20.35,19.846562,21.358334,20.73575
Negev_winter_2021-07-14,2021-07-14,Negev,winter,soft,ConvNeXtTiny-TFT-NN,test,20.35,19.624838,-0.725162,0.725162,0.52586,20.35,19.624838,20.708334,20.227099,21.358334,21.090512
Negev_winter_2021-07-21,2021-07-21,Negev,winter,soft,ConvNeXtTiny-TFT-NN,test,20.325001,19.672806,-0.652195,0.652195,0.425358,20.325001,19.672806,20.558332,20.270077,21.358334,21.14701
Negev_winter_2021-07-28,2021-07-28,Negev,winter,soft,ConvNeXtTiny-TFT-NN,test,19.908333,19.478201,-0.430132,0.430132,0.185014,19.908333,19.478201,20.341667,20.094509,21.200001,21.016987
Negev_winter_2021-08-01,2021-08-01,Negev,winter,soft,ConvNeXtTiny-TFT-NN,test,19.908333,18.80546,-1.102873,1.102873,1.216329,19.908333,18.80546,20.341667,19.457186,21.283333,20.47723
Negev_winter_2021-08-07,2021-08-07,Negev,winter,soft,ConvNeXtTiny-TFT-NN,test,19.191668,17.346658,-1.84501,1.84501,3.404062,19.191668,17.346658,20.283333,18.162496,21.116667,19.366626
Negev_winter_2021-08-14,2021-08-14,Negev,winter,soft,ConvNeXtTiny-TFT-NN,test,18.35,18.731663,0.381663,0.381663,0.145667,18.35,18.731663,19.466667,19.38272,20.333334,20.430981
Negev_winter_2021-08-21,2021-08-21,Negev,winter,soft,ConvNeXtTiny-TFT-NN,test,17.666666,18.104011,0.437345,0.437345,0.191271,17.666666,18.104011,18.683332,18.822971,20.200001,19.952193
Negev_winter_2021-08-28,2021-08-28,Negev,winter,soft,ConvNeXtTiny-TFT-NN,test,17.200001,18.062994,0.862993,0.862993,0.744757,17.200001,18.062994,17.983334,18.81359,19.566668,19.988079
Negev_winter_2021-09-01,2021-09-01,Negev,winter,soft,ConvNeXtTiny-TFT-NN,test,17.116667,17.752695,0.636028,0.636028,0.404532,17.116667,17.752695,17.666666,18.471296,18.933332,19.662834
Negev_winter_2021-09-07,2021-09-07,Negev,winter,soft,ConvNeXtTiny-TFT-NN,test,16.525,17.019507,0.494507,0.494507,0.244537,16.525,17.019507,17.116667,17.77604,18.016666,19.034178
Negev_winter_2021-09-14,2021-09-14,Negev,winter,soft,ConvNeXtTiny-TFT-NN,test,16.158333,15.535702,-0.622631,0.622631,0.387669,16.158333,15.535702,16.674999,16.34453,17.975,17.722401
Negev_winter_2021-09-21,2021-09-21,Negev,winter,soft,ConvNeXtTiny-TFT-NN,test,14.883333,16.148357,1.265024,1.265024,1.600286,14.883333,16.148357,16.491667,16.961406,17.116667,18.335033
Negev_winter_2021-09-28,2021-09-28,Negev,winter,soft,ConvNeXtTiny-TFT-NN,test,13.741667,13.834923,0.093256,0.093256,0.008697,13.741667,13.834923,14.641666,14.778967,16.525,16.274915
