sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_winter_2021-06-14,2021-06-14,Negev,winter,anchor,ConvNeXtTiny-TFT,test,15.391666,16.214061,0.822394,0.822394,0.676332
Negev_winter_2021-06-21,2021-06-21,Negev,winter,anchor,ConvNeXtTiny-TFT,test,16.666666,15.557203,-1.109463,1.109463,1.230908
Negev_winter_2021-06-28,2021-06-28,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.766666,18.679737,-0.086929,0.086929,0.007557
Negev_winter_2021-07-01,2021-07-01,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.766666,19.011718,0.245052,0.245052,0.060050
Negev_winter_2021-07-07,2021-07-07,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.766666,17.652573,-1.114093,1.114093,1.241203
Negev_winter_2021-07-14,2021-07-14,Negev,winter,anchor,ConvNeXtTiny-TFT,test,20.075001,18.802802,-1.272199,1.272199,1.618491
Negev_winter_2021-07-21,2021-07-21,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.458334,18.470644,0.012310,0.012310,0.000152
Negev_winter_2021-07-28,2021-07-28,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.266666,18.486983,0.220316,0.220316,0.048539
Negev_winter_2021-08-01,2021-08-01,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.266666,18.092137,-0.174530,0.174530,0.030461
Negev_winter_2021-08-07,2021-08-07,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.266666,18.139984,-0.126683,0.126683,0.016048
Negev_winter_2021-08-14,2021-08-14,Negev,winter,anchor,ConvNeXtTiny-TFT,test,17.666666,18.108998,0.442332,0.442332,0.195657
Negev_winter_2021-08-21,2021-08-21,Negev,winter,anchor,ConvNeXtTiny-TFT,test,17.200001,17.487799,0.287798,0.287798,0.082828
Negev_winter_2021-08-28,2021-08-28,Negev,winter,anchor,ConvNeXtTiny-TFT,test,14.883333,16.815741,1.932408,1.932408,3.734201
Negev_winter_2021-09-01,2021-09-01,Negev,winter,anchor,ConvNeXtTiny-TFT,test,14.883333,16.935934,2.052600,2.052600,4.213169
Negev_winter_2021-09-07,2021-09-07,Negev,winter,anchor,ConvNeXtTiny-TFT,test,14.883333,16.225017,1.341684,1.341684,1.800116
Negev_winter_2021-09-14,2021-09-14,Negev,winter,anchor,ConvNeXtTiny-TFT,test,14.883333,12.750912,-2.132422,2.132422,4.547222
Negev_winter_2021-09-21,2021-09-21,Negev,winter,anchor,ConvNeXtTiny-TFT,test,14.200000,14.947676,0.747676,0.747676,0.559020
Negev_winter_2021-09-28,2021-09-28,Negev,winter,anchor,ConvNeXtTiny-TFT,test,13.641666,12.100611,-1.541055,1.541055,2.374850
Negev_winter_2021-10-01,2021-10-01,Negev,winter,anchor,ConvNeXtTiny-TFT,test,13.641666,12.784623,-0.857043,0.857043,0.734523
Negev_winter_2021-10-07,2021-10-07,Negev,winter,anchor,ConvNeXtTiny-TFT,test,13.641666,11.484595,-2.157072,2.157072,4.652959
Negev_winter_2021-10-14,2021-10-14,Negev,winter,anchor,ConvNeXtTiny-TFT,test,11.641666,10.588824,-1.052842,1.052842,1.108477
Negev_winter_2021-10-21,2021-10-21,Negev,winter,anchor,ConvNeXtTiny-TFT,test,11.641666,7.998799,-3.642868,3.642868,13.270485
Negev_winter_2021-10-28,2021-10-28,Negev,winter,anchor,ConvNeXtTiny-TFT,test,9.900000,10.266060,0.366060,0.366060,0.134000
Negev_winter_2021-11-01,2021-11-01,Negev,winter,anchor,ConvNeXtTiny-TFT,test,9.900000,6.661432,-3.238568,3.238568,10.488321
Negev_winter_2021-11-07,2021-11-07,Negev,winter,anchor,ConvNeXtTiny-TFT,test,7.558333,7.347553,-0.210780,0.210780,0.044428
Negev_winter_2021-11-14,2021-11-14,Negev,winter,anchor,ConvNeXtTiny-TFT,test,7.558333,3.891213,-3.667120,3.667120,13.447770
Negev_winter_2021-11-21,2021-11-21,Negev,winter,anchor,ConvNeXtTiny-TFT,test,6.183333,5.278454,-0.904880,0.904880,0.818807
Negev_winter_2021-11-28,2021-11-28,Negev,winter,anchor,ConvNeXtTiny-TFT,test,5.025000,3.426270,-1.598730,1.598730,2.555937
Negev_winter_2021-12-01,2021-12-01,Negev,winter,anchor,ConvNeXtTiny-TFT,test,5.025000,2.985113,-2.039887,2.039887,4.161140
Negev_winter_2021-12-07,2021-12-07,Negev,winter,anchor,ConvNeXtTiny-TFT,test,5.025000,4.609444,-0.415556,0.415556,0.172687
Negev_winter_2021-12-14,2021-12-14,Negev,winter,anchor,ConvNeXtTiny-TFT,test,4.700000,3.404423,-1.295577,1.295577,1.678519
Negev_winter_2021-12-21,2021-12-21,Negev,winter,anchor,ConvNeXtTiny-TFT,test,0.008333,2.273777,2.265444,2.265444,5.132235
Negev_winter_2021-12-28,2021-12-28,Negev,winter,anchor,ConvNeXtTiny-TFT,test,0.008333,1.741745,1.733412,1.733412,3.004716
Negev_winter_2022-01-01,2022-01-01,Negev,winter,anchor,ConvNeXtTiny-TFT,test,0.008333,3.695931,3.687598,3.687598,13.598378
Negev_winter_2022-01-07,2022-01-07,Negev,winter,anchor,ConvNeXtTiny-TFT,test,0.008333,4.188739,4.180405,4.180405,17.475788
Negev_winter_2022-01-14,2022-01-14,Negev,winter,anchor,ConvNeXtTiny-TFT,test,0.008333,3.014173,3.005840,3.005840,9.035073
Negev_winter_2022-01-21,2022-01-21,Negev,winter,anchor,ConvNeXtTiny-TFT,test,1.925000,1.594294,-0.330706,0.330706,0.109367
Negev_winter_2022-01-28,2022-01-28,Negev,winter,anchor,ConvNeXtTiny-TFT,test,3.258333,1.671702,-1.586631,1.586631,2.517399
Negev_winter_2022-02-01,2022-02-01,Negev,winter,anchor,ConvNeXtTiny-TFT,test,4.508333,2.553093,-1.955241,1.955241,3.822966
Negev_winter_2022-02-07,2022-02-07,Negev,winter,anchor,ConvNeXtTiny-TFT,test,4.508333,3.138505,-1.369828,1.369828,1.876428
Negev_winter_2022-02-14,2022-02-14,Negev,winter,anchor,ConvNeXtTiny-TFT,test,1.466667,2.108211,0.641544,0.641544,0.411579
Negev_winter_2022-02-21,2022-02-21,Negev,winter,anchor,ConvNeXtTiny-TFT,test,0.881818,5.021852,4.140034,4.140034,17.139883
Negev_winter_2022-02-28,2022-02-28,Negev,winter,anchor,ConvNeXtTiny-TFT,test,0.881818,5.795563,4.913745,4.913745,24.144891
Negev_winter_2022-03-01,2022-03-01,Negev,winter,anchor,ConvNeXtTiny-TFT,test,0.881818,6.082881,5.201062,5.201062,27.051050
Negev_winter_2022-03-07,2022-03-07,Negev,winter,anchor,ConvNeXtTiny-TFT,test,0.881818,3.932476,3.050658,3.050658,9.306512
Negev_winter_2022-03-14,2022-03-14,Negev,winter,anchor,ConvNeXtTiny-TFT,test,0.881818,4.469466,3.587648,3.587648,12.871216
Negev_winter_2022-03-21,2022-03-21,Negev,winter,anchor,ConvNeXtTiny-TFT,test,3.627273,4.778187,1.150915,1.150915,1.324604
Negev_winter_2022-03-28,2022-03-28,Negev,winter,anchor,ConvNeXtTiny-TFT,test,5.736363,7.551943,1.815580,1.815580,3.296331
Negev_winter_2022-04-01,2022-04-01,Negev,winter,anchor,ConvNeXtTiny-TFT,test,7.733333,7.277012,-0.456321,0.456321,0.208229
Negev_winter_2022-04-07,2022-04-07,Negev,winter,anchor,ConvNeXtTiny-TFT,test,7.733333,9.762076,2.028743,2.028743,4.115799
Negev_winter_2022-04-14,2022-04-14,Negev,winter,anchor,ConvNeXtTiny-TFT,test,7.925000,9.248361,1.323361,1.323361,1.751283
Negev_winter_2022-04-21,2022-04-21,Negev,winter,anchor,ConvNeXtTiny-TFT,test,9.008333,9.469020,0.460686,0.460686,0.212232
Negev_winter_2022-04-28,2022-04-28,Negev,winter,anchor,ConvNeXtTiny-TFT,test,10.283334,11.183451,0.900117,0.900117,0.810210
Negev_winter_2022-05-01,2022-05-01,Negev,winter,anchor,ConvNeXtTiny-TFT,test,10.283334,13.246071,2.962737,2.962737,8.777810
Negev_winter_2022-05-07,2022-05-07,Negev,winter,anchor,ConvNeXtTiny-TFT,test,10.283334,11.204872,0.921538,0.921538,0.849232
Negev_winter_2022-05-14,2022-05-14,Negev,winter,anchor,ConvNeXtTiny-TFT,test,11.875000,11.937194,0.062194,0.062194,0.003868
Negev_winter_2022-05-21,2022-05-21,Negev,winter,anchor,ConvNeXtTiny-TFT,test,13.891666,12.022259,-1.869408,1.869408,3.494685
Negev_winter_2022-05-28,2022-05-28,Negev,winter,anchor,ConvNeXtTiny-TFT,test,16.136364,14.956647,-1.179717,1.179717,1.391732
Negev_winter_2022-06-01,2022-06-01,Negev,winter,anchor,ConvNeXtTiny-TFT,test,16.136364,15.452186,-0.684178,0.684178,0.468099
Negev_winter_2022-06-07,2022-06-07,Negev,winter,anchor,ConvNeXtTiny-TFT,test,17.775000,16.232113,-1.542887,1.542887,2.380499
Negev_winter_2022-06-14,2022-06-14,Negev,winter,anchor,ConvNeXtTiny-TFT,test,17.775000,16.433503,-1.341497,1.341497,1.799613
Negev_winter_2022-06-21,2022-06-21,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.075001,16.044510,-2.030491,2.030491,4.122895
Negev_winter_2022-06-28,2022-06-28,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.333334,17.799096,-0.534238,0.534238,0.285411
Negev_winter_2022-07-01,2022-07-01,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.333334,17.880204,-0.453130,0.453130,0.205327
Negev_winter_2022-07-07,2022-07-07,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.333334,17.929043,-0.404291,0.404291,0.163451
Negev_winter_2022-07-14,2022-07-14,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.408333,18.745842,0.337509,0.337509,0.113912
Negev_winter_2022-07-21,2022-07-21,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.408333,18.879874,0.471541,0.471541,0.222351
Negev_winter_2022-07-28,2022-07-28,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.283333,17.833513,-0.449820,0.449820,0.202338
Negev_winter_2022-08-01,2022-08-01,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.283333,18.427995,0.144662,0.144662,0.020927
Negev_winter_2022-08-07,2022-08-07,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.283333,18.399122,0.115789,0.115789,0.013407
Negev_winter_2022-08-14,2022-08-14,Negev,winter,anchor,ConvNeXtTiny-TFT,test,17.674999,18.191399,0.516399,0.516399,0.266668
Negev_winter_2022-08-21,2022-08-21,Negev,winter,anchor,ConvNeXtTiny-TFT,test,17.674999,17.753113,0.078114,0.078114,0.006102
Negev_winter_2022-08-28,2022-08-28,Negev,winter,anchor,ConvNeXtTiny-TFT,test,17.516666,17.911136,0.394469,0.394469,0.155606
Negev_winter_2022-09-01,2022-09-01,Negev,winter,anchor,ConvNeXtTiny-TFT,test,17.516666,17.941776,0.425110,0.425110,0.180718
Negev_winter_2022-09-07,2022-09-07,Negev,winter,anchor,ConvNeXtTiny-TFT,test,17.516666,17.144584,-0.372082,0.372082,0.138445
Negev_winter_2022-09-14,2022-09-14,Negev,winter,anchor,ConvNeXtTiny-TFT,test,15.108334,16.672989,1.564656,1.564656,2.448147
Negev_winter_2022-09-21,2022-09-21,Negev,winter,anchor,ConvNeXtTiny-TFT,test,15.058333,15.284520,0.226187,0.226187,0.051160
