sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_winter_2021-06-14,2021-06-14,Negev,winter,soft,ConvNeXtTiny-TFT,test,17.344444,18.269131,0.924687,1.043545,1.463509,15.850000,17.309425,16.666666,18.159590,19.516666,19.338380
Negev_winter_2021-06-21,2021-06-21,Negev,winter,soft,ConvNeXtTiny-TFT,test,19.394445,18.048533,-1.345912,1.345912,1.828009,18.475000,17.076160,19.108334,17.939535,20.600000,19.129905
Negev_winter_2021-06-28,2021-06-28,Negev,winter,soft,ConvNeXtTiny-TFT,test,20.347222,20.231606,-0.115616,0.117844,0.034144,19.549999,19.553341,20.450001,20.131543,21.041666,21.009933
Negev_winter_2021-07-01,2021-07-01,Negev,winter,soft,ConvNeXtTiny-TFT,test,20.366667,20.452230,0.085563,0.152112,0.026150,19.549999,19.777925,20.450001,20.350178,21.100000,21.228588
Negev_winter_2021-07-07,2021-07-07,Negev,winter,soft,ConvNeXtTiny-TFT,test,20.563889,19.803208,-0.760681,0.760681,0.591731,19.983334,19.068204,20.350000,19.708392,21.358334,20.633027
Negev_winter_2021-07-14,2021-07-14,Negev,winter,soft,ConvNeXtTiny-TFT,test,20.805556,20.317736,-0.487820,0.487820,0.273666,20.350000,19.631310,20.708334,20.219456,21.358334,21.102442
Negev_winter_2021-07-21,2021-07-21,Negev,winter,soft,ConvNeXtTiny-TFT,test,20.747222,20.278811,-0.468411,0.468411,0.257227,20.325001,19.585873,20.558332,20.183299,21.358334,21.067262
Negev_winter_2021-07-28,2021-07-28,Negev,winter,soft,ConvNeXtTiny-TFT,test,20.483334,20.187653,-0.295681,0.295681,0.095423,19.908333,19.488390,20.341667,20.087789,21.200001,20.986779
Negev_winter_2021-08-01,2021-08-01,Negev,winter,soft,ConvNeXtTiny-TFT,test,20.511111,19.863176,-0.647935,0.647935,0.427695,19.908333,19.134949,20.341667,19.753333,21.283333,20.701247
Negev_winter_2021-08-07,2021-08-07,Negev,winter,soft,ConvNeXtTiny-TFT,test,20.197222,19.828263,-0.368959,0.368959,0.173693,19.191668,19.085037,20.283333,19.714422,21.116667,20.685330
Negev_winter_2021-08-14,2021-08-14,Negev,winter,soft,ConvNeXtTiny-TFT,test,19.383334,19.751178,0.367844,0.367844,0.176900,18.350000,18.996767,19.466667,19.631507,20.333334,20.625261
Negev_winter_2021-08-21,2021-08-21,Negev,winter,soft,ConvNeXtTiny-TFT,test,18.850000,19.176167,0.326167,0.399561,0.221984,17.666666,18.386053,18.683332,19.052539,20.200001,20.089910
Negev_winter_2021-08-28,2021-08-28,Negev,winter,soft,ConvNeXtTiny-TFT,test,18.250001,19.141989,0.891988,0.891988,0.857036,17.200001,18.313435,17.983334,18.999781,19.566668,20.112751
Negev_winter_2021-09-01,2021-09-01,Negev,winter,soft,ConvNeXtTiny-TFT,test,17.905555,18.862950,0.957395,0.957395,0.921885,17.116667,18.018374,17.666666,18.726709,18.933332,19.843767
Negev_winter_2021-09-07,2021-09-07,Negev,winter,soft,ConvNeXtTiny-TFT,test,17.219444,18.018982,0.799538,0.799538,0.674003,16.525000,17.121940,17.116667,17.871455,18.016666,19.063551
Negev_winter_2021-09-14,2021-09-14,Negev,winter,soft,ConvNeXtTiny-TFT,test,16.936111,16.371417,-0.564694,0.564694,0.349448,16.158333,15.347453,16.674999,16.213481,17.975000,17.553316
Negev_winter_2021-09-21,2021-09-21,Negev,winter,soft,ConvNeXtTiny-TFT,test,16.163889,17.270262,1.106373,1.106373,1.353222,14.883333,16.339181,16.491667,17.103705,17.116667,18.367900
Negev_winter_2021-09-28,2021-09-28,Negev,winter,soft,ConvNeXtTiny-TFT,test,14.969444,14.872507,-0.096937,0.163591,0.052891,13.741667,13.769795,14.641666,14.713519,16.525000,16.134208
Negev_winter_2021-10-01,2021-10-01,Negev,winter,soft,ConvNeXtTiny-TFT,test,14.969444,14.801030,-0.168414,0.168414,0.072302,13.741667,13.705207,14.641666,14.637164,16.525000,16.060720
Negev_winter_2021-10-07,2021-10-07,Negev,winter,soft,ConvNeXtTiny-TFT,test,14.619445,13.571285,-1.048159,1.048159,1.137732,13.741667,12.451805,14.200000,13.394455,15.916667,14.867595
Negev_winter_2021-10-14,2021-10-14,Negev,winter,soft,ConvNeXtTiny-TFT,test,13.883334,12.767778,-1.115555,1.115555,1.290360,12.908334,11.573004,13.800000,12.613726,14.941667,14.116604
Negev_winter_2021-10-21,2021-10-21,Negev,winter,soft,ConvNeXtTiny-TFT,test,13.780556,10.727435,-3.053121,3.053121,9.404742,12.908334,9.528863,13.658334,10.556463,14.775000,12.096978
