sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_winter_2021-06-14,2021-06-14,Negev,winter,anchor,SeasonalNaive,test,15.391666,15.808333,0.416667,0.416667,0.173611
Negev_winter_2021-06-21,2021-06-21,Negev,winter,anchor,SeasonalNaive,test,16.666666,16.4,-0.266666,0.266666,0.071111
Negev_winter_2021-06-28,2021-06-28,Negev,winter,anchor,SeasonalNaive,test,18.766666,18.025,-0.741666,0.741666,0.550068
Negev_winter_2021-07-01,2021-07-01,Negev,winter,anchor,SeasonalNaive,test,18.766666,18.025,-0.741666,0.741666,0.550068
Negev_winter_2021-07-07,2021-07-07,Negev,winter,anchor,SeasonalNaive,test,18.766666,18.733333,-0.033333,0.033333,0.001111
Negev_winter_2021-07-14,2021-07-14,Negev,winter,anchor,SeasonalNaive,test,20.075001,19.416667,-0.658334,0.658334,0.433404
Negev_winter_2021-07-21,2021-07-21,Negev,winter,anchor,SeasonalNaive,test,18.458334,19.25,0.791666,0.791666,0.626735
Negev_winter_2021-07-28,2021-07-28,Negev,winter,anchor,SeasonalNaive,test,18.266666,18.791667,0.525001,0.525001,0.275626
Negev_winter_2021-08-01,2021-08-01,Negev,winter,anchor,SeasonalNaive,test,18.266666,18.008333,-0.258333,0.258333,0.066736
Negev_winter_2021-08-07,2021-08-07,Negev,winter,anchor,SeasonalNaive,test,18.266666,18.008333,-0.258333,0.258333,0.066736
Negev_winter_2021-08-14,2021-08-14,Negev,winter,anchor,SeasonalNaive,test,17.666666,18.008333,0.341667,0.341667,0.116736
Negev_winter_2021-08-21,2021-08-21,Negev,winter,anchor,SeasonalNaive,test,17.200001,18.008333,0.808332,0.808332,0.653401
Negev_winter_2021-08-28,2021-08-28,Negev,winter,anchor,SeasonalNaive,test,14.883333,17.936364,3.053031,3.053031,9.320998
Negev_winter_2021-09-01,2021-09-01,Negev,winter,anchor,SeasonalNaive,test,14.883333,17.472727,2.589394,2.589394,6.704961
Negev_winter_2021-09-07,2021-09-07,Negev,winter,anchor,SeasonalNaive,test,14.883333,16.8,1.916667,1.916667,3.673612
Negev_winter_2021-09-14,2021-09-14,Negev,winter,anchor,SeasonalNaive,test,14.883333,16.8,1.916667,1.916667,3.673612
Negev_winter_2021-09-21,2021-09-21,Negev,winter,anchor,SeasonalNaive,test,14.2,16.472727,2.272727,2.272727,5.165288
Negev_winter_2021-09-28,2021-09-28,Negev,winter,anchor,SeasonalNaive,test,13.641666,16.472727,2.831061,2.831061,8.014906
Negev_winter_2021-10-01,2021-10-01,Negev,winter,anchor,SeasonalNaive,test,13.641666,16.472727,2.831061,2.831061,8.014906
Negev_winter_2021-10-07,2021-10-07,Negev,winter,anchor,SeasonalNaive,test,13.641666,13.690909,0.049243,0.049243,0.002425
Negev_winter_2021-10-14,2021-10-14,Negev,winter,anchor,SeasonalNaive,test,11.641666,12.918182,1.276516,1.276516,1.629493
Negev_winter_2021-10-21,2021-10-21,Negev,winter,anchor,SeasonalNaive,test,11.641666,11.1,-0.541666,0.541666,0.293402
Negev_winter_2021-10-28,2021-10-28,Negev,winter,anchor,SeasonalNaive,test,9.9,10.109091,0.209091,0.209091,0.043719
