sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_winter_2021-06-14,2021-06-14,Negev,winter,soft,SeasonalNaive,test,15.85,16.45,0.6,0.6,0.36,15.85,16.45,16.666666,17.625,19.516666,18.691667
Negev_winter_2021-06-21,2021-06-21,Negev,winter,soft,SeasonalNaive,test,18.475,17.066667,-1.408333,1.408333,1.983402,18.475,17.066667,19.108334,18.241667,20.6,19.558333
Negev_winter_2021-06-28,2021-06-28,Negev,winter,soft,SeasonalNaive,test,19.549999,18.491667,-1.058332,1.058332,1.120067,19.549999,18.491667,20.450001,19.083333,21.041666,20.058333
Negev_winter_2021-07-01,2021-07-01,Negev,winter,soft,SeasonalNaive,test,19.549999,18.733333,-0.816666,0.816666,0.666943,19.549999,18.733333,20.450001,19.575,21.1,20.141667
Negev_winter_2021-07-07,2021-07-07,Negev,winter,soft,SeasonalNaive,test,19.983334,19.591667,-0.391667,0.391667,0.153403,19.983334,19.591667,20.35,19.975,21.358334,20.75
Negev_winter_2021-07-14,2021-07-14,Negev,winter,soft,SeasonalNaive,test,20.35,19.616667,-0.733333,0.733333,0.537777,20.35,19.616667,20.708334,19.95,21.358334,20.758333
Negev_winter_2021-07-21,2021-07-21,Negev,winter,soft,SeasonalNaive,test,20.325001,19.491667,-0.833334,0.833334,0.694446,20.325001,19.491667,20.558332,19.95,21.358334,21.258333
Negev_winter_2021-07-28,2021-07-28,Negev,winter,soft,SeasonalNaive,test,19.908333,19.25,-0.658333,0.658333,0.433402,19.908333,19.25,20.341667,19.516667,21.200001,20.641667
Negev_winter_2021-08-01,2021-08-01,Negev,winter,soft,SeasonalNaive,test,19.908333,18.883333,-1.025,1.025,1.050625,19.908333,18.883333,20.341667,19.491667,21.283333,20.466667
Negev_winter_2021-08-07,2021-08-07,Negev,winter,soft,SeasonalNaive,test,19.191668,18.883333,-0.308335,0.308335,0.09507,19.191668,18.883333,20.283333,19.491667,21.116667,21.116667
Negev_winter_2021-08-14,2021-08-14,Negev,winter,soft,SeasonalNaive,test,18.35,18.883333,0.533333,0.533333,0.284444,18.35,18.883333,19.466667,19.5,20.333334,21.572727
Negev_winter_2021-08-21,2021-08-21,Negev,winter,soft,SeasonalNaive,test,17.666666,18.883333,1.216667,1.216667,1.480279,17.666666,18.883333,18.683332,20.641667,20.200001,22.081818
Negev_winter_2021-08-28,2021-08-28,Negev,winter,soft,SeasonalNaive,test,17.200001,19.563636,2.363635,2.363635,5.58677,17.200001,19.563636,17.983334,20.745455,19.566668,22.081818
Negev_winter_2021-09-01,2021-09-01,Negev,winter,soft,SeasonalNaive,test,17.116667,19.563636,2.446969,2.446969,5.987657,17.116667,19.563636,17.666666,20.718182,18.933332,21.772727
Negev_winter_2021-09-07,2021-09-07,Negev,winter,soft,SeasonalNaive,test,16.525,17.472727,0.947727,0.947727,0.898186,16.525,17.472727,17.116667,18.745455,18.016666,20.827273
Negev_winter_2021-09-14,2021-09-14,Negev,winter,soft,SeasonalNaive,test,16.158333,17.327273,1.16894,1.16894,1.366421,16.158333,17.327273,16.674999,17.936364,17.975,20.354545
Negev_winter_2021-09-21,2021-09-21,Negev,winter,soft,SeasonalNaive,test,14.883333,16.845455,1.962122,1.962122,3.849923,14.883333,16.845455,16.491667,17.336364,17.116667,18.909091
Negev_winter_2021-09-28,2021-09-28,Negev,winter,soft,SeasonalNaive,test,13.741667,16.8,3.058333,3.058333,9.353401,13.741667,16.8,14.641666,17.327273,16.525,18.058333
Negev_winter_2021-10-01,2021-10-01,Negev,winter,soft,SeasonalNaive,test,13.741667,16.8,3.058333,3.058333,9.353401,13.741667,16.8,14.641666,17.327273,16.525,17.9
Negev_winter_2021-10-07,2021-10-07,Negev,winter,soft,SeasonalNaive,test,13.741667,16.433333,2.691666,2.691666,7.245066,13.741667,16.433333,14.2,16.954545,15.916667,17.783333
Negev_winter_2021-10-14,2021-10-14,Negev,winter,soft,SeasonalNaive,test,12.908334,13.05,0.141666,0.141666,0.020069,12.908334,13.05,13.8,13.783333,14.941667,17.336364
Negev_winter_2021-10-21,2021-10-21,Negev,winter,soft,SeasonalNaive,test,12.908334,12.918182,0.009848,0.009848,9.7e-05,12.908334,12.918182,13.658334,13.208333,14.775,14.966667
Negev_winter_2021-10-28,2021-10-28,Negev,winter,soft,SeasonalNaive,test,10.566667,10.818182,0.251515,0.251515,0.06326,10.566667,10.818182,11.641666,12.036364,14.35,13.35
Negev_winter_2021-11-01,2021-11-01,Negev,winter,soft,SeasonalNaive,test,10.566667,9.136364,-1.430303,1.430303,2.045767,10.566667,9.136364,11.5,10.818182,13.8,12.925
Negev_winter_2021-11-07,2021-11-07,Negev,winter,soft,SeasonalNaive,test,9.066667,8.454545,-0.612122,0.612122,0.374693,9.066667,8.454545,10.625,9.663636,12.216666,11.1
Negev_winter_2021-11-14,2021-11-14,Negev,winter,soft,SeasonalNaive,test,9.066667,8.354545,-0.712122,0.712122,0.507118,9.066667,8.354545,9.975,8.763636,12.108334,10.109091
Negev_winter_2021-11-21,2021-11-21,Negev,winter,soft,SeasonalNaive,test,6.483333,8.354545,1.871212,1.871212,3.501434,6.483333,8.354545,8.908334,8.6,10.566667,9.863636
Negev_winter_2021-11-28,2021-11-28,Negev,winter,soft,SeasonalNaive,test,6.183333,7.816667,1.633334,1.633334,2.66778,6.183333,7.816667,6.916667,8.454545,9.083333,9.6
Negev_winter_2021-12-01,2021-12-01,Negev,winter,soft,SeasonalNaive,test,6.183333,7.775,1.591667,1.591667,2.533404,6.183333,7.775,6.916667,8.341667,8.575,9.6
Negev_winter_2021-12-07,2021-12-07,Negev,winter,soft,SeasonalNaive,test,6.175,7.775,1.6,1.6,2.56,6.175,7.775,6.483333,8.441667,8.108334,9.6
Negev_winter_2021-12-14,2021-12-14,Negev,winter,soft,SeasonalNaive,test,5.258333,7.816667,2.558334,2.558334,6.545073,5.258333,7.816667,6.208333,8.541667,7.05,9.618182
Negev_winter_2021-12-21,2021-12-21,Negev,winter,soft,SeasonalNaive,test,2.825,7.6,4.775,4.775,22.800625,2.825,7.6,5.308333,8.341667,6.975,9.6
Negev_winter_2021-12-28,2021-12-28,Negev,winter,soft,SeasonalNaive,test,1.991667,3.891667,1.9,1.9,3.61,1.991667,3.891667,2.85,6.208333,6.375,8.933333
Negev_winter_2022-01-01,2022-01-01,Negev,winter,soft,SeasonalNaive,test,1.991667,3.891667,1.9,1.9,3.61,1.991667,3.891667,2.85,6.008333,5.291667,8.933333
Negev_winter_2022-01-07,2022-01-07,Negev,winter,soft,SeasonalNaive,test,1.991667,3.891667,1.9,1.9,3.61,1.991667,3.891667,2.85,6.008333,4.7,8.883333
Negev_winter_2022-01-14,2022-01-14,Negev,winter,soft,SeasonalNaive,test,1.991667,3.891667,1.9,1.9,3.61,1.991667,3.891667,2.85,6.008333,4.508333,8.341667
Negev_winter_2022-01-21,2022-01-21,Negev,winter,soft,SeasonalNaive,test,2.758333,3.891667,1.133334,1.133334,1.284446,2.758333,3.891667,4.108333,4.75,6.183333,8.208333
