sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_winter_2021-06-14,2021-06-14,Negev,winter,anchor,Tab-LSTM,test,15.391666,15.900356,0.508689,0.508689,0.258765
Negev_winter_2021-06-21,2021-06-21,Negev,winter,anchor,Tab-LSTM,test,16.666666,14.931871,-1.734795,1.734795,3.009513
Negev_winter_2021-06-28,2021-06-28,Negev,winter,anchor,Tab-LSTM,test,18.766666,16.676333,-2.090334,2.090334,4.369494
Negev_winter_2021-07-01,2021-07-01,Negev,winter,anchor,Tab-LSTM,test,18.766666,17.311687,-1.454980,1.454980,2.116966
Negev_winter_2021-07-07,2021-07-07,Negev,winter,anchor,Tab-LSTM,test,18.766666,17.111722,-1.654945,1.654945,2.738842
Negev_winter_2021-07-14,2021-07-14,Negev,winter,anchor,Tab-LSTM,test,20.075001,17.722555,-2.352446,2.352446,5.534000
Negev_winter_2021-07-21,2021-07-21,Negev,winter,anchor,Tab-LSTM,test,18.458334,17.846108,-0.612226,0.612226,0.374821
Negev_winter_2021-07-28,2021-07-28,Negev,winter,anchor,Tab-LSTM,test,18.266666,17.687272,-0.579395,0.579395,0.335698
Negev_winter_2021-08-01,2021-08-01,Negev,winter,anchor,Tab-LSTM,test,18.266666,18.031795,-0.234872,0.234872,0.055165
Negev_winter_2021-08-07,2021-08-07,Negev,winter,anchor,Tab-LSTM,test,18.266666,16.842530,-1.424136,1.424136,2.028164
Negev_winter_2021-08-14,2021-08-14,Negev,winter,anchor,Tab-LSTM,test,17.666666,17.876380,0.209714,0.209714,0.043980
Negev_winter_2021-08-21,2021-08-21,Negev,winter,anchor,Tab-LSTM,test,17.200001,17.207285,0.007285,0.007285,0.000053
Negev_winter_2021-08-28,2021-08-28,Negev,winter,anchor,Tab-LSTM,test,14.883333,16.873193,1.989860,1.989860,3.959543
Negev_winter_2021-09-01,2021-09-01,Negev,winter,anchor,Tab-LSTM,test,14.883333,16.819044,1.935711,1.935711,3.746978
Negev_winter_2021-09-07,2021-09-07,Negev,winter,anchor,Tab-LSTM,test,14.883333,15.671157,0.787824,0.787824,0.620667
Negev_winter_2021-09-14,2021-09-14,Negev,winter,anchor,Tab-LSTM,test,14.883333,14.860364,-0.022970,0.022970,0.000528
Negev_winter_2021-09-21,2021-09-21,Negev,winter,anchor,Tab-LSTM,test,14.200000,13.566286,-0.633714,0.633714,0.401594
Negev_winter_2021-09-28,2021-09-28,Negev,winter,anchor,Tab-LSTM,test,13.641666,11.754521,-1.887146,1.887146,3.561319
Negev_winter_2021-10-01,2021-10-01,Negev,winter,anchor,Tab-LSTM,test,13.641666,11.683296,-1.958371,1.958371,3.835216
Negev_winter_2021-10-07,2021-10-07,Negev,winter,anchor,Tab-LSTM,test,13.641666,10.242311,-3.399356,3.399356,11.555620
Negev_winter_2021-10-14,2021-10-14,Negev,winter,anchor,Tab-LSTM,test,11.641666,10.435285,-1.206382,1.206382,1.455357
Negev_winter_2021-10-21,2021-10-21,Negev,winter,anchor,Tab-LSTM,test,11.641666,10.300787,-1.340879,1.340879,1.797957
Negev_winter_2021-10-28,2021-10-28,Negev,winter,anchor,Tab-LSTM,test,9.900000,7.452209,-2.447790,2.447790,5.991677
Negev_winter_2021-11-01,2021-11-01,Negev,winter,anchor,Tab-LSTM,test,9.900000,7.166234,-2.733766,2.733766,7.473477
Negev_winter_2021-11-07,2021-11-07,Negev,winter,anchor,Tab-LSTM,test,7.558333,6.518585,-1.039749,1.039749,1.081078
Negev_winter_2021-11-14,2021-11-14,Negev,winter,anchor,Tab-LSTM,test,7.558333,6.187359,-1.370975,1.370975,1.879571
Negev_winter_2021-11-21,2021-11-21,Negev,winter,anchor,Tab-LSTM,test,6.183333,6.221384,0.038051,0.038051,0.001448
Negev_winter_2021-11-28,2021-11-28,Negev,winter,anchor,Tab-LSTM,test,5.025000,4.656824,-0.368176,0.368176,0.135554
Negev_winter_2021-12-01,2021-12-01,Negev,winter,anchor,Tab-LSTM,test,5.025000,3.849377,-1.175623,1.175623,1.382089
Negev_winter_2021-12-07,2021-12-07,Negev,winter,anchor,Tab-LSTM,test,5.025000,4.061718,-0.963282,0.963282,0.927912
Negev_winter_2021-12-14,2021-12-14,Negev,winter,anchor,Tab-LSTM,test,4.700000,3.522219,-1.177781,1.177781,1.387168
Negev_winter_2021-12-21,2021-12-21,Negev,winter,anchor,Tab-LSTM,test,0.008333,2.830298,2.821965,2.821965,7.963487
Negev_winter_2021-12-28,2021-12-28,Negev,winter,anchor,Tab-LSTM,test,0.008333,3.180085,3.171752,3.171752,10.060008
Negev_winter_2022-01-01,2022-01-01,Negev,winter,anchor,Tab-LSTM,test,0.008333,3.226601,3.218268,3.218268,10.357248
Negev_winter_2022-01-07,2022-01-07,Negev,winter,anchor,Tab-LSTM,test,0.008333,3.430225,3.421891,3.421891,11.709341
Negev_winter_2022-01-14,2022-01-14,Negev,winter,anchor,Tab-LSTM,test,0.008333,3.138644,3.130311,3.130311,9.798847
Negev_winter_2022-01-21,2022-01-21,Negev,winter,anchor,Tab-LSTM,test,1.925000,2.795957,0.870957,0.870957,0.758566
Negev_winter_2022-01-28,2022-01-28,Negev,winter,anchor,Tab-LSTM,test,3.258333,2.825902,-0.432432,0.432432,0.186997
Negev_winter_2022-02-01,2022-02-01,Negev,winter,anchor,Tab-LSTM,test,4.508333,2.914943,-1.593390,1.593390,2.538892
Negev_winter_2022-02-07,2022-02-07,Negev,winter,anchor,Tab-LSTM,test,4.508333,3.133282,-1.375051,1.375051,1.890767
Negev_winter_2022-02-14,2022-02-14,Negev,winter,anchor,Tab-LSTM,test,1.466667,3.837128,2.370461,2.370461,5.619086
Negev_winter_2022-02-21,2022-02-21,Negev,winter,anchor,Tab-LSTM,test,0.881818,3.972892,3.091074,3.091074,9.554738
Negev_winter_2022-02-28,2022-02-28,Negev,winter,anchor,Tab-LSTM,test,0.881818,4.558219,3.676401,3.676401,13.515921
Negev_winter_2022-03-01,2022-03-01,Negev,winter,anchor,Tab-LSTM,test,0.881818,4.730016,3.848198,3.848198,14.808628
Negev_winter_2022-03-07,2022-03-07,Negev,winter,anchor,Tab-LSTM,test,0.881818,4.959095,4.077277,4.077277,16.624185
Negev_winter_2022-03-14,2022-03-14,Negev,winter,anchor,Tab-LSTM,test,0.881818,4.378925,3.497107,3.497107,12.229757
Negev_winter_2022-03-21,2022-03-21,Negev,winter,anchor,Tab-LSTM,test,3.627273,4.142009,0.514736,0.514736,0.264953
Negev_winter_2022-03-28,2022-03-28,Negev,winter,anchor,Tab-LSTM,test,5.736363,4.502853,-1.233511,1.233511,1.521549
Negev_winter_2022-04-01,2022-04-01,Negev,winter,anchor,Tab-LSTM,test,7.733333,5.953093,-1.780240,1.780240,3.169255
Negev_winter_2022-04-07,2022-04-07,Negev,winter,anchor,Tab-LSTM,test,7.733333,7.680090,-0.053243,0.053243,0.002835
Negev_winter_2022-04-14,2022-04-14,Negev,winter,anchor,Tab-LSTM,test,7.925000,8.185557,0.260557,0.260557,0.067890
Negev_winter_2022-04-21,2022-04-21,Negev,winter,anchor,Tab-LSTM,test,9.008333,8.824426,-0.183907,0.183907,0.033822
Negev_winter_2022-04-28,2022-04-28,Negev,winter,anchor,Tab-LSTM,test,10.283334,11.725841,1.442508,1.442508,2.080828
Negev_winter_2022-05-01,2022-05-01,Negev,winter,anchor,Tab-LSTM,test,10.283334,12.169272,1.885938,1.885938,3.556763
Negev_winter_2022-05-07,2022-05-07,Negev,winter,anchor,Tab-LSTM,test,10.283334,11.933653,1.650319,1.650319,2.723554
Negev_winter_2022-05-14,2022-05-14,Negev,winter,anchor,Tab-LSTM,test,11.875000,11.168579,-0.706421,0.706421,0.499030
Negev_winter_2022-05-21,2022-05-21,Negev,winter,anchor,Tab-LSTM,test,13.891666,13.318513,-0.573153,0.573153,0.328504
Negev_winter_2022-05-28,2022-05-28,Negev,winter,anchor,Tab-LSTM,test,16.136364,14.778611,-1.357753,1.357753,1.843494
Negev_winter_2022-06-01,2022-06-01,Negev,winter,anchor,Tab-LSTM,test,16.136364,16.168556,0.032192,0.032192,0.001036
Negev_winter_2022-06-07,2022-06-07,Negev,winter,anchor,Tab-LSTM,test,17.775000,15.635663,-2.139337,2.139337,4.576763
Negev_winter_2022-06-14,2022-06-14,Negev,winter,anchor,Tab-LSTM,test,17.775000,15.988395,-1.786604,1.786604,3.191956
Negev_winter_2022-06-21,2022-06-21,Negev,winter,anchor,Tab-LSTM,test,18.075001,16.554403,-1.520598,1.520598,2.312218
Negev_winter_2022-06-28,2022-06-28,Negev,winter,anchor,Tab-LSTM,test,18.333334,16.987587,-1.345747,1.345747,1.811036
Negev_winter_2022-07-01,2022-07-01,Negev,winter,anchor,Tab-LSTM,test,18.333334,16.804336,-1.528998,1.528998,2.337834
Negev_winter_2022-07-07,2022-07-07,Negev,winter,anchor,Tab-LSTM,test,18.333334,17.594963,-0.738371,0.738371,0.545191
Negev_winter_2022-07-14,2022-07-14,Negev,winter,anchor,Tab-LSTM,test,18.408333,17.351991,-1.056342,1.056342,1.115859
Negev_winter_2022-07-21,2022-07-21,Negev,winter,anchor,Tab-LSTM,test,18.408333,17.796907,-0.611426,0.611426,0.373842
Negev_winter_2022-07-28,2022-07-28,Negev,winter,anchor,Tab-LSTM,test,18.283333,17.867645,-0.415688,0.415688,0.172797
Negev_winter_2022-08-01,2022-08-01,Negev,winter,anchor,Tab-LSTM,test,18.283333,17.781802,-0.501531,0.501531,0.251533
Negev_winter_2022-08-07,2022-08-07,Negev,winter,anchor,Tab-LSTM,test,18.283333,17.938141,-0.345192,0.345192,0.119157
