sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_winter_2021-06-14,2021-06-14,Negev,winter,soft,Tab-LSTM,test,17.344444,18.227216,0.882772,1.065979,1.454357,15.850000,17.224339,16.666666,18.215454,19.516666,19.241856
Negev_winter_2021-06-21,2021-06-21,Negev,winter,soft,Tab-LSTM,test,19.394445,17.426977,-1.967468,1.967468,3.910998,18.475000,16.383286,19.108334,17.423274,20.600000,18.474371
Negev_winter_2021-06-28,2021-06-28,Negev,winter,soft,Tab-LSTM,test,20.347222,18.916488,-1.430734,1.430734,2.078465,19.549999,17.980880,20.450001,18.907252,21.041666,19.861333
Negev_winter_2021-07-01,2021-07-01,Negev,winter,soft,Tab-LSTM,test,20.366667,19.425468,-0.941199,0.941199,0.898274,19.549999,18.526532,20.450001,19.433519,21.100000,20.316354
Negev_winter_2021-07-07,2021-07-07,Negev,winter,soft,Tab-LSTM,test,20.563889,19.232537,-1.331352,1.331352,1.836644,19.983334,18.299683,20.350000,19.250754,21.358334,20.147173
Negev_winter_2021-07-14,2021-07-14,Negev,winter,soft,Tab-LSTM,test,20.805556,19.747541,-1.058015,1.058015,1.205406,20.350000,18.886153,20.708334,19.779128,21.358334,20.577342
Negev_winter_2021-07-21,2021-07-21,Negev,winter,soft,Tab-LSTM,test,20.747222,19.840077,-0.907145,0.907145,0.917851,20.325001,18.982394,20.558332,19.882595,21.358334,20.655241
Negev_winter_2021-07-28,2021-07-28,Negev,winter,soft,Tab-LSTM,test,20.483334,19.718410,-0.764923,0.764923,0.628620,19.908333,18.850370,20.341667,19.752679,21.200001,20.552182
Negev_winter_2021-08-01,2021-08-01,Negev,winter,soft,Tab-LSTM,test,20.511111,19.975801,-0.535310,0.535310,0.321548,19.908333,19.139508,20.341667,20.030769,21.283333,20.757126
Negev_winter_2021-08-07,2021-08-07,Negev,winter,soft,Tab-LSTM,test,20.197222,18.953834,-1.243389,1.243389,1.547764,19.191668,17.992836,20.283333,18.983986,21.116667,19.884679
Negev_winter_2021-08-14,2021-08-14,Negev,winter,soft,Tab-LSTM,test,19.383334,19.859181,0.475847,0.475847,0.242128,18.350000,18.994308,19.466667,19.905852,20.333334,20.677382
Negev_winter_2021-08-21,2021-08-21,Negev,winter,soft,Tab-LSTM,test,18.850000,19.304891,0.454891,0.467198,0.320040,17.666666,18.398538,18.683332,19.334595,20.200001,20.181540
Negev_winter_2021-08-28,2021-08-28,Negev,winter,soft,Tab-LSTM,test,18.250001,19.126815,0.876814,0.876814,0.831232,17.200001,18.183439,17.983334,19.098584,19.566668,20.098421
Negev_winter_2021-09-01,2021-09-01,Negev,winter,soft,Tab-LSTM,test,17.905555,19.039492,1.133937,1.133937,1.312703,17.116667,18.091155,17.666666,19.026154,18.933332,20.001168
Negev_winter_2021-09-07,2021-09-07,Negev,winter,soft,Tab-LSTM,test,17.219444,18.099356,0.879912,0.879912,0.841861,16.525000,17.052881,17.116667,18.080505,18.016666,19.164682
Negev_winter_2021-09-14,2021-09-14,Negev,winter,soft,Tab-LSTM,test,16.936111,17.387635,0.451524,0.451524,0.249773,16.158333,16.322396,16.674999,17.353162,17.975000,18.487347
Negev_winter_2021-09-21,2021-09-21,Negev,winter,soft,Tab-LSTM,test,16.163889,16.388279,0.224391,0.348763,0.138082,14.883333,15.242930,16.491667,16.305108,17.116667,17.616800
