sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_winter_2021-06-14,2021-06-14,Negev,winter,anchor,Tab-TFT,test,15.391666,16.537573,1.145907,1.145907,1.313103
Negev_winter_2021-06-21,2021-06-21,Negev,winter,anchor,Tab-TFT,test,16.666666,16.904329,0.237663,0.237663,0.056484
Negev_winter_2021-06-28,2021-06-28,Negev,winter,anchor,Tab-TFT,test,18.766666,18.218143,-0.548523,0.548523,0.300877
Negev_winter_2021-07-01,2021-07-01,Negev,winter,anchor,Tab-TFT,test,18.766666,18.606678,-0.159988,0.159988,0.025596
Negev_winter_2021-07-07,2021-07-07,Negev,winter,anchor,Tab-TFT,test,18.766666,18.501207,-0.265459,0.265459,0.070468
Negev_winter_2021-07-14,2021-07-14,Negev,winter,anchor,Tab-TFT,test,20.075001,18.972398,-1.102603,1.102603,1.215733
Negev_winter_2021-07-21,2021-07-21,Negev,winter,anchor,Tab-TFT,test,18.458334,18.841563,0.383229,0.383229,0.146864
Negev_winter_2021-07-28,2021-07-28,Negev,winter,anchor,Tab-TFT,test,18.266666,18.461161,0.194495,0.194495,0.037828
Negev_winter_2021-08-01,2021-08-01,Negev,winter,anchor,Tab-TFT,test,18.266666,18.303738,0.037072,0.037072,0.001374
Negev_winter_2021-08-07,2021-08-07,Negev,winter,anchor,Tab-TFT,test,18.266666,18.123194,-0.143472,0.143472,0.020584
Negev_winter_2021-08-14,2021-08-14,Negev,winter,anchor,Tab-TFT,test,17.666666,17.480702,-0.185964,0.185964,0.034583
Negev_winter_2021-08-21,2021-08-21,Negev,winter,anchor,Tab-TFT,test,17.200001,16.796658,-0.403343,0.403343,0.162686
Negev_winter_2021-08-28,2021-08-28,Negev,winter,anchor,Tab-TFT,test,14.883333,15.516866,0.633533,0.633533,0.401364
Negev_winter_2021-09-01,2021-09-01,Negev,winter,anchor,Tab-TFT,test,14.883333,15.50168,0.618347,0.618347,0.382353
Negev_winter_2021-09-07,2021-09-07,Negev,winter,anchor,Tab-TFT,test,14.883333,15.083916,0.200583,0.200583,0.040234
Negev_winter_2021-09-14,2021-09-14,Negev,winter,anchor,Tab-TFT,test,14.883333,14.330286,-0.553047,0.553047,0.305861
Negev_winter_2021-09-21,2021-09-21,Negev,winter,anchor,Tab-TFT,test,14.2,13.516806,-0.683194,0.683194,0.466754
Negev_winter_2021-09-28,2021-09-28,Negev,winter,anchor,Tab-TFT,test,13.641666,11.656562,-1.985104,1.985104,3.940638
