sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_winter_2021-06-14,2021-06-14,Negev,winter,soft,Tab-TFT,test,15.85,17.914056,2.064056,2.064056,4.260327,15.85,17.914056,16.666666,18.698853,19.516666,19.826334
Negev_winter_2021-06-21,2021-06-21,Negev,winter,soft,Tab-TFT,test,18.475,18.147267,-0.327733,0.327733,0.107409,18.475,18.147267,19.108334,18.94744,20.6,19.976921
Negev_winter_2021-06-28,2021-06-28,Negev,winter,soft,Tab-TFT,test,19.549999,19.377492,-0.172507,0.172507,0.029759,19.549999,19.377492,20.450001,20.042981,21.041666,20.893621
Negev_winter_2021-07-01,2021-07-01,Negev,winter,soft,Tab-TFT,test,19.549999,19.723202,0.173203,0.173203,0.029999,19.549999,19.723202,20.450001,20.326194,21.1,21.146418
Negev_winter_2021-07-07,2021-07-07,Negev,winter,soft,Tab-TFT,test,19.983334,19.598235,-0.385099,0.385099,0.148301,19.983334,19.598235,20.35,20.275369,21.358334,21.090272
Negev_winter_2021-07-14,2021-07-14,Negev,winter,soft,Tab-TFT,test,20.35,20.067553,-0.282447,0.282447,0.079776,20.35,20.067553,20.708334,20.673949,21.358334,21.499629
Negev_winter_2021-07-21,2021-07-21,Negev,winter,soft,Tab-TFT,test,20.325001,19.957671,-0.36733,0.36733,0.134931,20.325001,19.957671,20.558332,20.581073,21.358334,21.397281
Negev_winter_2021-07-28,2021-07-28,Negev,winter,soft,Tab-TFT,test,19.908333,19.593117,-0.315216,0.315216,0.099361,19.908333,19.593117,20.341667,20.25205,21.200001,21.13042
Negev_winter_2021-08-01,2021-08-01,Negev,winter,soft,Tab-TFT,test,19.908333,19.454338,-0.453995,0.453995,0.206111,19.908333,19.454338,20.341667,20.114915,21.283333,20.987702
Negev_winter_2021-08-07,2021-08-07,Negev,winter,soft,Tab-TFT,test,19.191668,19.355558,0.16389,0.16389,0.02686,19.191668,19.355558,20.283333,19.988391,21.116667,20.837977
