sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,anchor,Climatology,test,18.725,19.135902,0.410902,0.410902,0.16884
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,anchor,Climatology,test,19.116667,20.49918,1.382513,1.382513,1.911342
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,anchor,Climatology,test,21.25,21.325741,0.075741,0.075741,0.005737
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,anchor,Climatology,test,21.25,21.666504,0.416504,0.416504,0.173476
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,anchor,Climatology,test,21.25,21.756602,0.506602,0.506602,0.256646
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,anchor,Climatology,test,21.25,22.258179,1.008179,1.008179,1.016425
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,anchor,Climatology,test,22.108334,22.546179,0.437845,0.437845,0.191708
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,anchor,Climatology,test,21.908333,23.00994,1.101607,1.101607,1.213538
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,anchor,Climatology,test,21.908333,22.669385,0.761052,0.761052,0.5792
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,anchor,Climatology,test,21.908333,22.579978,0.671645,0.671645,0.451107
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,anchor,Climatology,test,20.866667,21.57716,0.710493,0.710493,0.5048
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,anchor,Climatology,test,19.975,21.234087,1.259087,1.259087,1.5853
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,anchor,Climatology,test,18.1,20.257497,2.157497,2.157497,4.654793
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,anchor,Climatology,test,18.1,20.257497,2.157497,2.157497,4.654793
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,anchor,Climatology,test,18.0,19.422586,1.422586,1.422586,2.023751
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,anchor,Climatology,test,16.416666,18.635269,2.218603,2.218603,4.922199
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,anchor,Climatology,test,16.416666,18.305127,1.888461,1.888461,3.566285
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,anchor,Climatology,test,15.841666,16.884126,1.04246,1.04246,1.086723
Northwest_winter_2021-10-01,2021-10-01,Northwest,winter,anchor,Climatology,test,15.491667,16.149116,0.657449,0.657449,0.432239
Northwest_winter_2021-10-07,2021-10-07,Northwest,winter,anchor,Climatology,test,15.491667,15.715372,0.223705,0.223705,0.050044
Northwest_winter_2021-10-14,2021-10-14,Northwest,winter,anchor,Climatology,test,12.407692,14.378521,1.970829,1.970829,3.884167
Northwest_winter_2021-10-21,2021-10-21,Northwest,winter,anchor,Climatology,test,12.407692,13.842408,1.434716,1.434716,2.05841
Northwest_winter_2021-10-28,2021-10-28,Northwest,winter,anchor,Climatology,test,12.238461,12.486509,0.248048,0.248048,0.061528
Northwest_winter_2021-11-01,2021-11-01,Northwest,winter,anchor,Climatology,test,12.238461,12.486509,0.248048,0.248048,0.061528
Northwest_winter_2021-11-07,2021-11-07,Northwest,winter,anchor,Climatology,test,12.015385,11.524388,-0.490997,0.490997,0.241078
Northwest_winter_2021-11-14,2021-11-14,Northwest,winter,anchor,Climatology,test,10.984615,10.424875,-0.55974,0.55974,0.313309
Northwest_winter_2021-11-21,2021-11-21,Northwest,winter,anchor,Climatology,test,9.084616,10.181298,1.096682,1.096682,1.202711
