sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,soft,Climatology,test,19.075001,19.665256,0.590255,0.590255,0.348401,19.075001,19.665256,19.691668,20.49918,21.516666,21.473764
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,soft,Climatology,test,19.966667,20.740747,0.77408,0.77408,0.5992,19.966667,20.740747,21.258333,21.325741,21.891666,21.776515
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,soft,Climatology,test,21.516666,21.601648,0.084982,0.084982,0.007222,21.516666,21.601648,21.725,21.756602,22.933332,22.096732
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,soft,Climatology,test,21.608334,21.745467,0.137133,0.137133,0.018805,21.608334,21.745467,22.383333,21.855137,23.166666,22.334028
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,soft,Climatology,test,21.608334,21.855137,0.246803,0.246803,0.060912,21.608334,21.855137,22.708334,22.192,23.216667,22.912681
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,soft,Climatology,test,22.708334,22.394372,-0.313962,0.313962,0.098572,22.708334,22.394372,22.908333,22.891821,23.85,23.145213
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,soft,Climatology,test,22.741667,23.00994,0.268273,0.268273,0.07197,22.741667,23.00994,23.116667,23.100079,23.716667,23.28017
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,soft,Climatology,test,22.108334,23.040464,0.93213,0.93213,0.868866,22.108334,23.040464,22.758333,23.142304,23.625,23.307984
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,soft,Climatology,test,22.108334,23.034923,0.926589,0.926589,0.858567,22.108334,23.034923,22.758333,23.084457,23.666666,23.232055
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,soft,Climatology,test,22.208334,22.669385,0.461051,0.461051,0.212568,22.208334,22.669385,22.758333,23.034923,23.666666,23.187279
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,soft,Climatology,test,21.875,22.020109,0.145109,0.145109,0.021057,21.875,22.020109,22.0,22.579978,22.958334,23.040464
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,soft,Climatology,test,20.283333,21.365718,1.082385,1.082385,1.171557,20.283333,21.365718,21.791666,21.888391,22.233334,22.611618
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,soft,Climatology,test,19.975,21.002672,1.027672,1.027672,1.05611,19.975,21.002672,20.866667,21.34846,21.908333,21.929674
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,soft,Climatology,test,19.975,20.539544,0.564544,0.564544,0.31871,19.975,20.539544,20.283333,21.002672,21.691668,21.57716
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,soft,Climatology,test,18.225,20.253026,2.028026,2.028026,4.112889,18.225,20.253026,19.975,20.539544,20.591667,21.121429
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,soft,Climatology,test,18.083334,18.792443,0.709109,0.709109,0.502836,18.083334,18.792443,18.683332,19.271963,20.091667,20.652431
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,soft,Climatology,test,18.0,18.587993,0.587993,0.587993,0.345736,18.0,18.587993,18.225,18.72188,18.975,19.422586
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,soft,Climatology,test,16.566668,17.40757,0.840902,0.840902,0.707116,16.566668,17.40757,17.166666,18.305127,18.566668,18.726001
