sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,18.725000,18.395727,-0.329274,0.329274,0.108421
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,19.116667,17.824660,-1.292007,1.292007,1.669281
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,21.250000,20.352560,-0.897440,0.897440,0.805398
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,21.250000,20.583444,-0.666556,0.666556,0.444297
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,21.250000,20.185582,-1.064418,1.064418,1.132987
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,21.250000,20.721418,-0.528582,0.528582,0.279399
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,22.108334,20.847078,-1.261256,1.261256,1.590766
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,21.908333,20.810277,-1.098056,1.098056,1.205727
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,21.908333,20.733147,-1.175185,1.175185,1.381061
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,21.908333,20.179573,-1.728760,1.728760,2.988610
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,20.866667,20.779927,-0.086739,0.086739,0.007524
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,19.975000,20.139055,0.164055,0.164055,0.026914
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,18.100000,20.009216,1.909216,1.909216,3.645105
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,18.100000,19.833801,1.733800,1.733800,3.006063
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,18.000000,18.186095,0.186095,0.186095,0.034631
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,16.416666,17.017314,0.600648,0.600648,0.360778
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,16.416666,17.302962,0.886296,0.886296,0.785521
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,15.841666,13.561917,-2.279750,2.279750,5.197259
Northwest_winter_2021-10-01,2021-10-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,15.491667,14.510443,-0.981223,0.981223,0.962800
Northwest_winter_2021-10-07,2021-10-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,15.491667,13.216338,-2.275328,2.275328,5.177120
Northwest_winter_2021-10-14,2021-10-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,12.407692,13.206335,0.798643,0.798643,0.637830
Northwest_winter_2021-10-21,2021-10-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,12.407692,12.137807,-0.269885,0.269885,0.072838
Northwest_winter_2021-10-28,2021-10-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,12.238461,12.180570,-0.057891,0.057891,0.003351
Northwest_winter_2021-11-01,2021-11-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,12.238461,9.799260,-2.439201,2.439201,5.949703
Northwest_winter_2021-11-07,2021-11-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,12.015385,9.718087,-2.297298,2.297298,5.277577
Northwest_winter_2021-11-14,2021-11-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,10.984615,8.373136,-2.611479,2.611479,6.819825
Northwest_winter_2021-11-21,2021-11-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,9.084616,8.681809,-0.402807,0.402807,0.162253
Northwest_winter_2021-11-28,2021-11-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,7.038462,7.291315,0.252853,0.252853,0.063935
Northwest_winter_2021-12-01,2021-12-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,7.038462,8.775751,1.737289,1.737289,3.018174
Northwest_winter_2021-12-07,2021-12-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,7.038462,7.141976,0.103514,0.103514,0.010715
Northwest_winter_2021-12-14,2021-12-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,7.038462,6.721442,-0.317020,0.317020,0.100502
Northwest_winter_2021-12-21,2021-12-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,2.876923,5.442193,2.565270,2.565270,6.580610
Northwest_winter_2021-12-28,2021-12-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,2.876923,4.800554,1.923631,1.923631,3.700354
Northwest_winter_2022-01-01,2022-01-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,2.876923,5.388860,2.511937,2.511937,6.309828
Northwest_winter_2022-01-07,2022-01-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,2.876923,5.856575,2.979652,2.979652,8.878327
Northwest_winter_2022-01-14,2022-01-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,2.876923,4.569753,1.692830,1.692830,2.865672
Northwest_winter_2022-01-21,2022-01-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,4.223077,4.421896,0.198819,0.198819,0.039529
Northwest_winter_2022-01-28,2022-01-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,6.384615,4.221508,-2.163107,2.163107,4.679033
Northwest_winter_2022-02-01,2022-02-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,6.384615,4.231825,-2.152791,2.152791,4.634508
Northwest_winter_2022-02-07,2022-02-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,6.384615,3.756701,-2.627915,2.627915,6.905935
Northwest_winter_2022-02-14,2022-02-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,4.207692,4.937978,0.730286,0.730286,0.533318
Northwest_winter_2022-02-21,2022-02-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,3.392308,5.155147,1.762839,1.762839,3.107601
Northwest_winter_2022-02-28,2022-02-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,3.392308,6.841658,3.449350,3.449350,11.898014
Northwest_winter_2022-03-01,2022-03-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,3.392308,7.203217,3.810909,3.810909,14.523027
Northwest_winter_2022-03-07,2022-03-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,3.392308,6.994693,3.602385,3.602385,12.977179
Northwest_winter_2022-03-14,2022-03-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,3.392308,5.458487,2.066179,2.066179,4.269097
Northwest_winter_2022-03-21,2022-03-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,4.976923,5.303336,0.326413,0.326413,0.106546
Northwest_winter_2022-03-28,2022-03-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,7.930769,7.037128,-0.893641,0.893641,0.798595
Northwest_winter_2022-04-01,2022-04-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,9.592308,7.990359,-1.601949,1.601949,2.566240
Northwest_winter_2022-04-07,2022-04-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,9.592308,11.878917,2.286609,2.286609,5.228578
Northwest_winter_2022-04-14,2022-04-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,9.592308,10.598163,1.005855,1.005855,1.011743
Northwest_winter_2022-04-21,2022-04-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,9.700000,11.633334,1.933334,1.933334,3.737779
Northwest_winter_2022-04-28,2022-04-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,12.069231,13.208323,1.139092,1.139092,1.297530
Northwest_winter_2022-05-01,2022-05-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,12.946154,14.754824,1.808670,1.808670,3.271287
Northwest_winter_2022-05-07,2022-05-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,12.946154,12.964952,0.018798,0.018798,0.000353
Northwest_winter_2022-05-14,2022-05-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,14.938461,14.080608,-0.857853,0.857853,0.735912
Northwest_winter_2022-05-21,2022-05-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,16.207693,14.754699,-1.452994,1.452994,2.111191
Northwest_winter_2022-05-28,2022-05-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,16.207693,16.421270,0.213577,0.213577,0.045615
Northwest_winter_2022-06-01,2022-06-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,16.207693,17.524113,1.316420,1.316420,1.732963
Northwest_winter_2022-06-07,2022-06-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,18.446154,17.470316,-0.975838,0.975838,0.952260
Northwest_winter_2022-06-14,2022-06-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,19.315384,18.237874,-1.077510,1.077510,1.161027
Northwest_winter_2022-06-21,2022-06-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,19.330769,18.750377,-0.580392,0.580392,0.336855
Northwest_winter_2022-06-28,2022-06-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,19.330769,19.838532,0.507764,0.507764,0.257824
Northwest_winter_2022-07-01,2022-07-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,19.330769,19.867894,0.537126,0.537126,0.288504
Northwest_winter_2022-07-07,2022-07-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,19.861538,20.385253,0.523715,0.523715,0.274277
Northwest_winter_2022-07-14,2022-07-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,20.969231,20.763354,-0.205877,0.205877,0.042385
Northwest_winter_2022-07-21,2022-07-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,21.407692,20.812078,-0.595614,0.595614,0.354756
Northwest_winter_2022-07-28,2022-07-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,21.415384,20.340070,-1.075314,1.075314,1.156300
Northwest_winter_2022-08-01,2022-08-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,21.415384,20.815768,-0.599617,0.599617,0.359540
Northwest_winter_2022-08-07,2022-08-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,21.415384,20.990803,-0.424581,0.424581,0.180269
Northwest_winter_2022-08-14,2022-08-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,20.323076,20.390286,0.067210,0.067210,0.004517
Northwest_winter_2022-08-21,2022-08-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,19.538462,20.718795,1.180334,1.180334,1.393188
Northwest_winter_2022-08-28,2022-08-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,19.461538,20.732298,1.270760,1.270760,1.614831
Northwest_winter_2022-09-01,2022-09-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,19.100000,20.872762,1.772762,1.772762,3.142683
Northwest_winter_2022-09-07,2022-09-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,19.100000,20.037122,0.937122,0.937122,0.878197
Northwest_winter_2022-09-14,2022-09-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,17.692308,19.983435,2.291126,2.291126,5.249259
Northwest_winter_2022-09-21,2022-09-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,17.330769,16.955661,-0.375108,0.375108,0.140706
Northwest_winter_2022-09-28,2022-09-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,16.992308,15.928800,-1.063507,1.063507,1.131048
Northwest_winter_2022-10-01,2022-10-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,16.992308,16.421725,-0.570583,0.570583,0.325564
Northwest_winter_2022-10-07,2022-10-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,14.207692,14.898848,0.691156,0.691156,0.477697
Northwest_winter_2022-10-14,2022-10-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,13.584616,13.373136,-0.211479,0.211479,0.044724
Northwest_winter_2022-10-21,2022-10-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,13.515385,13.113271,-0.402114,0.402114,0.161696
Northwest_winter_2022-10-28,2022-10-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,13.515385,12.179376,-1.336009,1.336009,1.784919
Northwest_winter_2022-11-01,2022-11-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,12.423077,11.133479,-1.289598,1.289598,1.663063
