sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,20.094445,20.258441,0.163996,0.313044,0.102005,19.075001,19.429686,19.691668,20.052542,21.516666,21.293094
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,21.038889,19.781666,-1.257223,1.257223,1.658826,19.966667,18.855356,21.258333,19.609789,21.891666,20.879852
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,22.058333,21.985458,-0.072875,0.132900,0.019267,21.516666,21.394426,21.725000,21.815038,22.933332,22.746911
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,22.386111,22.219930,-0.166181,0.199916,0.053265,21.608334,21.658936,22.383333,22.051949,23.166666,22.948906
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,22.511112,21.856864,-0.654248,0.654248,0.493023,21.608334,21.197407,22.708334,21.702057,23.216667,22.671127
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,23.155556,22.346743,-0.808813,0.808813,0.663210,22.708334,21.770095,22.908333,22.195585,23.850000,23.074547
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,23.191667,22.488815,-0.702852,0.702852,0.508064,22.741667,21.942179,23.116667,22.343425,23.716667,23.180841
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,22.830556,22.478377,-0.352179,0.352179,0.137753,22.108334,21.921813,22.758333,22.325092,23.625000,23.188227
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,22.844444,22.387804,-0.456640,0.456640,0.222950,22.108334,21.821135,22.758333,22.227528,23.666666,23.114750
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,22.877778,21.953583,-0.924194,0.924194,0.854668,22.208334,21.296250,22.758333,21.801823,23.666666,22.762677
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,22.277778,22.454326,0.176548,0.176548,0.044798,21.875000,21.893122,22.000000,22.295990,22.958334,23.173867
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,21.436111,21.818894,0.382783,0.469160,0.311583,20.283333,21.147489,21.791666,21.662101,22.233334,22.647092
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,20.916667,21.793849,0.877182,0.877182,0.801165,19.975000,21.103742,20.866667,21.628749,21.908333,22.649055
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,20.650000,21.567395,0.917395,0.917395,0.869444,19.975000,20.858485,20.283333,21.419880,21.691668,22.423820
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,19.597223,20.112744,0.515522,0.544852,0.460188,18.225000,19.258698,19.975000,19.931005,20.591667,21.148530
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,18.952778,19.240451,0.287674,0.287674,0.096094,18.083334,18.218686,18.683332,19.098211,20.091667,20.404458
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,18.400000,19.396482,0.996481,0.996481,1.218107,18.000000,18.419237,18.225000,19.213811,18.975000,20.556396
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,17.433334,16.249219,-1.184115,1.184115,1.515349,16.566668,14.918454,17.166666,16.123547,18.566668,17.705656
Northwest_winter_2021-10-01,2021-10-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,17.322222,17.103145,-0.219077,0.253651,0.099931,16.416666,15.910962,17.141666,16.938280,18.408333,18.460194
Northwest_winter_2021-10-07,2021-10-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,16.807906,15.846170,-0.961736,0.961736,0.993359,15.841666,14.514574,16.566668,15.737405,18.015385,17.286531
Northwest_winter_2021-10-14,2021-10-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,16.095940,15.818259,-0.277681,0.278493,0.158054,14.792308,14.626341,16.353846,15.685552,17.141666,17.142885
Northwest_winter_2021-10-21,2021-10-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,15.474359,14.605586,-0.868773,0.868773,0.826259,14.192307,13.233782,15.638461,14.496449,16.592308,16.086526
Northwest_winter_2021-10-28,2021-10-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,13.797436,14.618750,0.821314,0.821314,0.795538,12.423077,13.400385,13.330770,14.478092,15.638461,15.977774
Northwest_winter_2021-11-01,2021-11-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,13.743590,12.288249,-1.455341,1.455341,2.196297,12.423077,10.939101,13.230769,12.131511,15.576923,13.794134
Northwest_winter_2021-11-07,2021-11-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,13.200000,12.060478,-1.139522,1.139522,1.435999,12.407692,10.824105,13.046154,11.887132,14.146153,13.470198
Northwest_winter_2021-11-14,2021-11-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,12.974359,10.689702,-2.284657,2.284657,5.344757,12.238461,9.512301,12.769231,10.501716,13.915384,12.055090
Northwest_winter_2021-11-21,2021-11-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,11.912820,10.892986,-1.019834,1.019834,1.070172,10.676923,9.810424,12.015385,10.752958,13.046154,12.115577
Northwest_winter_2021-11-28,2021-11-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,10.571795,10.173711,-0.398084,0.697419,0.630326,8.469231,8.918233,10.484615,10.074834,12.761539,11.528066
Northwest_winter_2021-12-01,2021-12-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,9.756410,11.157448,1.401038,1.401038,1.970569,8.469231,9.817284,9.461538,10.985966,11.338462,12.669094
Northwest_winter_2021-12-07,2021-12-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,9.571795,9.320715,-0.251080,0.251080,0.068608,8.469231,8.126760,9.461538,9.301825,10.784616,10.533559
Northwest_winter_2021-12-14,2021-12-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,9.320513,9.124274,-0.196238,0.235785,0.111599,8.469231,7.898938,9.007692,9.067012,10.484615,10.406874
Northwest_winter_2021-12-21,2021-12-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,8.115385,8.373012,0.257628,0.552699,0.528317,6.230769,7.446258,8.492308,8.340243,9.623077,9.332536
Northwest_winter_2021-12-28,2021-12-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,6.438462,7.755955,1.317494,1.317494,2.582161,4.223077,6.597949,6.230769,7.676095,8.861539,8.993822
Northwest_winter_2022-01-01,2022-01-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,6.294872,8.153034,1.858162,1.858162,4.252277,4.223077,7.128305,6.153846,8.102483,8.507692,9.228314
Northwest_winter_2022-01-07,2022-01-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,6.166667,8.505837,2.339170,2.339170,5.952384,4.223077,7.419372,6.153846,8.476766,8.123077,9.621373
Northwest_winter_2022-01-14,2022-01-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,5.966667,7.618203,1.651536,1.651536,2.878161,4.223077,6.421626,6.153846,7.570161,7.523077,8.862822
Northwest_winter_2022-01-21,2022-01-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,6.766667,7.775052,1.008386,1.008386,1.020987,5.507692,6.574166,6.669231,7.709301,8.123077,9.041690
Northwest_winter_2022-01-28,2022-01-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,7.571795,7.458927,-0.112868,0.175043,0.065064,6.676923,6.245057,7.400000,7.400077,8.638461,8.731648
Northwest_winter_2022-02-01,2022-02-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,8.317949,7.541037,-0.776912,0.776912,0.678468,7.238461,6.242765,8.430769,7.486818,9.284616,8.893527
Northwest_winter_2022-02-07,2022-02-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,8.571795,7.136044,-1.435751,1.435751,2.062069,7.238461,5.781005,8.523077,7.124261,9.953846,8.502866
Northwest_winter_2022-02-14,2022-02-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,8.571795,7.960794,-0.611001,0.611001,0.405127,7.238461,6.847245,8.523077,7.909326,9.953846,9.125812
Northwest_winter_2022-02-21,2022-02-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,7.182051,8.118156,0.936104,1.207996,1.806326,5.592308,6.999345,6.369231,8.178344,9.584616,9.176777
Northwest_winter_2022-02-28,2022-02-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,6.605128,9.372872,2.767744,2.767744,8.025990,4.976923,8.295474,6.323077,9.381840,8.515385,10.441303
Northwest_winter_2022-03-01,2022-03-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,6.605128,9.613214,3.008086,3.008086,9.355430,4.976923,8.518723,6.323077,9.560929,8.515385,10.759991
Northwest_winter_2022-03-07,2022-03-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,6.638462,9.447821,2.809360,2.809360,8.185933,4.976923,8.281712,6.323077,9.390744,8.615385,10.671008
Northwest_winter_2022-03-14,2022-03-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,7.025641,8.440721,1.415080,1.533753,3.282299,4.976923,7.316301,6.323077,8.406949,9.776923,9.598913
Northwest_winter_2022-03-21,2022-03-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,8.538462,8.287519,-0.250943,1.137386,1.811762,6.192307,7.184632,7.930769,8.268111,11.492308,9.409814
Northwest_winter_2022-03-28,2022-03-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,11.053846,9.298422,-1.755424,1.755424,3.193735,9.607693,8.251992,10.976923,9.241855,12.576923,10.401419
Northwest_winter_2022-04-01,2022-04-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,12.010256,10.534399,-1.475857,1.475857,2.222245,10.723077,9.494163,11.792308,10.335807,13.515385,11.773228
Northwest_winter_2022-04-07,2022-04-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,12.520513,14.165141,1.644628,1.644628,3.160181,10.723077,13.054346,12.069231,13.944527,14.769231,15.496550
Northwest_winter_2022-04-14,2022-04-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,12.458974,12.647110,0.188136,0.381699,0.261573,10.723077,11.577829,12.484615,12.416793,14.169230,13.946709
Northwest_winter_2022-04-21,2022-04-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,13.600000,13.650915,0.050915,0.396041,0.171168,12.069231,12.506334,13.253846,13.487177,15.476923,14.959234
Northwest_winter_2022-04-28,2022-04-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,14.228205,15.429143,1.200938,1.200938,1.563598,12.946154,14.291933,13.700000,15.236298,16.038462,16.759198
Northwest_winter_2022-05-01,2022-05-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,14.812820,17.112697,2.299876,2.299876,5.553125,13.046154,16.070495,14.938461,16.919757,16.453846,18.347837
Northwest_winter_2022-05-07,2022-05-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,14.892308,15.130731,0.238423,0.362099,0.281359,13.046154,13.946936,14.938461,14.933625,16.692308,16.511631
Northwest_winter_2022-05-14,2022-05-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,16.600000,16.474598,-0.125401,0.132992,0.025418,15.476923,15.305625,16.284615,16.296001,18.038462,17.822169
Northwest_winter_2022-05-21,2022-05-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,17.697436,17.177040,-0.520396,0.520396,0.284693,16.692308,16.026002,17.500000,16.982889,18.900000,18.522231
Northwest_winter_2022-05-28,2022-05-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,18.597436,18.588980,-0.008456,0.318282,0.133434,17.500000,17.570959,18.869230,18.379123,19.423077,19.816857
Northwest_winter_2022-06-01,2022-06-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,18.856410,19.518188,0.661778,0.661778,0.549240,17.500000,18.620803,18.946154,19.284044,20.123077,20.649718
Northwest_winter_2022-06-07,2022-06-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,19.674359,19.451860,-0.222499,0.231581,0.092593,19.038462,18.546851,19.423077,19.233567,20.561539,20.575161
Northwest_winter_2022-06-14,2022-06-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,20.305129,20.128147,-0.176982,0.176982,0.037491,19.515385,19.278490,20.184616,19.956596,21.215385,21.149354
Northwest_winter_2022-06-21,2022-06-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,20.684615,20.619365,-0.065250,0.127674,0.016944,19.892307,19.757407,20.646154,20.491668,21.515385,21.609021
Northwest_winter_2022-06-28,2022-06-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,20.987179,21.566024,0.578845,0.578845,0.412460,19.892307,20.860888,20.969231,21.399874,22.100000,22.437311
Northwest_winter_2022-07-01,2022-07-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,21.525641,21.593926,0.068285,0.092544,0.015961,20.653847,20.867906,21.476923,21.440534,22.446154,22.473338
Northwest_winter_2022-07-07,2022-07-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,21.797436,22.038015,0.240579,0.277033,0.104752,20.969231,21.427626,21.938461,21.883780,22.484615,22.802639
Northwest_winter_2022-07-14,2022-07-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,22.143590,22.394228,0.250638,0.250638,0.087538,21.515385,21.806968,22.215385,22.256285,22.700001,23.119431
Northwest_winter_2022-07-21,2022-07-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,22.284615,22.458966,0.174351,0.174351,0.056318,21.869230,21.897162,22.215385,22.311948,22.769230,23.167788
Northwest_winter_2022-07-28,2022-07-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,22.266666,22.043006,-0.223661,0.266220,0.097739,21.869230,21.403940,22.161539,21.892008,22.769230,22.833069
Northwest_winter_2022-08-01,2022-08-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,22.394872,22.447026,0.052154,0.059432,0.007434,21.869230,21.888987,22.161539,22.309161,23.153847,23.142931
Northwest_winter_2022-08-07,2022-08-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,22.551282,22.670934,0.119653,0.228941,0.054612,21.869230,22.141944,22.284615,22.534792,23.500000,23.336067
Northwest_winter_2022-08-14,2022-08-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,22.053846,22.087068,0.033222,0.033222,0.001514,21.415384,21.462265,21.884615,21.932804,22.861538,22.866134
Northwest_winter_2022-08-21,2022-08-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,21.997436,22.371392,0.373956,0.465002,0.327278,20.876923,21.798846,21.884615,22.221130,23.230770,23.094202
Northwest_winter_2022-08-28,2022-08-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,21.064103,22.438749,1.374646,1.374646,2.305584,19.715385,21.873490,20.900000,22.287319,22.576923,23.155438
Northwest_winter_2022-09-01,2022-09-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,20.446154,22.657659,2.211506,2.211506,4.970540,19.538462,22.110815,20.330769,22.510224,21.469231,23.351939
Northwest_winter_2022-09-07,2022-09-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,20.312820,21.795847,1.483027,1.483027,2.218518,19.461538,21.117993,20.323076,21.640854,21.153847,22.628694
Northwest_winter_2022-09-14,2022-09-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,19.310257,21.739568,2.429311,2.429311,6.038692,18.207693,21.111132,19.200001,21.584883,20.523077,22.522690
Northwest_winter_2022-09-21,2022-09-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,18.717949,19.067099,0.349150,0.414128,0.235363,18.176924,18.079458,18.515385,18.944368,19.461538,20.177472
Northwest_winter_2022-09-28,2022-09-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,18.071795,18.169285,0.097490,0.262782,0.112074,17.138462,17.096480,18.207693,18.001737,18.869230,19.409639
Northwest_winter_2022-10-01,2022-10-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,17.628205,18.573679,0.945474,0.945474,0.990023,17.015385,17.559015,17.353846,18.348442,18.515385,19.813580
Northwest_winter_2022-10-07,2022-10-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,16.974359,17.553550,0.579190,0.579190,0.340019,15.723077,16.328312,16.992308,17.478933,18.207693,18.853403
Northwest_winter_2022-10-14,2022-10-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,15.617949,16.032028,0.414079,0.414079,0.174632,14.207692,14.700537,15.569231,15.933749,17.076923,17.461797
Northwest_winter_2022-10-21,2022-10-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,14.989744,15.730025,0.740281,0.740281,0.601606,13.915384,14.410245,14.561539,15.612177,16.492308,17.167654
Northwest_winter_2022-10-28,2022-10-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,14.423077,14.654896,0.231819,0.466240,0.248887,13.661538,13.309908,14.207692,14.537821,15.400000,16.116959
Northwest_winter_2022-11-01,2022-11-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,14.115385,13.600035,-0.515350,0.658057,0.654827,13.515385,12.205408,13.961538,13.511404,14.869231,15.083292
Northwest_winter_2022-11-07,2022-11-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,13.128205,13.323483,0.195278,0.314710,0.126101,12.023077,11.843929,13.076923,13.295691,14.284616,14.830829
Northwest_winter_2022-11-14,2022-11-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,12.419658,11.740748,-0.678910,0.678910,0.837059,11.869231,10.341290,12.023077,11.615160,13.366667,13.265795
Northwest_winter_2022-11-21,2022-11-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,12.092308,10.995628,-1.096680,1.096680,1.297879,11.192307,9.748722,12.007692,10.855336,13.076923,12.382826
Northwest_winter_2022-11-28,2022-11-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,11.110257,10.621576,-0.488680,0.488680,0.363950,10.315385,9.354730,10.992308,10.595939,12.023077,11.914059
Northwest_winter_2022-12-01,2022-12-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,10.838461,10.175995,-0.662466,0.662466,0.460111,9.884615,9.037554,10.692307,10.042652,11.938461,11.447780
Northwest_winter_2022-12-07,2022-12-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,10.628205,8.841214,-1.786991,1.786991,3.578634,9.884615,7.219803,10.315385,8.971862,11.684615,10.331977
Northwest_winter_2022-12-14,2022-12-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,10.082051,7.531274,-2.550777,2.550777,6.904612,9.207692,5.814905,10.023077,7.637403,11.015385,9.141516
Northwest_winter_2022-12-21,2022-12-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,9.561538,7.781971,-1.779567,1.779567,3.817830,9.000000,6.138846,9.423077,7.869527,10.261539,9.337541
Northwest_winter_2022-12-28,2022-12-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,9.258974,7.877617,-1.381357,1.381357,2.201783,8.730769,6.658162,9.207692,7.885457,9.838462,9.089232
Northwest_winter_2023-01-01,2023-01-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,9.382051,7.824189,-1.557862,1.557862,2.757636,8.915384,6.577798,9.207692,7.839506,10.023077,9.055264
Northwest_winter_2023-01-07,2023-01-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,9.215384,7.610088,-1.605297,1.605297,3.201401,8.915384,6.284685,9.207692,7.730326,9.523077,8.815252
Northwest_winter_2023-01-14,2023-01-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,8.048718,7.206424,-0.842294,0.842294,0.712193,6.823077,6.028226,7.961538,7.144651,9.361539,8.446395
Northwest_winter_2023-01-21,2023-01-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,6.938462,8.390163,1.451701,1.451701,2.204143,5.553846,7.265029,6.538462,8.167930,8.723077,9.737530
Northwest_winter_2023-01-28,2023-01-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,6.684615,8.565333,1.880718,1.880718,3.554001,5.553846,7.570650,6.538462,8.458201,7.961538,9.667149
Northwest_winter_2023-02-01,2023-02-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,6.684615,8.076542,1.391927,1.391927,1.968781,5.553846,6.847387,6.538462,8.178885,7.961538,9.203354
Northwest_winter_2023-02-07,2023-02-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,6.684615,7.879966,1.195351,1.195351,1.453043,5.553846,6.756418,6.538462,7.920543,7.961538,8.962937
Northwest_winter_2023-02-14,2023-02-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,7.674359,8.019084,0.344725,1.071212,1.151287,5.884615,6.872866,6.815384,7.951038,10.323077,9.233347
Northwest_winter_2023-02-21,2023-02-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,9.994872,8.808757,-1.186115,1.186115,1.518501,9.153846,7.603605,10.069231,8.804396,10.761539,10.018269
Northwest_winter_2023-02-28,2023-02-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,10.823077,9.591552,-1.231525,1.231525,1.625234,10.092308,8.441444,10.692307,9.494421,11.684615,10.838790
Northwest_winter_2023-03-01,2023-03-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,10.823077,10.680151,-0.142926,0.247691,0.082847,10.092308,9.637805,10.692307,10.560884,11.684615,11.841763
Northwest_winter_2023-03-07,2023-03-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,10.389743,12.011384,1.621641,1.621641,2.794849,9.630769,10.848571,10.376923,11.846395,11.161538,13.339187
Northwest_winter_2023-03-14,2023-03-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,10.589743,12.626850,2.037107,2.037107,4.206099,9.723077,11.472458,10.384615,12.416080,11.661538,13.992013
Northwest_winter_2023-03-21,2023-03-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,10.800000,10.467433,-0.332567,0.332567,0.136171,9.723077,9.445874,10.592308,10.421942,12.084616,11.534483
Northwest_winter_2023-03-28,2023-03-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,10.930769,11.378647,0.447878,0.447878,0.203585,9.723077,10.213410,10.815385,11.298015,12.253846,12.624516
Northwest_winter_2023-04-01,2023-04-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,11.112821,9.573370,-1.539451,1.539451,2.515168,9.723077,8.471916,10.830770,9.541578,12.784616,10.706615
Northwest_winter_2023-04-07,2023-04-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,12.061539,11.931855,-0.129684,0.132598,0.036322,10.815385,10.819756,11.838462,11.767365,13.530769,13.208444
Northwest_winter_2023-04-14,2023-04-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,12.625641,11.773218,-0.852423,0.852423,0.732203,11.692307,10.773698,12.300000,11.551962,13.884615,12.993994
Northwest_winter_2023-04-21,2023-04-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,12.833334,14.182125,1.348791,1.348791,1.886555,11.838462,12.936437,12.307693,14.013827,14.353847,15.596112
