sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,18.725,18.64102,-0.08398,0.08398,0.007053
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,19.116667,18.868168,-0.248499,0.248499,0.061752
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,21.25,20.761631,-0.488369,0.488369,0.238504
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,21.25,20.864715,-0.385285,0.385285,0.148445
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,21.25,20.764414,-0.485586,0.485586,0.235794
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,21.25,21.059797,-0.190203,0.190203,0.036177
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,22.108334,21.189118,-0.919216,0.919216,0.844958
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,21.908333,21.126437,-0.781896,0.781896,0.611361
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,21.908333,20.776738,-1.131595,1.131595,1.280507
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,21.908333,19.031297,-2.877036,2.877036,8.277336
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,20.866667,20.567032,-0.299635,0.299635,0.089781
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,19.975,19.824227,-0.150773,0.150773,0.022732
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,18.1,19.938953,1.838953,1.838953,3.381748
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,18.1,19.444886,1.344886,1.344886,1.808718
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,18.0,18.61824,0.61824,0.61824,0.382221
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,16.416666,16.007163,-0.409503,0.409503,0.167693
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,16.416666,16.685046,0.26838,0.26838,0.072028
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,15.841666,14.519613,-1.322053,1.322053,1.747824
Northwest_winter_2021-10-01,2021-10-01,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,15.491667,14.705254,-0.786413,0.786413,0.618445
Northwest_winter_2021-10-07,2021-10-07,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,15.491667,13.017931,-2.473736,2.473736,6.11937
Northwest_winter_2021-10-14,2021-10-14,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,12.407692,12.800815,0.393123,0.393123,0.154546
Northwest_winter_2021-10-21,2021-10-21,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,12.407692,10.961801,-1.445891,1.445891,2.090601
Northwest_winter_2021-10-28,2021-10-28,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,12.238461,11.184882,-1.053579,1.053579,1.110029
Northwest_winter_2021-11-01,2021-11-01,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,12.238461,8.041713,-4.196748,4.196748,17.612694
Northwest_winter_2021-11-07,2021-11-07,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,12.015385,8.611539,-3.403846,3.403846,11.586168
Northwest_winter_2021-11-14,2021-11-14,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,10.984615,5.26033,-5.724285,5.724285,32.767439
Northwest_winter_2021-11-21,2021-11-21,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,9.084616,6.401293,-2.683323,2.683323,7.200222
Northwest_winter_2021-11-28,2021-11-28,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,7.038462,6.071275,-0.967187,0.967187,0.935451
Northwest_winter_2021-12-01,2021-12-01,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,7.038462,3.916243,-3.122219,3.122219,9.748251
Northwest_winter_2021-12-07,2021-12-07,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,7.038462,6.252262,-0.7862,0.7862,0.61811
Northwest_winter_2021-12-14,2021-12-14,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,7.038462,6.358345,-0.680117,0.680117,0.462559
Northwest_winter_2021-12-21,2021-12-21,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,2.876923,4.648408,1.771485,1.771485,3.138159
Northwest_winter_2021-12-28,2021-12-28,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,2.876923,4.247507,1.370584,1.370584,1.878501
Northwest_winter_2022-01-01,2022-01-01,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,2.876923,5.00481,2.127887,2.127887,4.527903
Northwest_winter_2022-01-07,2022-01-07,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,2.876923,5.183383,2.30646,2.30646,5.319758
Northwest_winter_2022-01-14,2022-01-14,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,2.876923,4.145685,1.268762,1.268762,1.609757
Northwest_winter_2022-01-21,2022-01-21,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,4.223077,4.179365,-0.043712,0.043712,0.001911
Northwest_winter_2022-01-28,2022-01-28,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,6.384615,3.976977,-2.407638,2.407638,5.796721
Northwest_winter_2022-02-01,2022-02-01,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,6.384615,3.827646,-2.556969,2.556969,6.53809
Northwest_winter_2022-02-07,2022-02-07,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,6.384615,4.395517,-1.989098,1.989098,3.956511
Northwest_winter_2022-02-14,2022-02-14,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,4.207692,4.09511,-0.112582,0.112582,0.012675
Northwest_winter_2022-02-21,2022-02-21,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,3.392308,6.495547,3.103239,3.103239,9.630092
Northwest_winter_2022-02-28,2022-02-28,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,3.392308,6.944259,3.551951,3.551951,12.616356
Northwest_winter_2022-03-01,2022-03-01,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,3.392308,6.893724,3.501416,3.501416,12.259914
Northwest_winter_2022-03-07,2022-03-07,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,3.392308,6.942968,3.55066,3.55066,12.607186
Northwest_winter_2022-03-14,2022-03-14,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,3.392308,6.036363,2.644055,2.644055,6.991027
Northwest_winter_2022-03-21,2022-03-21,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,4.976923,7.033225,2.056302,2.056302,4.228378
Northwest_winter_2022-03-28,2022-03-28,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,7.930769,8.36517,0.434401,0.434401,0.188704
Northwest_winter_2022-04-01,2022-04-01,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,9.592308,8.350134,-1.242174,1.242174,1.542996
Northwest_winter_2022-04-07,2022-04-07,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,9.592308,9.557112,-0.035196,0.035196,0.001239
Northwest_winter_2022-04-14,2022-04-14,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,9.592308,10.005977,0.413669,0.413669,0.171122
Northwest_winter_2022-04-21,2022-04-21,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,9.7,10.563391,0.863391,0.863391,0.745444
Northwest_winter_2022-04-28,2022-04-28,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,12.069231,12.071744,0.002513,0.002513,6e-06
Northwest_winter_2022-05-01,2022-05-01,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,12.946154,14.337343,1.391189,1.391189,1.935407
Northwest_winter_2022-05-07,2022-05-07,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,12.946154,12.947334,0.00118,0.00118,1e-06
Northwest_winter_2022-05-14,2022-05-14,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,14.938461,13.238858,-1.699603,1.699603,2.88865
Northwest_winter_2022-05-21,2022-05-21,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,16.207693,14.049312,-2.158381,2.158381,4.658609
Northwest_winter_2022-05-28,2022-05-28,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,16.207693,16.14894,-0.058753,0.058753,0.003452
Northwest_winter_2022-06-01,2022-06-01,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,16.207693,17.519765,1.312072,1.312072,1.721533
Northwest_winter_2022-06-07,2022-06-07,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,18.446154,17.73519,-0.710964,0.710964,0.50547
Northwest_winter_2022-06-14,2022-06-14,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,19.315384,18.874649,-0.440735,0.440735,0.194247
Northwest_winter_2022-06-21,2022-06-21,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,19.330769,19.017367,-0.313402,0.313402,0.098221
Northwest_winter_2022-06-28,2022-06-28,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,19.330769,19.961585,0.630816,0.630816,0.397929
Northwest_winter_2022-07-01,2022-07-01,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,19.330769,20.082548,0.751779,0.751779,0.565172
Northwest_winter_2022-07-07,2022-07-07,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,19.861538,20.47069,0.609152,0.609152,0.371066
Northwest_winter_2022-07-14,2022-07-14,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,20.969231,21.067391,0.09816,0.09816,0.009635
Northwest_winter_2022-07-21,2022-07-21,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,21.407692,21.166565,-0.241127,0.241127,0.058142
Northwest_winter_2022-07-28,2022-07-28,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,21.415384,20.661372,-0.754012,0.754012,0.568534
Northwest_winter_2022-08-01,2022-08-01,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,21.415384,21.024708,-0.390676,0.390676,0.152628
Northwest_winter_2022-08-07,2022-08-07,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,21.415384,21.15532,-0.260064,0.260064,0.067633
Northwest_winter_2022-08-14,2022-08-14,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,20.323076,20.630176,0.3071,0.3071,0.09431
Northwest_winter_2022-08-21,2022-08-21,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,19.538462,20.51751,0.979048,0.979048,0.958535
Northwest_winter_2022-08-28,2022-08-28,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,19.461538,20.352365,0.890827,0.890827,0.793573
Northwest_winter_2022-09-01,2022-09-01,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,19.1,20.208517,1.108517,1.108517,1.22881
Northwest_winter_2022-09-07,2022-09-07,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,19.1,19.467727,0.367727,0.367727,0.135223
Northwest_winter_2022-09-14,2022-09-14,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,17.692308,18.632273,0.939965,0.939965,0.883534
Northwest_winter_2022-09-21,2022-09-21,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,17.330769,16.489146,-0.841623,0.841623,0.708329
Northwest_winter_2022-09-28,2022-09-28,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,16.992308,14.914024,-2.078284,2.078284,4.319264
Northwest_winter_2022-10-01,2022-10-01,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,16.992308,15.789885,-1.202423,1.202423,1.445821
Northwest_winter_2022-10-07,2022-10-07,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,14.207692,14.571197,0.363505,0.363505,0.132136
Northwest_winter_2022-10-14,2022-10-14,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,13.584616,12.102019,-1.482597,1.482597,2.198094
Northwest_winter_2022-10-21,2022-10-21,Northwest,winter,anchor,ConvNeXtTiny-TFT-NN,test,13.515385,12.234833,-1.280552,1.280552,1.639813
