sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,19.075001,19.815475,0.740474,0.740474,0.548302,19.075001,19.815475,19.691668,20.611862,21.516666,21.569454
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,19.966667,20.017447,0.05078,0.05078,0.002579,19.966667,20.017447,21.258333,20.773749,21.891666,21.712243
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,21.516666,21.983189,0.466523,0.466523,0.217644,21.516666,21.983189,21.725,22.468637,22.933332,23.112662
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,21.608334,22.095379,0.487045,0.487045,0.237213,21.608334,22.095379,22.383333,22.605607,23.166666,23.241759
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,21.608334,21.947198,0.338864,0.338864,0.114829,21.608334,21.947198,22.708334,22.496499,23.216667,23.15028
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,22.708334,22.300105,-0.408229,0.408229,0.166651,22.708334,22.300105,22.908333,22.806976,23.85,23.428581
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,22.741667,22.445341,-0.296326,0.296326,0.087809,22.741667,22.445341,23.116667,22.926987,23.716667,23.517752
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,22.108334,22.348452,0.240118,0.240118,0.057657,22.108334,22.348452,22.758333,22.854914,23.625,23.483358
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,22.108334,21.957182,-0.151152,0.151152,0.022847,22.108334,21.957182,22.758333,22.529893,23.666666,23.204
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,22.208334,20.335734,-1.8726,1.8726,3.506631,22.208334,20.335734,22.758333,21.201278,23.666666,22.051216
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,21.875,21.759443,-0.115557,0.115557,0.013353,21.875,21.759443,22.0,22.377585,22.958334,23.087038
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,20.283333,21.077657,0.794324,0.794324,0.630951,20.283333,21.077657,21.791666,21.785751,22.233334,22.573486
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,19.975,21.189175,1.214175,1.214175,1.474221,19.975,21.189175,20.866667,21.860879,21.908333,22.637537
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,19.975,20.728519,0.753519,0.753519,0.567791,19.975,20.728519,20.283333,21.478853,21.691668,22.325152
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,18.225,19.986359,1.761359,1.761359,3.102386,18.225,19.986359,19.975,20.797169,20.591667,21.733396
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,18.083334,17.645791,-0.437543,0.437543,0.191444,18.083334,17.645791,18.683332,18.688433,20.091667,19.824079
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,18.0,18.240012,0.240012,0.240012,0.057606,18.0,18.240012,18.225,19.231128,18.975,20.344876
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,16.566668,16.174205,-0.392463,0.392463,0.154027,16.566668,16.174205,17.166666,17.262345,18.566668,18.58426
Northwest_winter_2021-10-01,2021-10-01,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,16.416666,16.346697,-0.069969,0.069969,0.004896,16.416666,16.346697,17.141666,17.39113,18.408333,18.699789
Northwest_winter_2021-10-07,2021-10-07,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,15.841666,14.571479,-1.270187,1.270187,1.613375,15.841666,14.571479,16.566668,15.658493,18.015385,17.12026
Northwest_winter_2021-10-14,2021-10-14,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,14.792308,14.377551,-0.414757,0.414757,0.172023,14.792308,14.377551,16.353846,15.499073,17.141666,16.954813
Northwest_winter_2021-10-21,2021-10-21,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,14.192307,12.383155,-1.809152,1.809152,3.273031,14.192307,12.383155,15.638461,13.474836,16.592308,14.98766
Northwest_winter_2021-10-28,2021-10-28,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,12.423077,12.61912,0.196043,0.196043,0.038433,12.423077,12.61912,13.33077,13.718374,15.638461,15.236268
Northwest_winter_2021-11-01,2021-11-01,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,12.423077,9.720035,-2.703042,2.703042,7.306436,12.423077,9.720035,13.230769,10.888961,15.576923,12.467627
Northwest_winter_2021-11-07,2021-11-07,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,12.407692,10.036441,-2.371251,2.371251,5.622831,12.407692,10.036441,13.046154,11.157346,14.146153,12.614834
Northwest_winter_2021-11-14,2021-11-14,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,12.238461,7.319137,-4.919324,4.919324,24.199749,12.238461,7.319137,12.769231,8.496346,13.915384,10.010718
Northwest_winter_2021-11-21,2021-11-21,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,10.676923,8.141987,-2.534936,2.534936,6.425901,10.676923,8.141987,12.015385,9.328934,13.046154,10.768198
Northwest_winter_2021-11-28,2021-11-28,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,8.469231,7.828039,-0.641192,0.641192,0.411127,8.469231,7.828039,10.484615,8.936349,12.761539,10.441249
Northwest_winter_2021-12-01,2021-12-01,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,8.469231,6.186126,-2.283105,2.283105,5.212568,8.469231,6.186126,9.461538,7.440175,11.338462,9.132772
Northwest_winter_2021-12-07,2021-12-07,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,8.469231,7.945579,-0.523652,0.523652,0.274211,8.469231,7.945579,9.461538,9.045788,10.784616,10.428803
Northwest_winter_2021-12-14,2021-12-14,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,8.469231,8.042123,-0.427108,0.427108,0.182421,8.469231,8.042123,9.007692,9.151976,10.484615,10.576903
Northwest_winter_2021-12-21,2021-12-21,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,6.230769,6.709679,0.47891,0.47891,0.229355,6.230769,6.709679,8.492308,7.746555,9.623077,9.168748
Northwest_winter_2021-12-28,2021-12-28,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,4.223077,6.470163,2.247086,2.247086,5.049395,4.223077,6.470163,6.230769,7.494471,8.861539,8.980327
Northwest_winter_2022-01-01,2022-01-01,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,4.223077,7.002392,2.779315,2.779315,7.724592,4.223077,7.002392,6.153846,8.151009,8.507692,9.578912
Northwest_winter_2022-01-07,2022-01-07,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,4.223077,7.157755,2.934678,2.934678,8.612335,4.223077,7.157755,6.153846,8.21805,8.123077,9.647109
Northwest_winter_2022-01-14,2022-01-14,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,4.223077,6.418648,2.195571,2.195571,4.820532,4.223077,6.418648,6.153846,7.507478,7.523077,9.02259
Northwest_winter_2022-01-21,2022-01-21,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,5.507692,6.586272,1.07858,1.07858,1.163335,5.507692,6.586272,6.669231,7.610765,8.123077,9.034865
Northwest_winter_2022-01-28,2022-01-28,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,6.676923,6.431905,-0.245018,0.245018,0.060034,6.676923,6.431905,7.4,7.430968,8.638461,8.919297
Northwest_winter_2022-02-01,2022-02-01,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,7.238461,6.194651,-1.04381,1.04381,1.089539,7.238461,6.194651,8.430769,7.231841,9.284616,8.722921
Northwest_winter_2022-02-07,2022-02-07,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,7.238461,6.585347,-0.653114,0.653114,0.426558,7.238461,6.585347,8.523077,7.598463,9.953846,9.069782
Northwest_winter_2022-02-14,2022-02-14,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,7.238461,6.491516,-0.746945,0.746945,0.557927,7.238461,6.491516,8.523077,7.609453,9.953846,9.20616
Northwest_winter_2022-02-21,2022-02-21,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,5.592308,8.184219,2.591911,2.591911,6.718003,5.592308,8.184219,6.369231,9.176796,9.584616,10.507957
Northwest_winter_2022-02-28,2022-02-28,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,4.976923,8.562637,3.585714,3.585714,12.857345,4.976923,8.562637,6.323077,9.590405,8.515385,10.919055
Northwest_winter_2022-03-01,2022-03-01,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,4.976923,8.530831,3.553908,3.553908,12.630262,4.976923,8.530831,6.323077,9.558448,8.515385,10.903177
Northwest_winter_2022-03-07,2022-03-07,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,4.976923,8.50253,3.525607,3.525607,12.429905,4.976923,8.50253,6.323077,9.485322,8.615385,10.879146
Northwest_winter_2022-03-14,2022-03-14,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,4.976923,8.013023,3.0361,3.0361,9.217903,4.976923,8.013023,6.323077,9.013199,9.776923,10.396587
Northwest_winter_2022-03-21,2022-03-21,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,6.192307,8.760712,2.568405,2.568405,6.596704,6.192307,8.760712,7.930769,9.779807,11.492308,11.126858
Northwest_winter_2022-03-28,2022-03-28,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,9.607693,9.749114,0.141421,0.141421,0.02,9.607693,9.749114,10.976923,10.775482,12.576923,12.158215
Northwest_winter_2022-04-01,2022-04-01,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,10.723077,9.829058,-0.894019,0.894019,0.79927,10.723077,9.829058,11.792308,10.864676,13.515385,12.279984
Northwest_winter_2022-04-07,2022-04-07,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,10.723077,10.770254,0.047177,0.047177,0.002226,10.723077,10.770254,12.069231,11.781246,14.769231,13.187549
Northwest_winter_2022-04-14,2022-04-14,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,10.723077,11.225851,0.502774,0.502774,0.252782,10.723077,11.225851,12.484615,12.258026,14.16923,13.666539
Northwest_winter_2022-04-21,2022-04-21,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,12.069231,11.795367,-0.273864,0.273864,0.075001,12.069231,11.795367,13.253846,12.842774,15.476923,14.290227
Northwest_winter_2022-04-28,2022-04-28,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,12.946154,13.324104,0.37795,0.37795,0.142846,12.946154,13.324104,13.7,14.320139,16.038462,15.766279
Northwest_winter_2022-05-01,2022-05-01,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,13.046154,15.688356,2.642202,2.642202,6.981231,13.046154,15.688356,14.938461,16.681591,16.453846,18.036832
Northwest_winter_2022-05-07,2022-05-07,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,13.046154,14.237659,1.191505,1.191505,1.419684,13.046154,14.237659,14.938461,15.222077,16.692308,16.658445
Northwest_winter_2022-05-14,2022-05-14,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,15.476923,14.557485,-0.919438,0.919438,0.845366,15.476923,14.557485,16.284615,15.533451,18.038462,16.955915
Northwest_winter_2022-05-21,2022-05-21,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,16.692308,15.408418,-1.28389,1.28389,1.648374,16.692308,15.408418,17.5,16.368327,18.9,17.746955
Northwest_winter_2022-05-28,2022-05-28,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,17.5,17.479193,-0.020807,0.020807,0.000433,17.5,17.479193,18.86923,18.40324,19.423077,19.619238
Northwest_winter_2022-06-01,2022-06-01,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,17.5,18.770562,1.270562,1.270562,1.614328,17.5,18.770562,18.946154,19.604473,20.123077,20.715304
Northwest_winter_2022-06-07,2022-06-07,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,19.038462,18.952241,-0.086221,0.086221,0.007434,19.038462,18.952241,19.423077,19.804281,20.561539,20.88684
Northwest_winter_2022-06-14,2022-06-14,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,19.515385,20.002799,0.487414,0.487414,0.237572,19.515385,20.002799,20.184616,20.784038,21.215385,21.714158
Northwest_winter_2022-06-21,2022-06-21,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,19.892307,20.144502,0.252195,0.252195,0.063602,19.892307,20.144502,20.646154,20.934693,21.515385,21.851917
Northwest_winter_2022-06-28,2022-06-28,Northwest,winter,soft,ConvNeXtTiny-TFT-NN,test,19.892307,21.075287,1.18298,1.18298,1.399442,19.892307,21.075287,20.969231,21.755416,22.1,22.539524
