sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,18.725000,18.266163,-0.458838,0.458838,0.210532
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,19.116667,18.148871,-0.967796,0.967796,0.936629
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,21.250000,20.433231,-0.816769,0.816769,0.667112
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,21.250000,20.610513,-0.639487,0.639487,0.408944
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,21.250000,20.183895,-1.066105,1.066105,1.136579
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,21.250000,20.747749,-0.502251,0.502251,0.252256
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,22.108334,20.876981,-1.231353,1.231353,1.516229
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,21.908333,20.851356,-1.056977,1.056977,1.117201
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,21.908333,20.476838,-1.431495,1.431495,2.049179
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,21.908333,20.284879,-1.623454,1.623454,2.635601
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,20.866667,20.281953,-0.584714,0.584714,0.341891
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,19.975000,19.717090,-0.257911,0.257911,0.066518
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,18.100000,19.605861,1.505860,1.505860,2.267615
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,18.100000,19.466942,1.366941,1.366941,1.868529
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,18.000000,18.238011,0.238011,0.238011,0.056649
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,16.416666,15.292453,-1.124213,1.124213,1.263855
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,16.416666,16.865276,0.448610,0.448610,0.201251
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,15.841666,14.100806,-1.740860,1.740860,3.030593
Northwest_winter_2021-10-01,2021-10-01,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,15.491667,14.050897,-1.440770,1.440770,2.075817
Northwest_winter_2021-10-07,2021-10-07,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,15.491667,12.835718,-2.655948,2.655948,7.054062
Northwest_winter_2021-10-14,2021-10-14,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,12.407692,12.548151,0.140459,0.140459,0.019729
Northwest_winter_2021-10-21,2021-10-21,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,12.407692,10.520137,-1.887555,1.887555,3.562865
Northwest_winter_2021-10-28,2021-10-28,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,12.238461,11.647542,-0.590919,0.590919,0.349186
Northwest_winter_2021-11-01,2021-11-01,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,12.238461,8.354260,-3.884202,3.884202,15.087022
Northwest_winter_2021-11-07,2021-11-07,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,12.015385,9.126088,-2.889297,2.889297,8.348037
Northwest_winter_2021-11-14,2021-11-14,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,10.984615,4.354046,-6.630569,6.630569,43.964445
Northwest_winter_2021-11-21,2021-11-21,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,9.084616,7.154857,-1.929758,1.929758,3.723967
Northwest_winter_2021-11-28,2021-11-28,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,7.038462,5.646859,-1.391603,1.391603,1.936559
Northwest_winter_2021-12-01,2021-12-01,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,7.038462,4.146278,-2.892184,2.892184,8.364727
Northwest_winter_2021-12-07,2021-12-07,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,7.038462,6.809480,-0.228982,0.228982,0.052433
Northwest_winter_2021-12-14,2021-12-14,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,7.038462,6.717264,-0.321198,0.321198,0.103168
Northwest_winter_2021-12-21,2021-12-21,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,2.876923,4.192592,1.315669,1.315669,1.730985
Northwest_winter_2021-12-28,2021-12-28,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,2.876923,2.604397,-0.272526,0.272526,0.074271
Northwest_winter_2022-01-01,2022-01-01,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,2.876923,5.279642,2.402719,2.402719,5.773057
Northwest_winter_2022-01-07,2022-01-07,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,2.876923,5.863419,2.986496,2.986496,8.919159
Northwest_winter_2022-01-14,2022-01-14,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,2.876923,3.967764,1.090840,1.090840,1.189933
Northwest_winter_2022-01-21,2022-01-21,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,4.223077,3.308265,-0.914812,0.914812,0.836881
Northwest_winter_2022-01-28,2022-01-28,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,6.384615,3.574018,-2.810598,2.810598,7.899459
