sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,soft,ConvNeXtTiny-TFT,test,20.094445,20.452908,0.358463,0.424573,0.234702,19.075001,19.614920,19.691668,20.326301,21.516666,21.417502
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,soft,ConvNeXtTiny-TFT,test,21.038889,20.289906,-0.748983,0.748983,0.633659,19.966667,19.455027,21.258333,20.132267,21.891666,21.282425
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,soft,ConvNeXtTiny-TFT,test,22.058333,22.343030,0.284697,0.284697,0.108191,21.516666,21.755966,21.725000,22.230291,22.933332,23.042833
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,soft,ConvNeXtTiny-TFT,test,22.386111,22.538661,0.152550,0.152550,0.042443,21.608334,21.956632,22.383333,22.433699,23.166666,23.225652
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,soft,ConvNeXtTiny-TFT,test,22.511112,22.167657,-0.343455,0.343455,0.169742,21.608334,21.519843,22.708334,22.067350,23.216667,22.915777
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,soft,ConvNeXtTiny-TFT,test,23.155556,22.661349,-0.494206,0.494206,0.256580,22.708334,22.096418,22.908333,22.563080,23.850000,23.324551
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,soft,ConvNeXtTiny-TFT,test,23.191667,22.786418,-0.405249,0.405249,0.171508,22.741667,22.243437,23.116667,22.691290,23.716667,23.424527
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,soft,ConvNeXtTiny-TFT,test,22.830556,22.764085,-0.066471,0.143135,0.023784,22.108334,22.223330,22.758333,22.667093,23.625000,23.401831
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,soft,ConvNeXtTiny-TFT,test,22.844444,22.444279,-0.400165,0.400165,0.173809,22.108334,21.859781,22.758333,22.339594,23.666666,23.133463
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,soft,ConvNeXtTiny-TFT,test,22.877778,22.309063,-0.568715,0.568715,0.327400,22.208334,21.705634,22.758333,22.208350,23.666666,23.013204
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,soft,ConvNeXtTiny-TFT,test,22.277778,22.296555,0.018777,0.141554,0.023807,21.875000,21.690834,22.000000,22.185769,22.958334,23.013062
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,soft,ConvNeXtTiny-TFT,test,21.436111,21.785103,0.348992,0.438865,0.279297,20.283333,21.120610,21.791666,21.656857,22.233334,22.577843
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,soft,ConvNeXtTiny-TFT,test,20.916667,21.797499,0.880832,0.880832,0.804831,19.975000,21.089487,20.866667,21.680689,21.908333,22.622321
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,soft,ConvNeXtTiny-TFT,test,20.650000,21.589550,0.939550,0.939550,0.917097,19.975000,20.879165,20.283333,21.465466,21.691668,22.424020
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,soft,ConvNeXtTiny-TFT,test,19.597223,20.558610,0.961387,0.961387,1.104126,18.225000,19.713811,19.975000,20.425373,20.591667,21.536646
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,soft,ConvNeXtTiny-TFT,test,18.952778,18.109470,-0.843308,0.843308,0.747662,18.083334,16.969863,18.683332,17.975040,20.091667,19.383508
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,soft,ConvNeXtTiny-TFT,test,18.400000,19.520875,1.120874,1.120874,1.495078,18.000000,18.501003,18.225000,19.391428,18.975000,20.670193
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,soft,ConvNeXtTiny-TFT,test,17.433334,16.830454,-0.602880,0.602880,0.415443,16.566668,15.642424,17.166666,16.701820,18.566668,18.147118
Northwest_winter_2021-10-01,2021-10-01,Northwest,winter,soft,ConvNeXtTiny-TFT,test,17.322222,16.777990,-0.544232,0.544232,0.350860,16.416666,15.566302,17.141666,16.642240,18.408333,18.125428
Northwest_winter_2021-10-07,2021-10-07,Northwest,winter,soft,ConvNeXtTiny-TFT,test,16.807906,15.424817,-1.383090,1.383090,1.959986,15.841666,14.157112,16.566668,15.285179,18.015385,16.832159
Northwest_winter_2021-10-14,2021-10-14,Northwest,winter,soft,ConvNeXtTiny-TFT,test,16.095940,15.143384,-0.952556,0.952556,1.015604,14.792308,13.816432,16.353846,15.010516,17.141666,16.603203
Northwest_winter_2021-10-21,2021-10-21,Northwest,winter,soft,ConvNeXtTiny-TFT,test,15.474359,12.947506,-2.526852,2.526852,6.449310,14.192307,11.591377,15.638461,12.844716,16.592308,14.406427
Northwest_winter_2021-10-28,2021-10-28,Northwest,winter,soft,ConvNeXtTiny-TFT,test,13.797436,14.058269,0.260833,0.328914,0.144392,12.423077,12.739949,13.330770,13.898519,15.638461,15.536340
Northwest_winter_2021-11-01,2021-11-01,Northwest,winter,soft,ConvNeXtTiny-TFT,test,13.743590,11.208058,-2.535532,2.535532,6.561433,12.423077,9.687332,13.230769,11.206077,15.576923,12.730764
Northwest_winter_2021-11-07,2021-11-07,Northwest,winter,soft,ConvNeXtTiny-TFT,test,13.200000,11.631484,-1.568516,1.568516,2.621013,12.407692,10.304932,13.046154,11.580159,14.146153,13.009360
Northwest_winter_2021-11-14,2021-11-14,Northwest,winter,soft,ConvNeXtTiny-TFT,test,12.974359,7.800964,-5.173395,5.173395,27.120790,12.238461,6.244578,12.769231,7.832136,13.915384,9.326177
Northwest_winter_2021-11-21,2021-11-21,Northwest,winter,soft,ConvNeXtTiny-TFT,test,11.912820,9.610231,-2.302590,2.302590,5.310134,10.676923,8.339432,12.015385,9.623441,13.046154,10.867820
Northwest_winter_2021-11-28,2021-11-28,Northwest,winter,soft,ConvNeXtTiny-TFT,test,10.571795,8.665096,-1.906699,1.906699,4.058618,8.469231,7.317916,10.484615,8.654891,12.761539,10.022481
Northwest_winter_2021-12-01,2021-12-01,Northwest,winter,soft,ConvNeXtTiny-TFT,test,9.756410,7.830719,-1.925692,1.925692,3.775449,8.469231,6.243433,9.461538,7.868088,11.338462,9.380634
Northwest_winter_2021-12-07,2021-12-07,Northwest,winter,soft,ConvNeXtTiny-TFT,test,9.571795,9.232598,-0.339197,0.339197,0.122881,8.469231,8.020562,9.461538,9.229539,10.784616,10.447693
Northwest_winter_2021-12-14,2021-12-14,Northwest,winter,soft,ConvNeXtTiny-TFT,test,9.320513,9.175952,-0.144561,0.220133,0.083159,8.469231,7.987144,9.007692,9.121051,10.484615,10.419661
Northwest_winter_2021-12-21,2021-12-21,Northwest,winter,soft,ConvNeXtTiny-TFT,test,8.115385,7.506705,-0.608680,0.608680,0.548679,6.230769,6.209002,8.492308,7.495670,9.623077,8.815442
Northwest_winter_2021-12-28,2021-12-28,Northwest,winter,soft,ConvNeXtTiny-TFT,test,6.438462,6.383740,-0.054722,0.557287,0.439699,4.223077,4.910006,6.230769,6.297688,8.861539,7.943527
Northwest_winter_2022-01-01,2022-01-01,Northwest,winter,soft,ConvNeXtTiny-TFT,test,6.294872,8.246678,1.951806,1.951806,4.334602,4.223077,6.957535,6.153846,8.287191,8.507692,9.495307
Northwest_winter_2022-01-07,2022-01-07,Northwest,winter,soft,ConvNeXtTiny-TFT,test,6.166667,8.466183,2.299516,2.299516,5.676278,4.223077,7.293651,6.153846,8.437774,8.123077,9.667123
Northwest_winter_2022-01-14,2022-01-14,Northwest,winter,soft,ConvNeXtTiny-TFT,test,5.966667,7.450089,1.483423,1.483423,2.286930,4.223077,6.116914,6.153846,7.375054,7.523077,8.858301
Northwest_winter_2022-01-21,2022-01-21,Northwest,winter,soft,ConvNeXtTiny-TFT,test,6.766667,7.373914,0.607247,0.607247,0.375071,5.507692,6.026369,6.669231,7.380762,8.123077,8.714611
Northwest_winter_2022-01-28,2022-01-28,Northwest,winter,soft,ConvNeXtTiny-TFT,test,7.571795,7.073105,-0.498690,0.498690,0.339188,6.676923,5.756415,7.400000,7.064297,8.638461,8.398603
Northwest_winter_2022-02-01,2022-02-01,Northwest,winter,soft,ConvNeXtTiny-TFT,test,8.317949,7.706804,-0.611144,0.611144,0.413552,7.238461,6.484705,8.430769,7.679202,9.284616,8.956507
Northwest_winter_2022-02-07,2022-02-07,Northwest,winter,soft,ConvNeXtTiny-TFT,test,8.571795,7.596257,-0.975538,0.975538,0.952969,7.238461,6.244952,8.523077,7.597751,9.953846,8.946067
Northwest_winter_2022-02-14,2022-02-14,Northwest,winter,soft,ConvNeXtTiny-TFT,test,8.571795,7.558780,-1.013015,1.013015,1.028579,7.238461,6.169639,8.523077,7.502826,9.953846,9.003874
Northwest_winter_2022-02-21,2022-02-21,Northwest,winter,soft,ConvNeXtTiny-TFT,test,7.182051,9.245223,2.063172,2.063172,4.986360,5.592308,8.020881,6.369231,9.246890,9.584616,10.467898
Northwest_winter_2022-02-28,2022-02-28,Northwest,winter,soft,ConvNeXtTiny-TFT,test,6.605128,9.800148,3.195020,3.195020,10.473888,4.976923,8.635621,6.323077,9.773451,8.515385,10.991371
