sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,anchor,SeasonalNaive,test,18.725,17.861538,-0.863462,0.863462,0.745567
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,anchor,SeasonalNaive,test,19.116667,19.453846,0.337179,0.337179,0.11369
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,anchor,SeasonalNaive,test,21.25,19.453846,-1.796154,1.796154,3.226169
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,anchor,SeasonalNaive,test,21.25,19.453846,-1.796154,1.796154,3.226169
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,anchor,SeasonalNaive,test,21.25,20.776923,-0.473077,0.473077,0.223802
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,anchor,SeasonalNaive,test,21.25,20.776923,-0.473077,0.473077,0.223802
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,anchor,SeasonalNaive,test,22.108334,21.330769,-0.777565,0.777565,0.604607
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,anchor,SeasonalNaive,test,21.908333,21.530769,-0.377564,0.377564,0.142555
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,anchor,SeasonalNaive,test,21.908333,21.530769,-0.377564,0.377564,0.142555
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,anchor,SeasonalNaive,test,21.908333,21.530769,-0.377564,0.377564,0.142555
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,anchor,SeasonalNaive,test,20.866667,21.530769,0.664102,0.664102,0.441031
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,anchor,SeasonalNaive,test,19.975,21.546154,1.571154,1.571154,2.468525
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,anchor,SeasonalNaive,test,18.1,21.046154,2.946154,2.946154,8.679823
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,anchor,SeasonalNaive,test,18.1,21.046154,2.946154,2.946154,8.679823
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,anchor,SeasonalNaive,test,18.0,18.792308,0.792308,0.792308,0.627752
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,anchor,SeasonalNaive,test,16.416666,18.730769,2.314103,2.314103,5.355073
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,anchor,SeasonalNaive,test,16.416666,18.369231,1.952565,1.952565,3.81251
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,anchor,SeasonalNaive,test,15.841666,18.115385,2.273719,2.273719,5.169798
Northwest_winter_2021-10-01,2021-10-01,Northwest,winter,anchor,SeasonalNaive,test,15.491667,18.115385,2.623718,2.623718,6.883896
Northwest_winter_2021-10-07,2021-10-07,Northwest,winter,anchor,SeasonalNaive,test,15.491667,16.615385,1.123718,1.123718,1.262742
Northwest_winter_2021-10-14,2021-10-14,Northwest,winter,anchor,SeasonalNaive,test,12.407692,15.815385,3.407693,3.407693,11.612372
Northwest_winter_2021-10-21,2021-10-21,Northwest,winter,anchor,SeasonalNaive,test,12.407692,14.2,1.792308,1.792308,3.212368
Northwest_winter_2021-10-28,2021-10-28,Northwest,winter,anchor,SeasonalNaive,test,12.238461,12.869231,0.63077,0.63077,0.397871
Northwest_winter_2021-11-01,2021-11-01,Northwest,winter,anchor,SeasonalNaive,test,12.238461,11.691667,-0.546794,0.546794,0.298984
Northwest_winter_2021-11-07,2021-11-07,Northwest,winter,anchor,SeasonalNaive,test,12.015385,11.475,-0.540385,0.540385,0.292016
Northwest_winter_2021-11-14,2021-11-14,Northwest,winter,anchor,SeasonalNaive,test,10.984615,11.423077,0.438462,0.438462,0.192249
Northwest_winter_2021-11-21,2021-11-21,Northwest,winter,anchor,SeasonalNaive,test,9.084616,10.407692,1.323076,1.323076,1.75053
Northwest_winter_2021-11-28,2021-11-28,Northwest,winter,anchor,SeasonalNaive,test,7.038462,8.969231,1.930769,1.930769,3.727869
Northwest_winter_2021-12-01,2021-12-01,Northwest,winter,anchor,SeasonalNaive,test,7.038462,8.969231,1.930769,1.930769,3.727869
Northwest_winter_2021-12-07,2021-12-07,Northwest,winter,anchor,SeasonalNaive,test,7.038462,8.969231,1.930769,1.930769,3.727869
Northwest_winter_2021-12-14,2021-12-14,Northwest,winter,anchor,SeasonalNaive,test,7.038462,8.969231,1.930769,1.930769,3.727869
Northwest_winter_2021-12-21,2021-12-21,Northwest,winter,anchor,SeasonalNaive,test,2.876923,8.969231,6.092308,6.092308,37.116217
Northwest_winter_2021-12-28,2021-12-28,Northwest,winter,anchor,SeasonalNaive,test,2.876923,5.169231,2.292308,2.292308,5.254676
Northwest_winter_2022-01-01,2022-01-01,Northwest,winter,anchor,SeasonalNaive,test,2.876923,5.169231,2.292308,2.292308,5.254676
Northwest_winter_2022-01-07,2022-01-07,Northwest,winter,anchor,SeasonalNaive,test,2.876923,5.169231,2.292308,2.292308,5.254676
Northwest_winter_2022-01-14,2022-01-14,Northwest,winter,anchor,SeasonalNaive,test,2.876923,5.169231,2.292308,2.292308,5.254676
Northwest_winter_2022-01-21,2022-01-21,Northwest,winter,anchor,SeasonalNaive,test,4.223077,5.169231,0.946154,0.946154,0.895207
Northwest_winter_2022-01-28,2022-01-28,Northwest,winter,anchor,SeasonalNaive,test,6.384615,5.184615,-1.2,1.2,1.44
Northwest_winter_2022-02-01,2022-02-01,Northwest,winter,anchor,SeasonalNaive,test,6.384615,5.184615,-1.2,1.2,1.44
Northwest_winter_2022-02-07,2022-02-07,Northwest,winter,anchor,SeasonalNaive,test,6.384615,5.184615,-1.2,1.2,1.44
Northwest_winter_2022-02-14,2022-02-14,Northwest,winter,anchor,SeasonalNaive,test,4.207692,5.184615,0.976923,0.976923,0.954379
Northwest_winter_2022-02-21,2022-02-21,Northwest,winter,anchor,SeasonalNaive,test,3.392308,5.284615,1.892307,1.892307,3.580826
Northwest_winter_2022-02-28,2022-02-28,Northwest,winter,anchor,SeasonalNaive,test,3.392308,7.446154,4.053846,4.053846,16.433667
Northwest_winter_2022-03-01,2022-03-01,Northwest,winter,anchor,SeasonalNaive,test,3.392308,7.446154,4.053846,4.053846,16.433667
Northwest_winter_2022-03-07,2022-03-07,Northwest,winter,anchor,SeasonalNaive,test,3.392308,7.569231,4.176923,4.176923,17.446686
Northwest_winter_2022-03-14,2022-03-14,Northwest,winter,anchor,SeasonalNaive,test,3.392308,7.569231,4.176923,4.176923,17.446686
Northwest_winter_2022-03-21,2022-03-21,Northwest,winter,anchor,SeasonalNaive,test,4.976923,7.569231,2.592308,2.592308,6.720061
Northwest_winter_2022-03-28,2022-03-28,Northwest,winter,anchor,SeasonalNaive,test,7.930769,7.569231,-0.361538,0.361538,0.13071
Northwest_winter_2022-04-01,2022-04-01,Northwest,winter,anchor,SeasonalNaive,test,9.592308,8.561538,-1.03077,1.03077,1.062487
Northwest_winter_2022-04-07,2022-04-07,Northwest,winter,anchor,SeasonalNaive,test,9.592308,8.561538,-1.03077,1.03077,1.062487
Northwest_winter_2022-04-14,2022-04-14,Northwest,winter,anchor,SeasonalNaive,test,9.592308,8.923077,-0.669231,0.669231,0.44787
Northwest_winter_2022-04-21,2022-04-21,Northwest,winter,anchor,SeasonalNaive,test,9.7,11.7,2.0,2.0,4.0
Northwest_winter_2022-04-28,2022-04-28,Northwest,winter,anchor,SeasonalNaive,test,12.069231,14.525,2.455769,2.455769,6.030801
Northwest_winter_2022-05-01,2022-05-01,Northwest,winter,anchor,SeasonalNaive,test,12.946154,14.85,1.903846,1.903846,3.62463
Northwest_winter_2022-05-07,2022-05-07,Northwest,winter,anchor,SeasonalNaive,test,12.946154,14.958333,2.012179,2.012179,4.048864
Northwest_winter_2022-05-14,2022-05-14,Northwest,winter,anchor,SeasonalNaive,test,14.938461,15.016667,0.078206,0.078206,0.006116
Northwest_winter_2022-05-21,2022-05-21,Northwest,winter,anchor,SeasonalNaive,test,16.207693,16.216667,0.008974,0.008974,8.1e-05
Northwest_winter_2022-05-28,2022-05-28,Northwest,winter,anchor,SeasonalNaive,test,16.207693,16.216667,0.008974,0.008974,8.1e-05
Northwest_winter_2022-06-01,2022-06-01,Northwest,winter,anchor,SeasonalNaive,test,16.207693,16.216667,0.008974,0.008974,8.1e-05
Northwest_winter_2022-06-07,2022-06-07,Northwest,winter,anchor,SeasonalNaive,test,18.446154,17.691667,-0.754487,0.754487,0.569251
Northwest_winter_2022-06-14,2022-06-14,Northwest,winter,anchor,SeasonalNaive,test,19.315384,18.725,-0.590384,0.590384,0.348553
Northwest_winter_2022-06-21,2022-06-21,Northwest,winter,anchor,SeasonalNaive,test,19.330769,19.116667,-0.214102,0.214102,0.04584
Northwest_winter_2022-06-28,2022-06-28,Northwest,winter,anchor,SeasonalNaive,test,19.330769,21.25,1.919231,1.919231,3.683448
Northwest_winter_2022-07-01,2022-07-01,Northwest,winter,anchor,SeasonalNaive,test,19.330769,21.25,1.919231,1.919231,3.683448
Northwest_winter_2022-07-07,2022-07-07,Northwest,winter,anchor,SeasonalNaive,test,19.861538,21.25,1.388462,1.388462,1.927827
Northwest_winter_2022-07-14,2022-07-14,Northwest,winter,anchor,SeasonalNaive,test,20.969231,21.25,0.280769,0.280769,0.078831
Northwest_winter_2022-07-21,2022-07-21,Northwest,winter,anchor,SeasonalNaive,test,21.407692,22.108333,0.700641,0.700641,0.490898
Northwest_winter_2022-07-28,2022-07-28,Northwest,winter,anchor,SeasonalNaive,test,21.415384,21.908333,0.492949,0.492949,0.242999
Northwest_winter_2022-08-01,2022-08-01,Northwest,winter,anchor,SeasonalNaive,test,21.415384,21.908333,0.492949,0.492949,0.242999
Northwest_winter_2022-08-07,2022-08-07,Northwest,winter,anchor,SeasonalNaive,test,21.415384,21.908333,0.492949,0.492949,0.242999
Northwest_winter_2022-08-14,2022-08-14,Northwest,winter,anchor,SeasonalNaive,test,20.323076,20.866667,0.543591,0.543591,0.295491
Northwest_winter_2022-08-21,2022-08-21,Northwest,winter,anchor,SeasonalNaive,test,19.538462,19.975,0.436538,0.436538,0.190565
Northwest_winter_2022-08-28,2022-08-28,Northwest,winter,anchor,SeasonalNaive,test,19.461538,18.1,-1.361538,1.361538,1.853786
Northwest_winter_2022-09-01,2022-09-01,Northwest,winter,anchor,SeasonalNaive,test,19.1,18.1,-1.0,1.0,1.0
Northwest_winter_2022-09-07,2022-09-07,Northwest,winter,anchor,SeasonalNaive,test,19.1,18.0,-1.1,1.1,1.21
Northwest_winter_2022-09-14,2022-09-14,Northwest,winter,anchor,SeasonalNaive,test,17.692308,16.416667,-1.275641,1.275641,1.62726
Northwest_winter_2022-09-21,2022-09-21,Northwest,winter,anchor,SeasonalNaive,test,17.330769,16.416667,-0.914102,0.914102,0.835582
Northwest_winter_2022-09-28,2022-09-28,Northwest,winter,anchor,SeasonalNaive,test,16.992308,15.841667,-1.150641,1.150641,1.323975
Northwest_winter_2022-10-01,2022-10-01,Northwest,winter,anchor,SeasonalNaive,test,16.992308,15.491667,-1.500641,1.500641,2.251923
Northwest_winter_2022-10-07,2022-10-07,Northwest,winter,anchor,SeasonalNaive,test,14.207692,15.491667,1.283975,1.283975,1.648592
Northwest_winter_2022-10-14,2022-10-14,Northwest,winter,anchor,SeasonalNaive,test,13.584616,12.407692,-1.176924,1.176924,1.38515
Northwest_winter_2022-10-21,2022-10-21,Northwest,winter,anchor,SeasonalNaive,test,13.515385,12.407692,-1.107693,1.107693,1.226984
Northwest_winter_2022-10-28,2022-10-28,Northwest,winter,anchor,SeasonalNaive,test,13.515385,12.238462,-1.276923,1.276923,1.630532
Northwest_winter_2022-11-01,2022-11-01,Northwest,winter,anchor,SeasonalNaive,test,12.423077,12.238462,-0.184615,0.184615,0.034083
Northwest_winter_2022-11-07,2022-11-07,Northwest,winter,anchor,SeasonalNaive,test,11.938461,12.015385,0.076924,0.076924,0.005917
Northwest_winter_2022-11-14,2022-11-14,Northwest,winter,anchor,SeasonalNaive,test,10.315385,10.984615,0.66923,0.66923,0.447869
Northwest_winter_2022-11-21,2022-11-21,Northwest,winter,anchor,SeasonalNaive,test,10.315385,9.084615,-1.23077,1.23077,1.514795
Northwest_winter_2022-11-28,2022-11-28,Northwest,winter,anchor,SeasonalNaive,test,9.884615,7.038462,-2.846153,2.846153,8.100587
Northwest_winter_2022-12-01,2022-12-01,Northwest,winter,anchor,SeasonalNaive,test,8.453846,7.038462,-1.415384,1.415384,2.003312
Northwest_winter_2022-12-07,2022-12-07,Northwest,winter,anchor,SeasonalNaive,test,8.453846,7.038462,-1.415384,1.415384,2.003312
Northwest_winter_2022-12-14,2022-12-14,Northwest,winter,anchor,SeasonalNaive,test,8.453846,7.038462,-1.415384,1.415384,2.003312
Northwest_winter_2022-12-21,2022-12-21,Northwest,winter,anchor,SeasonalNaive,test,8.453846,2.876923,-5.576923,5.576923,31.10207
Northwest_winter_2022-12-28,2022-12-28,Northwest,winter,anchor,SeasonalNaive,test,7.876923,2.876923,-5.0,5.0,25.0
Northwest_winter_2023-01-01,2023-01-01,Northwest,winter,anchor,SeasonalNaive,test,7.876923,2.876923,-5.0,5.0,25.0
Northwest_winter_2023-01-07,2023-01-07,Northwest,winter,anchor,SeasonalNaive,test,7.876923,2.876923,-5.0,5.0,25.0
Northwest_winter_2023-01-14,2023-01-14,Northwest,winter,anchor,SeasonalNaive,test,6.438461,2.876923,-3.561538,3.561538,12.684553
