sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,soft,SeasonalNaive,test,19.075001,18.646154,-0.428847,0.428847,0.18391,19.075001,18.646154,19.691668,19.484615,21.516666,20.953846
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,soft,SeasonalNaive,test,19.966667,19.715385,-0.251282,0.251282,0.063143,19.966667,19.715385,21.258333,20.261538,21.891666,21.553846
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,soft,SeasonalNaive,test,21.516666,20.623077,-0.893589,0.893589,0.798501,21.516666,20.623077,21.725,21.1,22.933332,22.207692
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,soft,SeasonalNaive,test,21.608334,20.623077,-0.985257,0.985257,0.970731,21.608334,20.623077,22.383333,21.330769,23.166666,22.246154
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,soft,SeasonalNaive,test,21.608334,21.330769,-0.277565,0.277565,0.077042,21.608334,21.330769,22.708334,21.692308,23.216667,22.576923
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,soft,SeasonalNaive,test,22.708334,21.6,-1.108334,1.108334,1.228404,22.708334,21.6,22.908333,22.084615,23.85,22.961538
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,soft,SeasonalNaive,test,22.741667,21.692308,-1.049359,1.049359,1.101154,22.741667,21.692308,23.116667,22.492308,23.716667,23.415385
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,soft,SeasonalNaive,test,22.108334,21.692308,-0.416026,0.416026,0.173078,22.108334,21.692308,22.758333,22.492308,23.625,23.323077
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,soft,SeasonalNaive,test,22.108334,21.692308,-0.416026,0.416026,0.173078,22.108334,21.692308,22.758333,22.092308,23.666666,23.246154
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,soft,SeasonalNaive,test,22.208334,21.753846,-0.454488,0.454488,0.206559,22.208334,21.753846,22.758333,22.092308,23.666666,23.415385
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,soft,SeasonalNaive,test,21.875,21.753846,-0.121154,0.121154,0.014678,21.875,21.753846,22.0,22.092308,22.958334,23.661538
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,soft,SeasonalNaive,test,20.283333,21.938462,1.655129,1.655129,2.739452,20.283333,21.938462,21.791666,22.769231,22.233334,23.638462
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,soft,SeasonalNaive,test,19.975,21.930769,1.955769,1.955769,3.825032,19.975,21.930769,20.866667,22.361538,21.908333,23.638462
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,soft,SeasonalNaive,test,19.975,21.930769,1.955769,1.955769,3.825032,19.975,21.930769,20.283333,22.384615,21.691668,23.315385
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,soft,SeasonalNaive,test,18.225,20.284615,2.059615,2.059615,4.242014,18.225,20.284615,19.975,21.084615,20.591667,22.769231
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,soft,SeasonalNaive,test,18.083334,19.269231,1.185897,1.185897,1.406352,18.083334,19.269231,18.683332,20.284615,20.091667,22.038462
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,soft,SeasonalNaive,test,18.0,18.730769,0.730769,0.730769,0.534023,18.0,18.730769,18.225,19.269231,18.975,20.292308
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,soft,SeasonalNaive,test,16.566668,18.546154,1.979486,1.979486,3.918365,16.566668,18.546154,17.166666,18.792308,18.566668,19.615385
Northwest_winter_2021-10-01,2021-10-01,Northwest,winter,soft,SeasonalNaive,test,16.416666,18.546154,2.129488,2.129488,4.534719,16.416666,18.546154,17.141666,18.792308,18.408333,19.6
Northwest_winter_2021-10-07,2021-10-07,Northwest,winter,soft,SeasonalNaive,test,15.841666,17.707692,1.866026,1.866026,3.482053,15.841666,17.707692,16.566668,18.676923,18.015385,19.269231
Northwest_winter_2021-10-14,2021-10-14,Northwest,winter,soft,SeasonalNaive,test,14.792308,16.284615,1.492307,1.492307,2.22698,14.792308,16.284615,16.353846,17.523077,17.141666,19.030769
Northwest_winter_2021-10-21,2021-10-21,Northwest,winter,soft,SeasonalNaive,test,14.192307,14.530769,0.338462,0.338462,0.114557,14.192307,14.530769,15.638461,15.830769,16.592308,17.707692
Northwest_winter_2021-10-28,2021-10-28,Northwest,winter,soft,SeasonalNaive,test,12.423077,13.030769,0.607692,0.607692,0.36929,12.423077,13.030769,13.33077,14.346154,15.638461,15.930769
Northwest_winter_2021-11-01,2021-11-01,Northwest,winter,soft,SeasonalNaive,test,12.423077,12.583333,0.160256,0.160256,0.025682,12.423077,12.583333,13.230769,13.125,15.576923,14.8
Northwest_winter_2021-11-07,2021-11-07,Northwest,winter,soft,SeasonalNaive,test,12.407692,11.869231,-0.538461,0.538461,0.28994,12.407692,11.869231,13.046154,12.583333,14.146153,14.2
Northwest_winter_2021-11-14,2021-11-14,Northwest,winter,soft,SeasonalNaive,test,12.238461,11.691667,-0.546794,0.546794,0.298984,12.238461,11.691667,12.769231,11.930769,13.915384,13.125
