sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,anchor,Tab-LSTM,test,18.725000,17.426457,-1.298544,1.298544,1.686215
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,anchor,Tab-LSTM,test,19.116667,16.125838,-2.990829,2.990829,8.945056
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,anchor,Tab-LSTM,test,21.250000,18.320976,-2.929024,2.929024,8.579182
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,anchor,Tab-LSTM,test,21.250000,19.257051,-1.992949,1.992949,3.971844
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,anchor,Tab-LSTM,test,21.250000,19.340649,-1.909351,1.909351,3.645623
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,anchor,Tab-LSTM,test,21.250000,20.039379,-1.210621,1.210621,1.465604
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,anchor,Tab-LSTM,test,22.108334,20.413224,-1.695109,1.695109,2.873395
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,anchor,Tab-LSTM,test,21.908333,19.978226,-1.930107,1.930107,3.725313
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,anchor,Tab-LSTM,test,21.908333,20.582350,-1.325983,1.325983,1.758230
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,anchor,Tab-LSTM,test,21.908333,19.192462,-2.715871,2.715871,7.375953
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,anchor,Tab-LSTM,test,20.866667,20.524624,-0.342043,0.342043,0.116993
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,anchor,Tab-LSTM,test,19.975000,19.482512,-0.492488,0.492488,0.242545
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,anchor,Tab-LSTM,test,18.100000,18.567366,0.467366,0.467366,0.218431
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,anchor,Tab-LSTM,test,18.100000,18.551796,0.451795,0.451795,0.204119
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,anchor,Tab-LSTM,test,18.000000,16.971232,-1.028768,1.028768,1.058363
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,anchor,Tab-LSTM,test,16.416666,16.245944,-0.170722,0.170722,0.029146
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,anchor,Tab-LSTM,test,16.416666,14.540784,-1.875882,1.875882,3.518934
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,anchor,Tab-LSTM,test,15.841666,12.765608,-3.076058,3.076058,9.462135
Northwest_winter_2021-10-01,2021-10-01,Northwest,winter,anchor,Tab-LSTM,test,15.491667,12.554787,-2.936879,2.936879,8.625260
Northwest_winter_2021-10-07,2021-10-07,Northwest,winter,anchor,Tab-LSTM,test,15.491667,11.401035,-4.090632,4.090632,16.733268
Northwest_winter_2021-10-14,2021-10-14,Northwest,winter,anchor,Tab-LSTM,test,12.407692,11.322841,-1.084851,1.084851,1.176902
Northwest_winter_2021-10-21,2021-10-21,Northwest,winter,anchor,Tab-LSTM,test,12.407692,12.107027,-0.300665,0.300665,0.090399
Northwest_winter_2021-10-28,2021-10-28,Northwest,winter,anchor,Tab-LSTM,test,12.238461,9.283633,-2.954829,2.954829,8.731013
Northwest_winter_2021-11-01,2021-11-01,Northwest,winter,anchor,Tab-LSTM,test,12.238461,8.285303,-3.953158,3.953158,15.627459
Northwest_winter_2021-11-07,2021-11-07,Northwest,winter,anchor,Tab-LSTM,test,12.015385,8.051753,-3.963631,3.963631,15.710374
Northwest_winter_2021-11-14,2021-11-14,Northwest,winter,anchor,Tab-LSTM,test,10.984615,9.489130,-1.495486,1.495486,2.236477
Northwest_winter_2021-11-21,2021-11-21,Northwest,winter,anchor,Tab-LSTM,test,9.084616,8.735743,-0.348872,0.348872,0.121712
Northwest_winter_2021-11-28,2021-11-28,Northwest,winter,anchor,Tab-LSTM,test,7.038462,7.263525,0.225063,0.225063,0.050653
Northwest_winter_2021-12-01,2021-12-01,Northwest,winter,anchor,Tab-LSTM,test,7.038462,6.890566,-0.147896,0.147896,0.021873
Northwest_winter_2021-12-07,2021-12-07,Northwest,winter,anchor,Tab-LSTM,test,7.038462,6.276247,-0.762215,0.762215,0.580971
Northwest_winter_2021-12-14,2021-12-14,Northwest,winter,anchor,Tab-LSTM,test,7.038462,5.996253,-1.042208,1.042208,1.086198
Northwest_winter_2021-12-21,2021-12-21,Northwest,winter,anchor,Tab-LSTM,test,2.876923,4.533497,1.656574,1.656574,2.744236
Northwest_winter_2021-12-28,2021-12-28,Northwest,winter,anchor,Tab-LSTM,test,2.876923,4.854276,1.977353,1.977353,3.909924
Northwest_winter_2022-01-01,2022-01-01,Northwest,winter,anchor,Tab-LSTM,test,2.876923,4.688904,1.811981,1.811981,3.283275
Northwest_winter_2022-01-07,2022-01-07,Northwest,winter,anchor,Tab-LSTM,test,2.876923,4.965794,2.088871,2.088871,4.363380
Northwest_winter_2022-01-14,2022-01-14,Northwest,winter,anchor,Tab-LSTM,test,2.876923,4.725221,1.848298,1.848298,3.416206
Northwest_winter_2022-01-21,2022-01-21,Northwest,winter,anchor,Tab-LSTM,test,4.223077,3.972054,-0.251022,0.251022,0.063012
Northwest_winter_2022-01-28,2022-01-28,Northwest,winter,anchor,Tab-LSTM,test,6.384615,3.967807,-2.416808,2.416808,5.840961
Northwest_winter_2022-02-01,2022-02-01,Northwest,winter,anchor,Tab-LSTM,test,6.384615,4.157431,-2.227184,2.227184,4.960349
Northwest_winter_2022-02-07,2022-02-07,Northwest,winter,anchor,Tab-LSTM,test,6.384615,4.390484,-1.994131,1.994131,3.976560
