sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,soft,Tab-LSTM,test,20.094445,19.940091,-0.154353,0.245441,0.098401,19.075001,18.995064,19.691668,19.828299,21.516666,20.996912
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,soft,Tab-LSTM,test,21.038889,18.943360,-2.095529,2.095529,4.448576,19.966667,17.911218,21.258333,18.851570,21.891666,20.067290
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,soft,Tab-LSTM,test,22.058333,20.893376,-1.164957,1.164957,1.402295,21.516666,20.067972,21.725000,20.787788,22.933332,21.824368
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,soft,Tab-LSTM,test,22.386111,21.590740,-0.795371,0.795371,0.638682,21.608334,20.850537,22.383333,21.479498,23.166666,22.442185
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,soft,Tab-LSTM,test,22.511112,21.570499,-0.940613,0.940613,0.936985,21.608334,20.850135,22.708334,21.445444,23.216667,22.415918
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,soft,Tab-LSTM,test,23.155556,22.112272,-1.043283,1.043283,1.109575,22.708334,21.462152,22.908333,21.995237,23.850000,22.879428
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,soft,Tab-LSTM,test,23.191667,22.360438,-0.831229,0.831229,0.718604,22.741667,21.718893,23.116667,22.262984,23.716667,23.099438
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,soft,Tab-LSTM,test,22.830556,22.097857,-0.732698,0.732698,0.541047,22.108334,21.459437,22.758333,21.951604,23.625000,22.882530
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,soft,Tab-LSTM,test,22.844444,22.503773,-0.340671,0.340671,0.125369,22.108334,21.893955,22.758333,22.399298,23.666666,23.218066
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,soft,Tab-LSTM,test,22.877778,21.434452,-1.443325,1.443325,2.085830,22.208334,20.697342,22.758333,21.325848,23.666666,22.280168
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,soft,Tab-LSTM,test,22.277778,22.458538,0.180760,0.199749,0.057795,21.875000,21.846516,22.000000,22.354982,22.958334,23.174117
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,soft,Tab-LSTM,test,21.436111,21.741388,0.305277,0.415555,0.239886,20.283333,21.056063,21.791666,21.626249,22.233334,22.541852
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,soft,Tab-LSTM,test,20.916667,21.175901,0.259234,0.259234,0.084124,19.975000,20.416086,20.866667,21.059061,21.908333,22.052554
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,soft,Tab-LSTM,test,20.650000,21.136588,0.486588,0.486588,0.268539,19.975000,20.362494,20.283333,21.020198,21.691668,22.027073
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,soft,Tab-LSTM,test,19.597223,19.909208,0.311985,0.416181,0.242699,18.225000,19.002605,19.975000,19.818707,20.591667,20.906311
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,soft,Tab-LSTM,test,18.952778,19.264397,0.311619,0.311619,0.116432,18.083334,18.258635,18.683332,19.185793,20.091667,20.348764
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,soft,Tab-LSTM,test,18.400000,17.896867,-0.503133,0.625308,0.628147,18.000000,16.696338,18.225000,17.836001,18.975000,19.158263
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,soft,Tab-LSTM,test,17.433334,16.188314,-1.245019,1.245019,1.682927,16.566668,14.810538,17.166666,16.119272,18.566668,17.635133
Northwest_winter_2021-10-01,2021-10-01,Northwest,winter,soft,Tab-LSTM,test,17.322222,15.897882,-1.424339,1.424339,2.189410,16.416666,14.448648,17.141666,15.850202,18.408333,17.394798
Northwest_winter_2021-10-07,2021-10-07,Northwest,winter,soft,Tab-LSTM,test,16.807906,14.662243,-2.145663,2.145663,4.770649,15.841666,13.137897,16.566668,14.571386,18.015385,16.277446
Northwest_winter_2021-10-14,2021-10-14,Northwest,winter,soft,Tab-LSTM,test,16.095940,14.764665,-1.331275,1.331275,1.971492,14.792308,13.158134,16.353846,14.694448,17.141666,16.441413
Northwest_winter_2021-10-21,2021-10-21,Northwest,winter,soft,Tab-LSTM,test,15.474359,14.855154,-0.619205,0.619205,0.474467,14.192307,13.532695,15.638461,14.671555,16.592308,16.361212
Northwest_winter_2021-10-28,2021-10-28,Northwest,winter,soft,Tab-LSTM,test,13.797436,12.572149,-1.225287,1.225287,1.535195,12.423077,11.172170,13.330770,12.342590,15.638461,14.201687
Northwest_winter_2021-11-01,2021-11-01,Northwest,winter,soft,Tab-LSTM,test,13.743590,12.038349,-1.705241,1.705241,3.059769,12.423077,10.203404,13.230769,11.954222,15.576923,13.957420
Northwest_winter_2021-11-07,2021-11-07,Northwest,winter,soft,Tab-LSTM,test,13.200000,11.843124,-1.356875,1.356875,2.394017,12.407692,10.131882,13.046154,11.705995,14.146153,13.691497
Northwest_winter_2021-11-14,2021-11-14,Northwest,winter,soft,Tab-LSTM,test,12.974359,11.887260,-1.087099,1.087099,1.419443,12.238461,10.567939,12.769231,11.655722,13.915384,13.438120
Northwest_winter_2021-11-21,2021-11-21,Northwest,winter,soft,Tab-LSTM,test,11.912820,11.451981,-0.460840,0.460840,0.273383,10.676923,10.075914,12.015385,11.347539,13.046154,12.932489
Northwest_winter_2021-11-28,2021-11-28,Northwest,winter,soft,Tab-LSTM,test,10.571795,9.911116,-0.660679,0.740326,0.838388,8.469231,8.588701,10.484615,9.816433,12.761539,11.328213
Northwest_winter_2021-12-01,2021-12-01,Northwest,winter,soft,Tab-LSTM,test,9.756410,9.351225,-0.405185,0.405185,0.230366,8.469231,7.735678,9.461538,9.356249,11.338462,10.961747
Northwest_winter_2021-12-07,2021-12-07,Northwest,winter,soft,Tab-LSTM,test,9.571795,8.806629,-0.765165,0.765165,0.603855,8.469231,7.529434,9.461538,8.715177,10.784616,10.175277
Northwest_winter_2021-12-14,2021-12-14,Northwest,winter,soft,Tab-LSTM,test,9.320513,8.703993,-0.616520,0.616520,0.537723,8.469231,7.302937,9.007692,8.567311,10.484615,10.241731
Northwest_winter_2021-12-21,2021-12-21,Northwest,winter,soft,Tab-LSTM,test,8.115385,7.483741,-0.631644,0.640282,0.611902,6.230769,6.243725,8.492308,7.450277,9.623077,8.757220
Northwest_winter_2021-12-28,2021-12-28,Northwest,winter,soft,Tab-LSTM,test,6.438462,7.713694,1.275232,1.275232,2.429768,4.223077,6.554216,6.230769,7.585601,8.861539,9.001265
Northwest_winter_2022-01-01,2022-01-01,Northwest,winter,soft,Tab-LSTM,test,6.294872,7.691302,1.396430,1.396430,2.400424,4.223077,6.425892,6.153846,7.580578,8.507692,9.067434
Northwest_winter_2022-01-07,2022-01-07,Northwest,winter,soft,Tab-LSTM,test,6.166667,7.825132,1.658465,1.658465,3.058668,4.223077,6.597037,6.153846,7.734371,8.123077,9.143988
Northwest_winter_2022-01-14,2022-01-14,Northwest,winter,soft,Tab-LSTM,test,5.966667,7.631187,1.664520,1.664520,2.916848,4.223077,6.415102,6.153846,7.451485,7.523077,9.026974
Northwest_winter_2022-01-21,2022-01-21,Northwest,winter,soft,Tab-LSTM,test,6.766667,7.161113,0.394446,0.394446,0.157368,5.507692,5.958807,6.669231,7.019133,8.123077,8.505397
Northwest_winter_2022-01-28,2022-01-28,Northwest,winter,soft,Tab-LSTM,test,7.571795,7.150711,-0.421083,0.421083,0.229994,6.676923,5.951861,7.400000,7.032310,8.638461,8.467963
Northwest_winter_2022-02-01,2022-02-01,Northwest,winter,soft,Tab-LSTM,test,8.317949,7.256643,-1.061306,1.061306,1.189513,7.238461,6.100433,8.430769,7.107327,9.284616,8.562168
Northwest_winter_2022-02-07,2022-02-07,Northwest,winter,soft,Tab-LSTM,test,8.571795,7.452544,-1.119251,1.119251,1.261766,7.238461,6.250792,8.523077,7.362095,9.953846,8.744745
Northwest_winter_2022-02-14,2022-02-14,Northwest,winter,soft,Tab-LSTM,test,8.571795,8.134629,-0.437166,0.437166,0.211370,7.238461,7.001196,8.523077,7.965625,9.953846,9.437067
Northwest_winter_2022-02-21,2022-02-21,Northwest,winter,soft,Tab-LSTM,test,7.182051,8.137750,0.955698,1.041336,1.520433,5.592308,6.919592,6.369231,8.037498,9.584616,9.456159
Northwest_winter_2022-02-28,2022-02-28,Northwest,winter,soft,Tab-LSTM,test,6.605128,8.712785,2.107657,2.107657,4.652223,4.976923,7.506335,6.323077,8.645999,8.515385,9.986022
Northwest_winter_2022-03-01,2022-03-01,Northwest,winter,soft,Tab-LSTM,test,6.605128,8.873727,2.268599,2.268599,5.350712,4.976923,7.679417,6.323077,8.781002,8.515385,10.160763
Northwest_winter_2022-03-07,2022-03-07,Northwest,winter,soft,Tab-LSTM,test,6.638462,9.317475,2.679013,2.679013,7.359496,4.976923,8.081850,6.323077,9.159975,8.615385,10.710600
Northwest_winter_2022-03-14,2022-03-14,Northwest,winter,soft,Tab-LSTM,test,7.025641,8.533920,1.508279,1.508279,3.330084,4.976923,7.320210,6.323077,8.443337,9.776923,9.838214
Northwest_winter_2022-03-21,2022-03-21,Northwest,winter,soft,Tab-LSTM,test,8.538462,8.378515,-0.159947,1.048746,1.472044,6.192307,7.205542,7.930769,8.250733,11.492308,9.679269
Northwest_winter_2022-03-28,2022-03-28,Northwest,winter,soft,Tab-LSTM,test,11.053846,8.569958,-2.483889,2.483889,6.225943,9.607693,7.443092,10.976923,8.422271,12.576923,9.844509
Northwest_winter_2022-04-01,2022-04-01,Northwest,winter,soft,Tab-LSTM,test,12.010256,10.315786,-1.694470,1.694470,2.884833,10.723077,9.108086,11.792308,10.183271,13.515385,11.656003
Northwest_winter_2022-04-07,2022-04-07,Northwest,winter,soft,Tab-LSTM,test,12.520513,11.941924,-0.578589,0.578589,0.668036,10.723077,10.639678,12.069231,11.805183,14.769231,13.380912
Northwest_winter_2022-04-14,2022-04-14,Northwest,winter,soft,Tab-LSTM,test,12.458974,12.443062,-0.015912,0.282597,0.091054,10.723077,11.123105,12.484615,12.341023,14.169230,13.865058
Northwest_winter_2022-04-21,2022-04-21,Northwest,winter,soft,Tab-LSTM,test,13.600000,13.148706,-0.451294,0.451294,0.267610,12.069231,11.863507,13.253846,12.904902,15.476923,14.677708
Northwest_winter_2022-04-28,2022-04-28,Northwest,winter,soft,Tab-LSTM,test,14.228205,15.435339,1.207134,1.207134,1.583433,12.946154,14.341342,13.700000,15.216675,16.038462,16.748001
Northwest_winter_2022-05-01,2022-05-01,Northwest,winter,soft,Tab-LSTM,test,14.812820,16.001263,1.188442,1.188442,1.586178,13.046154,14.823950,14.938461,15.845298,16.453846,17.334540
Northwest_winter_2022-05-07,2022-05-07,Northwest,winter,soft,Tab-LSTM,test,14.892308,15.795563,0.903255,0.903255,0.986448,13.046154,14.504801,14.938461,15.720618,16.692308,17.161270
Northwest_winter_2022-05-14,2022-05-14,Northwest,winter,soft,Tab-LSTM,test,16.600000,15.421023,-1.178977,1.178977,1.411440,15.476923,14.120519,16.284615,15.286932,18.038462,16.855618
Northwest_winter_2022-05-21,2022-05-21,Northwest,winter,soft,Tab-LSTM,test,17.697436,17.131494,-0.565942,0.565942,0.342457,16.692308,15.916479,17.500000,17.053522,18.900000,18.424479
Northwest_winter_2022-05-28,2022-05-28,Northwest,winter,soft,Tab-LSTM,test,18.597436,18.560935,-0.036501,0.248514,0.090640,17.500000,17.485481,18.869230,18.456227,19.423077,19.741096
Northwest_winter_2022-06-01,2022-06-01,Northwest,winter,soft,Tab-LSTM,test,18.856410,19.899168,1.042758,1.042758,1.186286,17.500000,18.987371,18.946154,19.754264,20.123077,20.955869
Northwest_winter_2022-06-07,2022-06-07,Northwest,winter,soft,Tab-LSTM,test,19.674359,19.513941,-0.160418,0.221756,0.097337,19.038462,18.507669,19.423077,19.380608,20.561539,20.653547
Northwest_winter_2022-06-14,2022-06-14,Northwest,winter,soft,Tab-LSTM,test,20.305129,20.224993,-0.080136,0.122506,0.018294,19.515385,19.315210,20.184616,20.080828,21.215385,21.278940
Northwest_winter_2022-06-21,2022-06-21,Northwest,winter,soft,Tab-LSTM,test,20.684615,20.893055,0.208440,0.208440,0.047626,19.892307,20.097994,20.646154,20.776834,21.515385,21.804338
Northwest_winter_2022-06-28,2022-06-28,Northwest,winter,soft,Tab-LSTM,test,20.987179,21.462855,0.475676,0.475676,0.298809,19.892307,20.732949,20.969231,21.356823,22.100000,22.298794
Northwest_winter_2022-07-01,2022-07-01,Northwest,winter,soft,Tab-LSTM,test,21.525641,21.282495,-0.243146,0.243146,0.065499,20.653847,20.523116,21.476923,21.187054,22.446154,22.137315
Northwest_winter_2022-07-07,2022-07-07,Northwest,winter,soft,Tab-LSTM,test,21.797436,22.185193,0.387757,0.387757,0.181443,20.969231,21.530923,21.938461,22.084523,22.484615,22.940132
Northwest_winter_2022-07-14,2022-07-14,Northwest,winter,soft,Tab-LSTM,test,22.143590,21.975659,-0.167931,0.198970,0.054315,21.515385,21.308523,22.215385,21.871895,22.700001,22.746559
Northwest_winter_2022-07-21,2022-07-21,Northwest,winter,soft,Tab-LSTM,test,22.284615,22.404449,0.119834,0.183769,0.049573,21.869230,21.773328,22.215385,22.309251,22.769230,23.130769
Northwest_winter_2022-07-28,2022-07-28,Northwest,winter,soft,Tab-LSTM,test,22.266666,22.482725,0.216058,0.229515,0.078779,21.869230,21.849045,22.161539,22.416418,22.769230,23.182712
Northwest_winter_2022-08-01,2022-08-01,Northwest,winter,soft,Tab-LSTM,test,22.394872,22.454258,0.059386,0.081333,0.013832,21.869230,21.836310,22.161539,22.362299,23.153847,23.164164
Northwest_winter_2022-08-07,2022-08-07,Northwest,winter,soft,Tab-LSTM,test,22.551282,22.521817,-0.029464,0.146135,0.029688,21.869230,21.909988,22.284615,22.418863,23.500000,23.236601
Northwest_winter_2022-08-14,2022-08-14,Northwest,winter,soft,Tab-LSTM,test,22.053846,21.871311,-0.182535,0.182535,0.034602,21.415384,21.198563,21.884615,21.751511,22.861538,22.663857
