sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,anchor,Tab-TFT,test,18.725,18.756436,0.031436,0.031436,0.000988
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,anchor,Tab-TFT,test,19.116667,18.33461,-0.782057,0.782057,0.611613
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,anchor,Tab-TFT,test,21.25,20.007674,-1.242326,1.242326,1.543374
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,anchor,Tab-TFT,test,21.25,20.555505,-0.694495,0.694495,0.482323
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,anchor,Tab-TFT,test,21.25,20.677617,-0.572383,0.572383,0.327622
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,anchor,Tab-TFT,test,21.25,21.416737,0.166737,0.166737,0.027801
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,anchor,Tab-TFT,test,22.108334,21.616144,-0.49219,0.49219,0.242251
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,anchor,Tab-TFT,test,21.908333,21.506691,-0.401642,0.401642,0.161316
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,anchor,Tab-TFT,test,21.908333,21.516376,-0.391957,0.391957,0.15363
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,anchor,Tab-TFT,test,21.908333,21.006717,-0.901616,0.901616,0.812911
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,anchor,Tab-TFT,test,20.866667,20.671489,-0.195178,0.195178,0.038094
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,anchor,Tab-TFT,test,19.975,19.924956,-0.050044,0.050044,0.002504
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,anchor,Tab-TFT,test,18.1,18.645204,0.545204,0.545204,0.297247
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,anchor,Tab-TFT,test,18.1,18.454598,0.354598,0.354598,0.12574
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,anchor,Tab-TFT,test,18.0,17.942958,-0.057042,0.057042,0.003254
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,anchor,Tab-TFT,test,16.416666,17.089178,0.672512,0.672512,0.452272
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,anchor,Tab-TFT,test,16.416666,16.367329,-0.049337,0.049337,0.002434
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,anchor,Tab-TFT,test,15.841666,14.824374,-1.017292,1.017292,1.034883
Northwest_winter_2021-10-01,2021-10-01,Northwest,winter,anchor,Tab-TFT,test,15.491667,14.767185,-0.724482,0.724482,0.524874
Northwest_winter_2021-10-07,2021-10-07,Northwest,winter,anchor,Tab-TFT,test,15.491667,13.88752,-1.604147,1.604147,2.573288
Northwest_winter_2021-10-14,2021-10-14,Northwest,winter,anchor,Tab-TFT,test,12.407692,12.623356,0.215664,0.215664,0.046511
Northwest_winter_2021-10-21,2021-10-21,Northwest,winter,anchor,Tab-TFT,test,12.407692,10.72597,-1.681722,1.681722,2.828189
Northwest_winter_2021-10-28,2021-10-28,Northwest,winter,anchor,Tab-TFT,test,12.238461,9.937785,-2.300676,2.300676,5.29311
Northwest_winter_2021-11-01,2021-11-01,Northwest,winter,anchor,Tab-TFT,test,12.238461,9.086622,-3.151839,3.151839,9.934089
Northwest_winter_2021-11-07,2021-11-07,Northwest,winter,anchor,Tab-TFT,test,12.015385,7.274957,-4.740428,4.740428,22.471658
Northwest_winter_2021-11-14,2021-11-14,Northwest,winter,anchor,Tab-TFT,test,10.984615,6.669523,-4.315092,4.315092,18.620019
Northwest_winter_2021-11-21,2021-11-21,Northwest,winter,anchor,Tab-TFT,test,9.084616,6.533528,-2.551088,2.551088,6.50805
Northwest_winter_2021-11-28,2021-11-28,Northwest,winter,anchor,Tab-TFT,test,7.038462,5.232815,-1.805647,1.805647,3.260361
Northwest_winter_2021-12-01,2021-12-01,Northwest,winter,anchor,Tab-TFT,test,7.038462,4.822151,-2.216311,2.216311,4.912034
Northwest_winter_2021-12-07,2021-12-07,Northwest,winter,anchor,Tab-TFT,test,7.038462,5.934297,-1.104165,1.104165,1.21918
