sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,soft,Tab-TFT,test,19.075001,19.990983,0.915982,0.915982,0.839023,19.075001,19.990983,19.691668,20.635449,21.516666,21.640019
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,soft,Tab-TFT,test,19.966667,19.520938,-0.445729,0.445729,0.198674,19.966667,19.520938,21.258333,20.292225,21.891666,21.3813
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,soft,Tab-TFT,test,21.516666,21.194262,-0.322404,0.322404,0.103944,21.516666,21.194262,21.725,21.821761,22.933332,22.673833
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,soft,Tab-TFT,test,21.608334,21.701259,0.092925,0.092925,0.008635,21.608334,21.701259,22.383333,22.221928,23.166666,22.99639
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,soft,Tab-TFT,test,21.608334,21.724995,0.116661,0.116661,0.01361,21.608334,21.724995,22.708334,22.27997,23.216667,23.035809
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,soft,Tab-TFT,test,22.708334,22.405689,-0.302645,0.302645,0.091594,22.708334,22.405689,22.908333,22.865815,23.85,23.506721
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,soft,Tab-TFT,test,22.741667,22.567496,-0.174171,0.174171,0.030336,22.741667,22.567496,23.116667,23.035408,23.716667,23.611707
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,soft,Tab-TFT,test,22.108334,22.439395,0.331061,0.331061,0.109601,22.108334,22.439395,22.758333,22.888327,23.625,23.50967
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,soft,Tab-TFT,test,22.108334,22.456431,0.348097,0.348097,0.121172,22.108334,22.456431,22.758333,22.960261,23.666666,23.522511
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,soft,Tab-TFT,test,22.208334,22.128796,-0.079538,0.079538,0.006326,22.208334,22.128796,22.758333,22.793819,23.666666,23.444609
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,soft,Tab-TFT,test,21.875,21.704222,-0.170778,0.170778,0.029165,21.875,21.704222,22.0,22.301187,22.958334,23.002317
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,soft,Tab-TFT,test,20.283333,21.037023,0.75369,0.75369,0.568049,20.283333,21.037023,21.791666,21.652419,22.233334,22.505729
