region,ckpt_root,run_id,head,alpha,beta,dropout,thr,k,out_w,best_ep,epochs,seed,test_hot_all,test_mean,test_hot_ext,val_hot_all,val_mean,val_hot_ext,n,n_ext,path
Center,grid_ckpts_FINAL_bh_0,BIGEXP_raw_v3__lstm__alpha1__do0.1__bh0__pat30,lstm,1.0,0.0,0.1,38.650001525878906,,,38,68,333,2.3323845863342285,1.7003214359283447,4.1545562744140625,2.2472128868103027,1.5964853763580322,3.3677425384521484,238,24,Cluster Center/grid_ckpts_FINAL_bh_0/BIGEXP_raw_v3__lstm__alpha1__do0.1__bh0__pat30/meta.json
Center,grid_ckpts_FINAL_bh_0,BIGEXP_raw_v3__temporalfusion__alpha2__do0.1__bh0__pat30,temporalfusion,2.0,0.0,0.1,38.650001525878906,,,32,62,333,2.144474506378174,1.5998167991638184,3.603400468826294,2.4360625743865967,1.6411798000335693,2.714472532272339,238,24,Cluster Center/grid_ckpts_FINAL_bh_0/BIGEXP_raw_v3__temporalfusion__alpha2__do0.1__bh0__pat30/meta.json
Center,grid_ckpts_FINAL_bh_0,BIGEXP_raw_v3__lstm__alpha3__do0.1__bh0__pat30,lstm,3.0,0.0,0.1,38.650001525878906,,,77,107,333,2.298189163208008,1.6661961078643799,4.531217098236084,2.625088691711426,1.7622416019439697,2.746805191040039,238,24,Cluster Center/grid_ckpts_FINAL_bh_0/BIGEXP_raw_v3__lstm__alpha3__do0.1__bh0__pat30/meta.json
Center,grid_ckpts_FINAL_bh_0,BIGEXP_raw_v3__temporalfusion__alpha1__do0.1__bh0__pat30,temporalfusion,1.0,0.0,0.1,38.650001525878906,,,21,51,333,2.2744877338409424,1.6522589921951294,3.00567626953125,2.4001996517181396,1.6826063394546509,2.3094143867492676,238,24,Cluster Center/grid_ckpts_FINAL_bh_0/BIGEXP_raw_v3__temporalfusion__alpha1__do0.1__bh0__pat30/meta.json
Center,grid_ckpts_FINAL_bh_0,BIGEXP_raw_v3__lstm__alpha2__do0.1__bh0__pat30,lstm,2.0,0.0,0.1,38.650001525878906,,,16,46,333,2.20137095451355,1.6026761531829834,4.1503376960754395,2.5993165969848633,1.7812142372131348,3.3586502075195312,238,24,Cluster Center/grid_ckpts_FINAL_bh_0/BIGEXP_raw_v3__lstm__alpha2__do0.1__bh0__pat30/meta.json
Center,grid_ckpts_FINAL_bh_0,BIGEXP_raw_v3__temporalfusion__alpha3__do0.1__bh0__pat30,temporalfusion,3.0,0.0,0.1,38.650001525878906,,,9,39,333,2.0078487396240234,1.5558829307556152,2.8064262866973877,2.3776330947875977,1.8529510498046875,2.4386470317840576,238,24,Cluster Center/grid_ckpts_FINAL_bh_0/BIGEXP_raw_v3__temporalfusion__alpha3__do0.1__bh0__pat30/meta.json
Center,grid_ckpts_FINAL_v2,BIGEXP_raw_v3__lstm__alpha1__do0.2__bh1.5__pat30,lstm,1.0,1.5,0.2,38.650001525878906,,,7,37,333,2.3372812271118164,1.7385250329971313,2.5277419090270996,2.3310866355895996,1.5952177047729492,1.3230606317520142,238,24,Cluster Center/grid_ckpts_FINAL_v2/BIGEXP_raw_v3__lstm__alpha1__do0.2__bh1.5__pat30/meta.json
Center,grid_ckpts_FINAL_v2,BIGEXP_raw_v3__temporalfusion__alpha2__do0.2__bh1__pat30,temporalfusion,2.0,1.0,0.2,38.650001525878906,,,8,38,333,2.2738568782806396,1.7154154777526855,2.2720725536346436,2.467813014984131,1.8446458578109741,1.9575709104537964,238,24,Cluster Center/grid_ckpts_FINAL_v2/BIGEXP_raw_v3__temporalfusion__alpha2__do0.2__bh1__pat30/meta.json
Center,grid_ckpts_FINAL_v2,BIGEXP_raw_v3__lstm__alpha2__do0.2__bh1__pat30,lstm,2.0,1.0,0.2,38.650001525878906,,,33,63,333,2.295553684234619,1.6549928188323975,4.018808364868164,2.29378342628479,1.6674792766571045,1.8562612533569336,238,24,Cluster Center/grid_ckpts_FINAL_v2/BIGEXP_raw_v3__lstm__alpha2__do0.2__bh1__pat30/meta.json
Center,grid_ckpts_FINAL_v2,BIGEXP_raw_v3__temporalfusion__alpha1__do0.2__bh1.5__pat30,temporalfusion,1.0,1.5,0.2,38.650001525878906,,,14,44,333,2.114393472671509,1.5876917839050293,2.649632453918457,2.379453659057617,1.8472517728805542,1.7266677618026733,238,24,Cluster Center/grid_ckpts_FINAL_v2/BIGEXP_raw_v3__temporalfusion__alpha1__do0.2__bh1.5__pat30/meta.json
Center,grid_ckpts_FINAL_v2,BIGEXP_raw_v3__temporalfusion__alpha2__do0.2__bh1.5__pat30,temporalfusion,2.0,1.5,0.2,38.650001525878906,,,4,34,333,2.385929822921753,1.7259845733642578,2.050257921218872,2.7814016342163086,1.8669546842575073,1.5745514631271362,238,24,Cluster Center/grid_ckpts_FINAL_v2/BIGEXP_raw_v3__temporalfusion__alpha2__do0.2__bh1.5__pat30/meta.json
Center,grid_ckpts_FINAL_v2,BIGEXP_raw_v3__temporalfusion__alpha1__do0.2__bh1__pat30,temporalfusion,1.0,1.0,0.2,38.650001525878906,,,7,37,333,2.1689751148223877,1.6347347497940063,2.583934783935547,2.3003525733947754,1.6237573623657227,2.180250406265259,238,24,Cluster Center/grid_ckpts_FINAL_v2/BIGEXP_raw_v3__temporalfusion__alpha1__do0.2__bh1__pat30/meta.json
