model,target,mae_all,mae_ext
lstm,hot,2.338929630919459,2.098787149016463
lstm,p15,1.2959203196104496,1.5674274519482971
lstm,p3,1.7444298479647937,2.3344195432634725
lstm,p7,1.4283461922542884,1.308394722217498
prophet,hot,4.68980577544843,9.241301044669452
prophet,p15,1.0662621646873969,0.8836877135735541
prophet,p3,3.2767930472927618,5.749964841150284
prophet,p7,1.8856938854672594,2.4553579353674446
sarimax,hot,4.687946182244468,9.185757379242736
sarimax,p15,1.0413401504883744,0.8865175927619898
sarimax,p3,3.27341943567159,5.70722338048557
sarimax,p7,1.8820703720798626,2.4294330257534855
tab_lstm,hot,2.7646826432492104,1.8990795145306754
tab_lstm,p15,1.3238634408465468,1.3370508519737856
tab_lstm,p3,1.9039820569961192,2.200710546852093
tab_lstm,p7,1.488788176000355,1.499866618805938
temporalfusion,hot,2.1604406241507284,1.4828579588423363
temporalfusion,p15,1.2941476569003536,1.36140114402444
temporalfusion,p3,1.7173032013981526,1.891567151606296
temporalfusion,p7,1.3857070728077252,1.1929977251631172
