target,scope,baseline,n,n_ext,dMAE_all,ci_all,p_all,dMAE_ext,ci_ext,p_ext,p_all_holm,p_ext_holm
hot,Center,prophet,238,31,2.4859041059932214,"[1.762,3.365]",0.0,8.146834970416208,"[7.026,9.362]",0.0,0.0,0.0
hot,Center,sarimax,238,31,2.491655414073766,"[1.772,3.379]",0.0,8.100700534236037,"[6.988,9.330]",0.0,0.0,0.0
hot,Center,tab_lstm,238,31,0.5399953297206331,"[0.155,0.966]",0.0046,0.3396148681640625,"[-0.105,0.866]",0.1362,0.0092,0.1362
hot,Center,lstm,238,31,-0.00015445516890859264,"[-0.287,0.290]",0.9968,0.9536031907604584,"[0.301,1.677]",0.0048,0.9968,0.0096
hot,Negev,prophet,239,46,2.6964239644138885,"[2.041,3.416]",0.0,5.666572227837833,"[4.913,6.467]",0.0,0.0,0.0
hot,Negev,sarimax,239,46,2.669795930251684,"[2.014,3.392]",0.0,5.609201599687265,"[4.852,6.416]",0.0,0.0,0.0
hot,Negev,tab_lstm,239,46,0.6874487888862891,"[0.301,1.070]",0.0002,0.21528617195461044,"[-0.235,0.622]",0.376,0.0004,0.376
hot,Negev,lstm,239,46,0.21587910512501166,"[-0.046,0.462]",0.1098,0.6448511040729011,"[0.277,1.070]",0.0008,0.1098,0.0016
hot,Northwest,prophet,239,18,2.4176197166478333,"[1.678,3.322]",0.0,9.461922059227307,"[8.616,10.163]",0.0,0.0,0.0
hot,Northwest,sarimax,239,18,2.434028486913373,"[1.695,3.348]",0.0,9.398796127277897,"[8.538,10.162]",0.0,0.0,0.0
hot,Northwest,tab_lstm,239,18,0.5852819386885255,"[0.251,0.956]",0.0012,0.6937636269463437,"[-0.121,1.774]",0.0986,0.0024,0.1972
hot,Northwest,lstm,239,18,0.3197423703500914,"[0.107,0.530]",0.0024,0.2493332756890195,"[-0.369,0.859]",0.378,0.0024,0.378
hot,ALL,prophet,716,95,2.5333821466482376,"[2.086,2.999]",0.0,7.195040038205624,"[6.467,7.866]",0.0,0.0,0.0
hot,ALL,sarimax,716,95,2.5318827154357613,"[2.083,3.000]",0.0,7.140245478294036,"[6.408,7.817]",0.0,0.0,0.0
hot,ALL,tab_lstm,716,95,0.6043317491115802,"[0.390,0.838]",0.0,0.3465154748213916,"[0.040,0.672]",0.0276,0.0,0.0276
hot,ALL,lstm,716,95,0.17873850881054382,"[0.029,0.323]",0.0194,0.670661564877158,"[0.357,1.011]",0.0,0.0194,0.0
soft,Center,prophet,238,31,0.42307269352443716,"[0.193,0.662]",0.0,1.5677945318656756,"[1.148,2.051]",0.0,0.0,0.0
soft,Center,sarimax,238,31,0.41479079975294453,"[0.180,0.666]",0.0,1.5327689863993939,"[1.088,2.047]",0.0,0.0,0.0
soft,Center,tab_lstm,238,31,0.016300123946673534,"[-0.180,0.218]",0.8646,0.33830544256394873,"[-0.145,0.874]",0.167,0.8646,0.334
soft,Center,lstm,238,31,-0.0930166939059559,"[-0.292,0.103]",0.3178,0.020896275838215763,"[-0.260,0.262]",0.9964,0.6356,0.9964
soft,Negev,prophet,239,46,0.7571631840294782,"[0.486,1.015]",0.0,1.690570710994405,"[1.445,1.929]",0.0,0.0,0.0
soft,Negev,sarimax,239,46,0.7307206591741864,"[0.459,0.991]",0.0,1.655046309345875,"[1.414,1.892]",0.0,0.0,0.0
soft,Negev,tab_lstm,239,46,0.29848705940831816,"[0.058,0.547]",0.0136,0.4982787560725561,"[0.169,0.755]",0.003,0.0272,0.006
soft,Negev,lstm,239,46,0.10400959504365595,"[-0.077,0.286]",0.2692,0.16201603930929517,"[-0.156,0.490]",0.3668,0.2692,0.3668
soft,Northwest,prophet,239,18,0.5718013610150146,"[0.337,0.821]",0.0,1.70777180697558,"[1.108,2.305]",0.0,0.0,0.0
soft,Northwest,sarimax,239,18,0.5861162204401948,"[0.352,0.842]",0.0,1.6861371643166387,"[1.095,2.303]",0.0,0.0,0.0
soft,Northwest,tab_lstm,239,18,-0.005212733270067803,"[-0.208,0.191]",0.9446,0.004677101417823811,"[-0.540,0.521]",0.9266,0.9446,0.9288
soft,Northwest,lstm,239,18,0.06284447993194713,"[-0.080,0.208]",0.4158,0.1069007802892611,"[-0.228,0.504]",0.4644,0.8316,0.9288
soft,ALL,prophet,716,95,0.5842371890006283,"[0.441,0.733]",0.0,1.6537660602014632,"[1.434,1.874]",0.0,0.0,0.0
soft,ALL,sarimax,716,95,0.5774360678338519,"[0.434,0.728]",0.0,1.6210361870104315,"[1.398,1.852]",0.0,0.0,0.0
soft,ALL,tab_lstm,716,95,0.1033128400088689,"[-0.025,0.227]",0.1158,0.35255241394042974,"[0.107,0.598]",0.0044,0.2316,0.0088
soft,ALL,lstm,716,95,0.024776746884848645,"[-0.076,0.129]",0.6426,0.10552354109914702,"[-0.078,0.297]",0.2704,0.6426,0.2704
